Date,Time,Notetype,Maskedserial,Locality
2024-12-26,23:49:02,20,Zxxxx3039xxx,Tbilisi
2024-12-26,23:49:02,20,Rxxxx0901xxx,Tbilisi
2024-12-26,23:49:02,20,Rxxxx5967xxx,Tbilisi
2024-12-21,04:16:08,20,Wxxxx1917xxx,Tbilisi
2024-12-19,04:26:12,20,Uxxxx7154xxx,Tbilisi
2024-12-19,04:26:12,5,Wxxxx2602xxx,Tbilisi
2024-12-18,23:17:56,50,Uxxxx4075xxx,Tbilisi
2024-12-11,00:39:28,20,Exxxx0978xxx,Tbilisi
2024-12-04,12:24:41,20,Rxxxx2142xxx,Tbilisi
2024-11-21,08:21:12,20,Rxxxx7468xxx,Tbilisi
2024-11-21,08:20:56,5,Mxxxx6241xxx,Tbilisi
2024-11-21,08:20:44,10,Rxxxx3590xxx,Tbilisi
2024-11-01,10:40:46,10,Wxxxx1285xxx,Tbilisi
2024-11-01,10:40:30,10,Wxxxx9567xxx,Tbilisi
2024-10-29,19:00:03,20,Uxxxx2722xxx,Tbilisi
2024-10-29,19:00:03,20,Rxxxx1875xxx,Tbilisi
2024-10-29,19:00:03,10,Rxxxx3584xxx,Tbilisi
2024-10-29,18:58:59,50,Sxxxx0517xxx,Tbilisi
2024-10-29,18:58:59,50,Wxxxx1195xxx,Tbilisi
2024-10-29,18:58:59,50,Pxxxx2171xxx,Tbilisi
2024-10-29,18:58:59,50,Sxxxx8269xxx,Tbilisi
2024-10-29,18:58:59,50,Rxxxx2269xxx,Tbilisi
2024-10-29,18:58:59,50,Vxxxx8794xxx,Tbilisi
2024-10-29,18:58:59,50,Vxxxx6011xxx,Tbilisi
2024-10-29,18:58:59,50,Wxxxx3434xxx,Tbilisi
2024-10-29,18:58:59,50,Wxxxx3434xxx,Tbilisi
2024-10-29,18:58:59,50,Wxxxx3434xxx,Tbilisi
2024-10-29,18:58:59,50,Wxxxx3434xxx,Tbilisi
2024-10-29,18:58:59,50,Wxxxx1528xxx,Tbilisi
2024-10-29,18:58:59,50,Rxxxx6033xxx,Tbilisi
2024-10-29,18:53:49,50,Rxxxx5248xxx,Tbilisi
2024-10-29,18:53:49,50,Rxxxx6226xxx,Tbilisi
2024-10-29,18:53:49,50,Wxxxx4902xxx,Tbilisi
2024-10-29,18:53:49,50,Vxxxx6011xxx,Tbilisi
2024-10-29,18:53:49,50,Uxxxx1398xxx,Tbilisi
2024-10-29,18:53:49,50,Vxxxx9992xxx,Tbilisi
2024-10-29,18:53:49,50,Pxxxx8673xxx,Tbilisi
2024-10-29,18:53:49,50,Rxxxx6288xxx,Tbilisi
2024-10-29,18:53:49,50,Uxxxx4237xxx,Tbilisi
2024-10-29,18:53:49,50,Sxxxx4971xxx,Tbilisi
2024-10-29,18:53:49,50,Sxxxx7806xxx,Tbilisi
2024-10-29,18:53:49,50,Uxxxx5512xxx,Tbilisi
2024-10-29,18:53:49,50,Vxxxx0514xxx,Tbilisi
2024-10-29,18:53:49,50,Rxxxx6493xxx,Tbilisi
2024-10-29,18:53:49,50,Vxxxx2024xxx,Tbilisi
2024-10-29,18:53:49,50,Rxxxx2126xxx,Tbilisi
2024-10-29,18:53:49,50,Vxxxx6011xxx,Tbilisi
2024-10-29,18:53:49,50,Vxxxx6011xxx,Tbilisi
2024-10-29,18:53:49,50,Vxxxx7439xxx,Tbilisi
2024-10-29,18:53:49,50,Sxxxx5461xxx,Tbilisi
2024-10-29,18:53:49,50,Xxxxx7587xxx,Tbilisi
2024-10-29,18:53:49,50,Zxxxx6314xxx,Tbilisi
2024-10-29,18:53:49,50,Sxxxx5880xxx,Tbilisi
2024-10-29,18:53:49,50,Xxxxx0837xxx,Tbilisi
2024-10-29,18:53:49,50,Vxxxx9707xxx,Tbilisi
2024-10-29,16:02:08,100,Exxxx9870xxx,Tbilisi
2024-10-29,16:02:08,100,Sxxxx0540xxx,Tbilisi
2024-10-29,16:02:08,100,Rxxxx6147xxx,Tbilisi
2024-10-29,16:02:08,100,Exxxx7940xxx,Tbilisi
2024-10-29,16:02:08,100,Exxxx3423xxx,Tbilisi
2024-10-29,16:02:08,100,Rxxxx7695xxx,Tbilisi
2024-10-29,16:02:08,100,Wxxxx8578xxx,Tbilisi
2024-10-29,16:02:08,100,Sxxxx0412xxx,Tbilisi
2024-10-29,16:02:08,100,Uxxxx6110xxx,Tbilisi
2024-10-29,16:02:08,100,Sxxxx0412xxx,Tbilisi
2024-10-29,16:02:08,100,Exxxx9264xxx,Tbilisi
2024-10-29,16:02:08,100,Rxxxx0024xxx,Tbilisi
2024-10-29,16:02:08,100,Nxxxx2075xxx,Tbilisi
2024-10-29,16:02:08,100,Xxxxx4635xxx,Tbilisi
2024-10-29,16:02:08,100,Sxxxx1083xxx,Tbilisi
2024-10-29,16:02:08,100,Nxxxx9502xxx,Tbilisi
2024-10-29,16:02:08,100,Sxxxx7033xxx,Tbilisi
2024-10-29,15:51:44,50,Uxxxx4757xxx,Tbilisi
2024-10-29,15:51:44,50,Pxxxx5318xxx,Tbilisi
2024-10-29,15:51:44,50,Uxxxx5066xxx,Tbilisi
2024-10-29,15:51:44,50,Uxxxx3234xxx,Tbilisi
2024-10-29,15:51:44,50,Pxxxx5719xxx,Tbilisi
2024-10-29,15:51:44,50,Vxxxx4492xxx,Tbilisi
2024-10-29,15:45:00,50,Exxxx3328xxx,Tbilisi
2024-10-29,15:45:00,50,Exxxx7096xxx,Tbilisi
2024-10-29,15:45:00,50,Exxxx9622xxx,Tbilisi
2024-10-29,15:45:00,50,Vxxxx6011xxx,Tbilisi
2024-10-29,15:45:00,50,Rxxxx1309xxx,Tbilisi
2024-10-29,15:45:00,50,Rxxxx3498xxx,Tbilisi
2024-10-29,15:45:00,50,Exxxx4653xxx,Tbilisi
2024-10-29,15:45:00,50,Wxxxx1281xxx,Tbilisi
2024-10-29,15:45:00,50,Sxxxx7377xxx,Tbilisi
2024-10-29,15:45:00,50,Exxxx0686xxx,Tbilisi
2024-10-29,15:45:00,50,Exxxx0686xxx,Tbilisi
2024-10-29,15:45:00,50,Rxxxx9586xxx,Tbilisi
2024-10-29,15:45:00,50,Exxxx7780xxx,Tbilisi
2024-10-29,15:45:00,50,Pxxxx9236xxx,Tbilisi
2024-10-29,15:45:00,50,Sxxxx1800xxx,Tbilisi
2024-10-29,15:45:00,50,Sxxxx7162xxx,Tbilisi
2024-10-29,15:45:00,50,Exxxx5447xxx,Tbilisi
2024-10-29,15:45:00,50,Exxxx2758xxx,Tbilisi
2024-10-29,15:45:00,50,Exxxx2758xxx,Tbilisi
2024-10-29,15:45:00,50,Xxxxx6634xxx,Tbilisi
2024-10-27,21:22:33,20,Exxxx9316xxx,Tbilisi
2024-10-27,21:22:33,10,Rxxxx7226xxx,Tbilisi
2024-10-23,18:08:04,50,Wxxxx9614xxx,Tbilisi
2024-10-23,18:08:04,50,Rxxxx7866xxx,Tbilisi
2024-10-23,18:08:04,10,Yxxxx6314xxx,Tbilisi
2024-10-23,18:08:04,10,Wxxxx9359xxx,Tbilisi
2024-10-22,11:17:53,20,Mxxxx9758xxx,Tbilisi
2024-10-21,13:30:02,20,Uxxxx6276xxx,Tbilisi
2024-10-21,13:29:51,20,Mxxxx2162xxx,Tbilisi
2024-10-20,13:39:12,10,Nxxxx8715xxx,Tbilisi
2024-10-20,13:39:12,10,Rxxxx8376xxx,Tbilisi
2024-10-19,14:58:04,50,Sxxxx0043xxx,Tbilisi
2024-10-19,14:58:04,50,Rxxxx3043xxx,Tbilisi
2024-10-19,14:58:04,20,Rxxxx3495xxx,Tbilisi
2024-10-19,14:58:04,10,Rxxxx0453xxx,Tbilisi
2024-10-19,14:58:04,5,Zxxxx9988xxx,Tbilisi
2024-10-19,14:55:21,20,Xxxxx9295xxx,Tbilisi
2024-10-19,14:55:21,20,Rxxxx8643xxx,Tbilisi
2024-10-15,09:27:50,10,Yxxxx4779xxx,Tbilisi
2024-10-15,09:27:50,10,Fxxxx5070xxx,Tbilisi
2024-10-15,09:27:50,10,Wxxxx5760xxx,Tbilisi
2024-10-15,09:27:50,10,Rxxxx1782xxx,Tbilisi
2024-10-15,09:27:50,10,Yxxxx4779xxx,Tbilisi
2024-10-15,09:26:00,50,Sxxxx9418xxx,Tbilisi
2024-10-14,01:29:17,5,Mxxxx2641xxx,Tbilisi
2024-10-14,01:29:17,20,Uxxxx2227xxx,Tbilisi
2024-10-13,09:26:48,20,Uxxxx4914xxx,Tbilisi
2024-10-11,12:27:47,10,Rxxxx3800xxx,Tbilisi
2024-10-11,12:27:28,10,Fxxxx0619xxx,Tbilisi
2024-10-11,12:27:16,10,Yxxxx8128xxx,Tbilisi
