Date,Time,Notetype,Maskedserial,Locality
2024-12-28,13:09:21,50,Sxxxx3263xxx,Budapest
2024-12-28,13:09:21,50,Sxxxx5956xxx,Budapest
2024-12-28,13:09:21,50,Sxxxx1746xxx,Budapest
2024-12-28,13:09:21,50,Sxxxx1737xxx,Budapest
2024-12-27,17:53:00,50,Sxxxx6479xxx,Budapest
2024-12-27,17:53:00,50,Sxxxx6464xxx,Budapest
2024-12-27,17:53:00,100,Rxxxx0490xxx,Budapest
2024-12-27,17:53:00,100,Rxxxx0490xxx,Budapest
2024-12-27,17:53:00,100,Rxxxx0490xxx,Budapest
2024-12-27,17:49:14,50,Sxxxx6554xxx,Budapest
2024-12-27,17:49:14,50,Sxxxx9903xxx,Budapest
2024-12-25,00:00:14,200,Exxxx2329xxx,Szeged
2024-12-23,23:03:34,100,Vxxxx9293xxx,Szombathely
2024-12-23,23:02:46,100,Exxxx4234xxx,Szombathely
2024-12-23,23:01:47,100,Rxxxx6386xxx,Szombathely
2024-12-23,22:48:33,5,Nxxxx2077xxx,Mörbisch
2024-12-23,22:46:09,20,Uxxxx7627xxx,Mörbisch
2024-12-23,12:24:13,20,Uxxxx7054xxx,Bábolna
2024-12-22,18:37:40,500,Xxxxx5474xxx,Budapoest
2024-12-21,20:47:03,50,Uxxxx4499xxx,Budapest
2024-12-21,20:46:48,20,Uxxxx9409xxx,Budapest
2024-12-21,20:46:30,20,Rxxxx9481xxx,Budapest
2024-12-21,20:46:16,5,Exxxx8996xxx,Budapest
2024-12-21,20:46:02,5,Zxxxx0573xxx,Budapest
2024-12-21,20:44:11,50,Sxxxx6963xxx,Budapest
2024-12-21,20:43:57,50,Exxxx0056xxx,Budapest
2024-12-21,20:43:44,50,Uxxxx1736xxx,Budapest
2024-12-21,20:43:29,50,Uxxxx3775xxx,Budapest
2024-12-21,20:43:15,50,Vxxxx9973xxx,Budapest
2024-12-21,20:42:57,10,Wxxxx0963xxx,Budapest
2024-12-20,18:50:11,100,Exxxx3979xxx,Budapest
2024-12-20,18:50:11,100,Exxxx4542xxx,Budapest
2024-12-20,18:50:11,100,Exxxx4978xxx,Budapest
2024-12-20,18:50:11,100,Exxxx4978xxx,Budapest
2024-12-20,18:50:11,100,Exxxx4978xxx,Budapest
2024-12-20,18:50:11,100,Exxxx4974xxx,Budapest
2024-12-20,18:50:11,100,Exxxx4974xxx,Budapest
2024-12-20,18:50:11,100,Exxxx3979xxx,Budapest
2024-12-20,18:50:11,100,Exxxx3979xxx,Budapest
2024-12-20,18:50:11,100,Rxxxx1497xxx,Budapest
2024-12-20,18:50:11,100,Uxxxx6167xxx,Budapest
2024-12-20,18:50:11,20,Uxxxx1132xxx,Budapest
2024-12-20,18:50:11,20,Uxxxx4891xxx,Budapest
2024-12-20,18:39:09,100,Xxxxx7124xxx,Budapest
2024-12-20,18:39:09,100,Sxxxx7467xxx,Budapest
2024-12-20,18:39:09,100,Sxxxx7396xxx,Budapest
2024-12-20,18:39:09,100,Xxxxx7124xxx,Budapest
2024-12-20,18:39:09,100,Xxxxx7124xxx,Budapest
2024-12-20,18:39:09,100,Xxxxx7124xxx,Budapest
2024-12-20,18:39:09,100,Xxxxx7124xxx,Budapest
2024-12-20,18:39:09,100,Xxxxx7124xxx,Budapest
2024-12-20,18:39:09,100,Xxxxx7124xxx,Budapest
2024-12-20,18:39:09,100,Xxxxx7124xxx,Budapest
2024-12-20,18:39:09,100,Xxxxx7124xxx,Budapest
2024-12-20,18:39:09,100,Xxxxx7124xxx,Budapest
2024-12-20,18:39:09,100,Xxxxx7124xxx,Budapest
2024-12-20,18:32:47,100,Xxxxx7124xxx,Budapest
2024-12-20,18:32:17,100,Xxxxx7124xxx,Budapest
2024-12-20,18:31:49,100,Xxxxx7124xxx,Budapest
2024-12-20,18:31:18,100,Xxxxx7124xxx,Budapest
2024-12-20,18:30:28,200,Sxxxx8223xxx,Budapest
2024-12-20,18:29:25,100,Xxxxx7124xxx,Budapest
2024-12-20,18:27:24,100,Xxxxx7124xxx,Budapest
2024-12-20,16:33:18,50,Uxxxx0627xxx,Budapest
2024-12-20,16:33:05,50,Exxxx5799xxx,Budapest
2024-12-20,16:32:28,20,Uxxxx2710xxx,Budapest
2024-12-20,16:32:14,20,Exxxx1240xxx,Budapest
2024-12-20,16:32:01,20,Uxxxx7730xxx,Budapest
2024-12-20,16:31:46,20,Zxxxx7433xxx,Budapest
2024-12-20,16:31:34,10,Wxxxx3404xxx,Budapest
2024-12-20,16:31:21,5,Zxxxx8580xxx,Budapest
2024-12-20,16:31:03,5,Zxxxx0574xxx,Budapest
2024-12-20,16:29:55,5,Vxxxx5225xxx,Budapest
2024-12-14,17:31:44,50,Rxxxx7006xxx,Budapest
2024-12-14,17:31:32,50,Zxxxx9293xxx,Budapest
2024-12-14,17:31:19,50,Vxxxx2408xxx,Budapest
2024-12-14,17:30:54,50,Rxxxx4025xxx,Budapest
2024-12-14,17:30:41,50,Wxxxx9896xxx,Budapest
2024-12-14,17:30:27,50,Vxxxx7014xxx,Budapest
2024-12-14,17:30:08,20,Exxxx5220xxx,Budapest
2024-12-14,17:29:31,20,Rxxxx3062xxx,Budapest
2024-12-14,17:29:17,5,Vxxxx3150xxx,Budapest
2024-12-14,17:28:54,5,Yxxxx3596xxx,Budapest
2024-12-14,16:19:23,20,Sxxxx8370xxx,Dunakiliti
2024-12-14,16:18:37,20,Uxxxx2020xxx,Dunakiliti
2024-12-14,16:17:50,20,Wxxxx6414xxx,Dunakiliti
2024-12-14,16:16:31,5,Nxxxx4513xxx,Dunakiliti
2024-12-14,16:14:47,5,Vxxxx0831xxx,Dunakiliti
2024-12-13,14:27:26,50,Sxxxx3931xxx,Budapest
2024-12-13,14:27:07,50,Exxxx9569xxx,Budapest
2024-12-13,14:25:32,20,Zxxxx4241xxx,Budapest
2024-12-13,14:25:20,20,Exxxx6302xxx,Budapest
2024-12-13,14:25:08,20,Exxxx7689xxx,Budapest
2024-12-13,14:24:49,5,Nxxxx5929xxx,Budapest
2024-12-13,14:24:31,5,Nxxxx5929xxx,Budapest
2024-12-13,14:24:17,5,Nxxxx5929xxx,Budapest
2024-12-10,11:03:23,10,Fxxxx7947xxx,Bábolna
2024-12-10,11:02:41,5,Nxxxx8934xxx,Bábolna
2024-12-09,16:56:21,50,Zxxxx1764xxx,Biatorbágy
2024-12-09,16:55:27,50,Xxxxx8087xxx,Biatorbágy
2024-12-09,16:54:35,50,Pxxxx2308xxx,Biatorbágy
2024-12-09,16:53:06,100,Sxxxx2015xxx,Biatorbágy
2024-12-08,03:42:12,5,Uxxxx1291xxx,Budapest
2024-12-07,18:44:54,50,Uxxxx3131xxx,Budapest
2024-12-07,18:44:36,50,Exxxx5673xxx,Budapest
2024-12-07,18:44:21,50,Exxxx5673xxx,Budapest
2024-12-07,18:44:08,20,Mxxxx1577xxx,Budapest
2024-12-07,18:43:55,20,Uxxxx0795xxx,Budapest
2024-12-07,18:43:37,20,Uxxxx6216xxx,Budapest
2024-12-07,18:43:23,10,Pxxxx8429xxx,Budapest
2024-12-07,18:43:04,10,Vxxxx3936xxx,Budapest
2024-12-07,18:42:50,5,Nxxxx5929xxx,Budapest
2024-12-07,18:42:20,5,Zxxxx0541xxx,Budapest
2024-12-04,06:06:13,5,Mxxxx0206xxx,Bábolna
2024-12-02,21:57:50,50,Uxxxx9996xxx,Szombathely
2024-12-02,21:53:53,20,Exxxx9120xxx,Szombathely
2024-12-02,21:53:02,10,Nxxxx3833xxx,Szombathely
2024-12-02,21:52:07,5,Vxxxx3010xxx,Szombathely
2024-12-02,21:50:36,10,Nxxxx1244xxx,Szombathely
2024-12-02,21:49:38,5,Vxxxx0426xxx,Szombathely
2024-12-02,21:48:45,20,Exxxx2097xxx,Szombathely
2024-12-02,21:47:57,20,Sxxxx1830xxx,Szombathely
2024-12-02,21:47:02,50,Uxxxx3197xxx,Szombathely
2024-12-02,21:46:02,10,Vxxxx1143xxx,Szombathely
2024-12-02,21:44:59,5,Mxxxx1362xxx,Szombathely
2024-12-02,21:44:09,5,Vxxxx0054xxx,Szombathely
2024-12-02,21:43:10,100,Exxxx0976xxx,Szombathely
2024-12-02,21:42:19,100,Rxxxx0533xxx,Szombathely
2024-12-02,21:41:07,100,Wxxxx2195xxx,Szombathely
2024-12-02,21:40:01,100,Exxxx5412xxx,Szombathely
2024-11-29,08:23:37,20,Wxxxx2107xxx,Székesfehérvár
2024-11-29,08:23:37,20,Rxxxx8825xxx,Székesfehérvár
2024-11-29,08:23:37,10,Fxxxx8056xxx,Székesfehérvár
2024-11-29,08:23:37,10,Fxxxx3753xxx,Székesfehérvár
2024-11-29,08:14:36,20,Uxxxx3729xxx,Székesfehérvár
2024-11-25,18:10:40,5,Exxxx6695xxx,Velence
2024-11-25,18:10:07,5,Mxxxx9558xxx,Székesfehérvár
2024-11-20,16:47:16,10,Rxxxx1160xxx,Budapest
2024-11-20,16:46:59,5,Vxxxx1531xxx,Budapest
2024-11-18,10:52:43,5,Nxxxx1084xxx,Győr
2024-11-18,10:52:27,10,Uxxxx3432xxx,Győr
2024-11-17,14:04:43,500,Xxxxx6008xxx,Budapest
2024-11-17,14:04:43,100,Xxxxx7898xxx,Budapest
2024-11-17,14:04:43,100,Sxxxx8464xxx,Budapest
2024-11-17,14:04:43,100,Xxxxx7898xxx,Budapest
2024-11-17,14:04:43,100,Sxxxx9287xxx,Budapest
2024-11-17,14:04:43,100,Sxxxx7793xxx,Budapest
2024-11-17,14:04:43,100,Nxxxx3802xxx,Budapest
2024-11-17,14:04:43,100,Xxxxx1615xxx,Budapest
2024-11-17,14:04:43,100,Sxxxx2786xxx,Budapest
2024-11-17,14:04:43,100,Xxxxx3972xxx,Budapest
2024-11-13,15:15:05,100,Uxxxx1068xxx,Budapest
2024-11-13,15:14:49,50,Uxxxx3667xxx,Budapest
2024-11-13,15:14:35,50,Exxxx9873xxx,Budapest
