Date,Time,Notetype,Maskedserial,Locality
2024-11-18,05:39:43,50,Rxxxx9007xxx,Jaipur
2024-11-17,22:30:22,20,Exxxx1392xxx,Jaipur
2024-11-17,22:30:22,20,Sxxxx9923xxx,Jaipur
2024-11-17,22:30:22,20,Rxxxx0652xxx,Jaipur
2024-11-17,22:30:22,20,Rxxxx3561xxx,Jaipur
2024-11-17,22:28:56,10,Rxxxx6001xxx,Jaipur
2024-11-17,22:28:56,10,Wxxxx9707xxx,Jaipur
2024-11-17,22:28:56,10,Exxxx5199xxx,Jaipur
2024-11-17,22:28:56,10,Pxxxx3135xxx,Jaipur
2024-11-17,22:28:56,10,Nxxxx2604xxx,Jaipur
2024-11-17,22:28:56,10,Wxxxx3327xxx,Jaipur
2024-11-17,22:26:43,5,Mxxxx8324xxx,Jaipur
2024-11-17,22:26:07,50,Rxxxx4525xxx,Jaipur
2024-11-17,22:26:07,50,Wxxxx1374xxx,Jaipur
2024-11-02,16:38:37,100,Uxxxx0116xxx,Bangalore
2024-11-02,16:37:15,20,Uxxxx5618xxx,Bangalore
2024-09-21,10:13:54,20,Sxxxx9996xxx,Indira Gandhi International Airport
2024-09-21,10:13:54,20,Exxxx1740xxx,Indira Gandhi International Airport
2024-09-21,10:13:54,20,Nxxxx8076xxx,Indira Gandhi International Airport
2024-09-21,10:13:54,20,Sxxxx6546xxx,Indira Gandhi International Airport
2024-09-21,10:13:54,20,Exxxx4015xxx,Indira Gandhi International Airport
2024-09-20,15:21:20,10,Sxxxx4124xxx,Bengaluru
2024-09-20,15:21:20,10,Exxxx9029xxx,Bengaluru
2024-09-20,15:21:20,10,Uxxxx3456xxx,Bengaluru
2024-09-20,15:21:20,10,Vxxxx8367xxx,Bengaluru
2024-09-20,15:21:20,10,Rxxxx1446xxx,Bengaluru
2024-09-20,15:21:20,10,Nxxxx0211xxx,Bengaluru
2024-09-20,15:21:20,10,Wxxxx2840xxx,Bengaluru
2024-09-20,15:21:20,10,Vxxxx7571xxx,Bengaluru
2024-09-20,15:21:20,5,Vxxxx8505xxx,Bengaluru
2024-09-20,15:21:20,5,Exxxx6657xxx,Bengaluru
2024-09-20,15:21:20,5,Uxxxx7092xxx,Bengaluru
2024-09-20,15:21:20,5,Yxxxx4998xxx,Bengaluru
2024-09-20,06:31:17,10,Uxxxx2237xxx,Bengaluru
