Date,Time,Notetype,Maskedserial,Locality
2024-11-24,08:28:22,20,Sxxxx1559xxx,Bishkek
2024-11-24,08:26:31,10,Nxxxx0356xxx,Bishkek
2024-11-24,08:23:16,20,Sxxxx1007xxx,Bishkek
2024-11-24,08:21:18,50,Wxxxx0318xxx,Bishkek
2024-11-24,08:19:02,50,Exxxx1961xxx,Bishkek
2024-11-24,08:13:43,50,Exxxx2793xxx,Bishkek
2024-08-07,15:14:10,5,Nxxxx0558xxx,Bishkek
2024-05-29,11:20:31,20,Rxxxx8097xxx,Bishkek
2024-05-29,11:20:31,20,Rxxxx0022xxx,Bishkek
2024-05-29,11:20:31,20,Uxxxx7665xxx,Bishkek
2024-05-29,11:20:31,20,Uxxxx6630xxx,Bishkek
2024-05-29,11:20:31,20,Fxxxx7178xxx,Bishkek
2024-05-29,11:20:31,20,Exxxx1144xxx,Bishkek
2024-05-29,11:20:31,20,Uxxxx4936xxx,Bishkek
2024-05-29,11:16:36,50,Uxxxx9272xxx,Bishkek
2024-05-29,11:16:36,50,Uxxxx9219xxx,Bishkek
2024-05-29,11:16:36,50,Exxxx3845xxx,Bishkek
2024-05-29,11:16:36,5,Yxxxx8915xxx,Bishkek
2024-02-17,23:45:24,10,Yxxxx6629xxx,Bishkek
2024-02-17,23:45:24,5,Nxxxx7143xxx,Bishkek
