Date,Time,Notetype,Maskedserial,Locality
2024-02-12,18:51:42,5,Exxxx1734xxx,Champassak
2024-02-12,18:51:06,5,Uxxxx6275xxx,Champassak
2024-02-12,18:48:45,5,Zxxxx2310xxx,Champassak
2024-02-12,18:48:02,5,Zxxxx0313xxx,Champassak
2024-02-12,18:43:24,5,Zxxxx3365xxx,Paksong
2024-02-12,18:42:18,5,Nxxxx0293xxx,Pakse International Airport
2024-02-12,18:41:44,5,Vxxxx7410xxx,Pakse International Airport
2024-02-12,18:38:02,5,Wxxxx4659xxx,Wattay International Airport
2024-02-09,09:26:30,20,Fxxxx5297xxx,Wattay International Airport
2024-02-05,19:07:34,5,Nxxxx0851xxx,Paksong
2024-02-05,19:04:29,5,Uxxxx0052xxx,Vientiane
2024-02-05,19:03:31,5,Nxxxx6503xxx,Vientiane
2024-02-05,19:00:42,5,Zxxxx0393xxx,Vang Vieng
2024-02-05,18:59:41,5,Nxxxx5735xxx,Vang Vieng
2024-02-05,18:58:14,5,Vxxxx0755xxx,Vang Vieng
2024-02-05,18:57:12,5,Vxxxx9038xxx,Vang Vieng
2024-02-05,18:54:24,5,Mxxxx7465xxx,Luang Prabang
2024-02-05,18:53:54,5,Vxxxx2840xxx,Luang Prabang
2024-02-05,18:52:59,5,Wxxxx1900xxx,Luang Prabang
2024-02-05,18:52:24,5,Mxxxx8495xxx,Luang Prabang
2024-02-05,18:50:03,5,Vxxxx3185xxx,Luang Prabang
2024-02-05,18:49:30,5,Vxxxx8081xxx,Luang Prabang
2024-02-05,18:47:59,5,Mxxxx7453xxx,Luang Prabang
2024-02-05,18:46:50,5,Vxxxx7610xxx,Luang Prabang
2024-02-05,18:44:13,5,Vxxxx5464xxx,Pak Beng
2024-02-05,18:42:55,5,Vxxxx2532xxx,Pak Beng
