Date,Time,Notetype,Maskedserial,Locality
2024-12-28,13:26:49,50,Uxxxx1288xxx,Pakruojis
2024-12-28,13:26:49,50,Uxxxx5744xxx,Pakruojis
2024-12-28,13:26:49,50,Uxxxx3977xxx,Pakruojis
2024-12-28,13:26:49,50,Exxxx4356xxx,Pakruojis
2024-12-28,13:24:56,20,Sxxxx6224xxx,Pakruojis
2024-12-28,13:24:56,20,Sxxxx6572xxx,Pakruojis
2024-12-28,13:20:42,50,Vxxxx8659xxx,Pakruojis
2024-12-28,13:20:42,50,Sxxxx4790xxx,Pakruojis
2024-12-28,13:20:42,50,Vxxxx3912xxx,Pakruojis
2024-12-28,13:20:42,50,Rxxxx1478xxx,Pakruojis
2024-12-28,13:20:42,50,Wxxxx7454xxx,Pakruojis
2024-12-28,13:20:42,50,Rxxxx9823xxx,Pakruojis
2024-12-28,13:20:42,50,Yxxxx3432xxx,Pakruojis
2024-12-28,13:20:42,50,Uxxxx3709xxx,Pakruojis
2024-12-28,13:13:39,50,Uxxxx4779xxx,Pakruojis
2024-12-28,13:13:39,50,Sxxxx1482xxx,Pakruojis
2024-12-28,13:12:28,20,Sxxxx3757xxx,Pakruojis
2024-12-28,13:12:28,20,Uxxxx0078xxx,Pakruojis
2024-12-28,13:12:28,20,Uxxxx2468xxx,Pakruojis
2024-12-28,13:12:28,20,Uxxxx3102xxx,Pakruojis
2024-12-28,13:12:28,20,Uxxxx9602xxx,Pakruojis
2024-12-28,13:12:28,20,Exxxx6272xxx,Pakruojis
2024-12-28,12:55:52,10,Sxxxx9188xxx,Pakruojis
2024-12-28,12:54:00,5,Uxxxx2063xxx,Pakruojis
2024-12-28,12:54:00,5,Vxxxx8898xxx,Pakruojis
2024-12-28,12:54:00,5,Mxxxx9927xxx,Pakruojis
2024-12-28,12:54:00,5,Yxxxx7754xxx,Pakruojis
2024-12-28,12:54:00,5,Mxxxx2833xxx,Pakruojis
2024-12-28,12:54:00,5,Uxxxx6233xxx,Pakruojis
