Date,Time,Notetype,Maskedserial,Locality
2024-12-01,14:26:59,20,Exxxx5954xxx,Ivato International Airport
2024-11-12,15:24:07,50,Vxxxx4282xxx,Andasibe
2024-11-12,15:24:07,50,Uxxxx9702xxx,Andasibe
2024-11-12,15:24:07,50,Wxxxx6041xxx,Andasibe
2024-11-12,15:24:07,50,Uxxxx5832xxx,Andasibe
2024-11-12,15:24:07,50,Sxxxx0578xxx,Andasibe
2024-11-12,15:24:07,50,Uxxxx3165xxx,Andasibe
2024-11-12,15:24:07,50,Uxxxx3202xxx,Andasibe
2024-11-12,15:24:07,50,Sxxxx4401xxx,Andasibe
2024-11-12,15:24:07,50,Wxxxx1167xxx,Andasibe
2024-11-12,15:18:08,50,Vxxxx5487xxx,Andasibe
2024-11-12,15:18:08,50,Rxxxx9253xxx,Andasibe
2024-11-12,15:18:08,50,Uxxxx5807xxx,Andasibe
2024-11-12,15:18:08,50,Exxxx4322xxx,Andasibe
2024-11-12,15:16:58,100,Exxxx1706xxx,Andasibe
2024-11-12,15:16:58,100,Exxxx5492xxx,Andasibe
2024-11-12,15:16:58,100,Exxxx5492xxx,Andasibe
2024-11-12,15:16:58,100,Exxxx5492xxx,Andasibe
2024-11-12,15:16:58,100,Exxxx5229xxx,Andasibe
2024-11-12,15:16:58,100,Exxxx1397xxx,Andasibe
2024-11-12,15:16:58,100,Exxxx9219xxx,Andasibe
2024-11-12,15:15:20,100,Rxxxx2579xxx,Andasibe
2024-11-12,15:14:48,20,Uxxxx2010xxx,Andasibe
2024-11-11,01:21:42,20,Xxxxx2725xxx,Ivato International Airport
2024-11-11,01:21:42,10,Rxxxx3256xxx,Ivato International Airport
2024-11-11,01:21:42,10,Wxxxx0838xxx,Ivato International Airport
2024-11-11,01:21:42,10,Yxxxx7335xxx,Ivato International Airport
2024-01-08,13:16:56,5,Uxxxx9489xxx,Toamasina
2024-01-08,13:15:25,10,Fxxxx6383xxx,Toamasina
