Date,Time,Notetype,Maskedserial,Locality
2024-05-21,17:55:46,10,Sxxxx4997xxx,Malé
2024-03-22,15:30:31,20,Sxxxx3274xxx,Vashafaru
2024-03-20,15:12:00,50,Sxxxx9998xxx,Vashafaru
2024-03-20,12:34:26,5,Nxxxx2981xxx,Vashafaru
2024-03-17,16:40:35,20,Zxxxx7005xxx,Vashafaru
2024-03-12,13:51:47,100,Xxxxx6961xxx,Vashafaru
2024-03-12,13:51:29,100,Nxxxx0601xxx,Vashafaru
2024-03-12,13:51:00,50,Sxxxx4407xxx,Vashafaru
2024-03-12,13:50:25,50,Sxxxx4742xxx,Vashafaru
2024-03-12,13:50:14,50,Sxxxx7328xxx,Vashafaru
2024-03-12,13:50:01,50,Sxxxx4062xxx,Vashafaru
2024-03-12,13:49:51,50,Uxxxx1566xxx,Vashafaru
2024-03-12,13:49:32,50,Sxxxx2491xxx,Vashafaru
2024-03-02,16:42:07,20,Sxxxx0739xxx,Eriyadu
2024-03-02,16:42:07,50,Sxxxx3830xxx,Eriyadu
2024-02-12,17:49:15,20,Xxxxx3605xxx,Velana International Airport
2024-02-12,17:49:15,20,Fxxxx6224xxx,Velana International Airport
2024-02-12,17:49:15,10,Rxxxx9697xxx,Velana International Airport
2024-01-07,15:49:28,50,Zxxxx5544xxx,Male
