Date,Time,Notetype,Maskedserial,Locality
2024-02-29,22:54:35,50,Uxxxx4723xxx,Nouachott
2024-02-29,22:54:35,50,Pxxxx0295xxx,Nouachott
2024-02-29,22:54:35,50,Uxxxx4301xxx,Nouachott
2024-02-29,22:54:35,50,Exxxx5692xxx,Nouachott
2024-02-29,22:48:45,50,Uxxxx4075xxx,Nouachott
2024-01-28,11:29:09,20,Uxxxx8337xxx,Atar airport
2024-01-28,11:29:09,20,Rxxxx5441xxx,Atar airport
2024-01-28,11:29:09,20,Uxxxx3495xxx,Atar airport
2024-01-28,11:29:09,20,Uxxxx1537xxx,Atar airport
2024-01-28,11:29:09,20,Uxxxx1992xxx,Atar airport
2024-01-28,11:24:43,20,Uxxxx8352xxx,Atar airport
2024-01-28,11:24:42,20,Uxxxx8601xxx,Atar airport
2024-01-28,11:24:42,20,Xxxxx6018xxx,Atar airport
2024-01-28,11:24:42,20,Fxxxx9849xxx,Atar airport
2024-01-28,11:24:42,20,Uxxxx3101xxx,Atar airport
2024-01-27,21:22:29,50,Uxxxx0677xxx,Atar airport
2024-01-27,21:19:39,50,Uxxxx2576xxx,Atar airport
2024-01-27,21:18:24,10,Vxxxx0274xxx,Atar airport
2024-01-27,20:59:19,10,Vxxxx9051xxx,Atar airport
2024-01-27,20:59:19,10,Rxxxx5231xxx,Atar airport
2024-01-27,20:56:47,10,Wxxxx7352xxx,Atar airport
2024-01-27,20:54:02,5,Zxxxx0605xxx,Atar airport
2024-01-27,20:52:19,10,Rxxxx0098xxx,Atar airport
2024-01-27,20:52:19,10,Nxxxx8247xxx,Atar airport
2024-01-27,20:49:26,5,Uxxxx2702xxx,Atar airport
2024-01-27,20:49:26,5,Vxxxx7088xxx,Atar airport
