Date,Time,Notetype,Maskedserial,Locality
2024-12-13,08:43:58,5,Mxxxx5017xxx,Podgorica
2024-12-11,20:27:06,5,Vxxxx1051xxx,Podgorica
2024-12-02,23:30:11,50,Uxxxx2009xxx,Tuz
2024-12-02,23:28:46,20,Uxxxx5627xxx,Tuz
2024-12-02,23:27:38,5,Uxxxx3377xxx,Tuz
2024-12-02,23:26:38,20,Nxxxx3407xxx,Tuz
2024-11-10,04:18:20,10,Wxxxx9093xxx,Boboviste
2024-11-10,04:17:31,10,Wxxxx4367xxx,Kotor
2024-11-10,04:16:43,5,Vxxxx3111xxx,Kotor
2024-11-10,04:15:44,5,Vxxxx3194xxx,Sutorina
2024-11-04,11:46:13,5,Mxxxx2025xxx,Kotor
2024-11-04,11:46:13,5,Uxxxx9751xxx,Kotor
2024-11-04,11:46:13,5,Yxxxx3812xxx,Kotor
2024-11-04,01:11:46,5,Mxxxx7088xxx,Igalo
2024-09-29,21:08:04,5,Nxxxx3284xxx,Vilusi
2024-09-29,21:07:11,5,Exxxx2475xxx,Vilusi
2024-09-29,21:06:09,5,Sxxxx7468xxx,Vilusi
2024-09-29,21:05:06,5,Yxxxx3882xxx,Nikšić
2024-09-29,21:04:05,5,Vxxxx5110xxx,Nikšić
2024-09-29,21:03:10,5,Yxxxx1816xxx,Nikšić
2024-09-29,21:01:09,10,Nxxxx7231xxx,Danilovgrad
2024-09-29,21:00:10,5,Zxxxx6309xxx,Danilovgrad
2024-09-28,20:12:16,100,Exxxx6131xxx,Podgorica
2024-09-28,20:11:17,50,Rxxxx1655xxx,Podgorica
2024-09-28,20:10:09,20,Sxxxx4902xxx,Podgorica
2024-09-28,20:09:15,10,Wxxxx3148xxx,Podgorica
2024-09-28,20:08:11,5,Nxxxx5009xxx,Podgorica
2024-09-28,20:07:09,5,Vxxxx3693xxx,Kolašin
2024-09-28,20:05:10,10,Xxxxx0505xxx,Bijelo Polje
2024-09-28,20:04:17,5,Nxxxx8303xxx,Bijelo Polje
2024-09-28,20:03:14,5,Nxxxx3475xxx,Berane
2024-09-28,20:02:14,10,Wxxxx0330xxx,Andrijevica
2024-09-28,20:01:33,5,Vxxxx9588xxx,Andrijevica
2024-09-28,20:00:10,10,Rxxxx5629xxx,Plav
2024-09-27,21:04:09,10,Nxxxx2877xxx,Podgorica
2024-09-27,21:03:05,20,Uxxxx2897xxx,Podgorica
2024-09-27,21:02:04,50,Exxxx2663xxx,Podgorica
2024-09-27,21:01:06,100,Rxxxx6802xxx,Podgorica
2024-09-27,20:59:18,5,Mxxxx7967xxx,Podgorica
2024-09-27,20:58:08,50,Sxxxx7557xxx,
2024-09-27,20:57:07,50,Rxxxx0433xxx,
2024-09-27,20:56:06,50,Wxxxx9920xxx,
2024-09-27,20:55:13,50,Pxxxx7156xxx,
2024-09-26,12:39:19,5,Mxxxx9451xxx,Ulcinj
2024-09-26,12:39:19,20,Exxxx5092xxx,Ulcinj
2024-09-26,12:39:19,20,Uxxxx3302xxx,Ulcinj
2024-09-26,12:39:19,50,Vxxxx6807xxx,Ulcinj
2024-09-25,20:55:19,5,Vxxxx3765xxx,Kavač
2024-09-25,20:36:53,10,Fxxxx9378xxx,Kotor
2024-09-25,20:36:53,20,Wxxxx8535xxx,Kotor
2024-09-25,20:36:53,5,Vxxxx3416xxx,Kotor
2024-09-25,20:36:53,10,Wxxxx8864xxx,Kotor
2024-09-25,20:36:53,10,Nxxxx7182xxx,Kotor
2024-09-25,20:36:53,10,Fxxxx4862xxx,Kotor
2024-09-25,20:36:53,10,Wxxxx8864xxx,Kotor
2024-09-25,20:36:53,10,Nxxxx0268xxx,Kotor
2024-09-25,20:36:53,20,Xxxxx2579xxx,Kotor
2024-09-25,20:36:53,20,Rxxxx9328xxx,Kotor
2024-09-25,20:29:15,5,Nxxxx5704xxx,Tivat
2024-09-25,20:29:15,10,Wxxxx0168xxx,Tivat
2024-09-25,20:29:15,10,Yxxxx2455xxx,Tivat
2024-09-25,20:29:15,10,Wxxxx4413xxx,Tivat
