Date,Time,Notetype,Maskedserial,Locality
2024-12-10,07:51:24,20,Nxxxx1270xxx,Kathmandu
2024-12-10,07:50:15,10,Pxxxx5669xxx,Kathmandu
2024-12-10,07:44:20,10,Rxxxx7815xxx,Kathmandu
2024-12-10,07:43:00,10,Rxxxx6817xxx,Kathmandu
2024-12-10,07:42:27,10,Yxxxx7209xxx,Kathmandu
2024-12-10,07:41:53,10,Yxxxx1110xxx,Kathmandu
2024-12-10,07:41:20,10,Wxxxx4089xxx,Kathmandu
2024-12-10,07:40:43,10,Wxxxx3737xxx,Kathmandu
2024-12-10,07:40:06,10,Wxxxx7764xxx,Kathmandu
2024-12-10,07:39:18,10,Vxxxx0072xxx,Kathmandu
2024-12-10,07:38:30,10,Rxxxx1076xxx,Kathmandu
2024-12-03,18:50:23,10,Rxxxx5639xxx,Kathmandu
2024-12-03,18:49:37,10,Exxxx2171xxx,Kathmandu
2024-12-03,18:49:09,10,Wxxxx4880xxx,Kathmandu
2024-12-03,18:48:46,10,Uxxxx7848xxx,Kathmandu
2024-12-03,18:48:22,10,Sxxxx4790xxx,Kathmandu
2024-11-30,14:29:34,10,Wxxxx5717xxx,Kathmandu
2024-11-30,14:23:06,50,Uxxxx8468xxx,Kathmandu
2024-11-17,20:10:03,50,Uxxxx3227xxx,Kathmandu
2024-11-17,20:10:03,50,Vxxxx6026xxx,Kathmandu
2024-11-17,20:10:03,50,Vxxxx0304xxx,Kathmandu
2024-11-17,20:10:03,50,Vxxxx0304xxx,Kathmandu
2024-11-17,20:10:03,50,Vxxxx5637xxx,Kathmandu
