Date,Time,Notetype,Maskedserial,Locality
2024-12-28,13:16:54,50,Vxxxx9092xxx,Nieuw-Vennep
2024-12-28,13:16:39,50,Exxxx7858xxx,Nieuw-Vennep
2024-12-28,13:16:12,50,Exxxx3867xxx,Nieuw-Vennep
2024-12-28,13:15:55,50,Pxxxx1473xxx,Nieuw-Vennep
2024-12-28,13:15:28,50,Rxxxx5671xxx,Nieuw-Vennep
2024-12-28,13:11:59,50,Uxxxx2618xxx,Nunspeet
2024-12-28,13:11:59,20,Nxxxx5205xxx,Nunspeet
2024-12-28,13:11:59,10,Wxxxx3567xxx,Nunspeet
2024-12-28,13:10:05,5,Mxxxx6738xxx,Beek
2024-12-28,13:07:52,5,Uxxxx2880xxx,Enkhuizen
2024-12-28,13:07:45,20,Uxxxx7058xxx,Beek
2024-12-28,12:51:05,20,Rxxxx1248xxx,Helmond
2024-12-28,12:51:05,10,Sxxxx9194xxx,Helmond
2024-12-28,12:37:24,5,Mxxxx8446xxx,Steenwijk
2024-12-28,12:37:24,5,Zxxxx9925xxx,Steenwijk
2024-12-28,12:37:24,5,Uxxxx1671xxx,Steenwijk
2024-12-28,12:06:20,10,Txxxx3879xxx,Veenendaal
2024-12-28,12:06:20,10,Txxxx3879xxx,Veenendaal
2024-12-28,12:06:20,10,Txxxx3879xxx,Veenendaal
2024-12-28,12:06:20,10,Txxxx3879xxx,Veenendaal
2024-12-28,12:04:40,20,Uxxxx7514xxx,Rhenen
2024-12-28,12:04:40,10,Wxxxx4707xxx,Rhenen
2024-12-28,12:04:40,5,Yxxxx7790xxx,Rhenen
2024-12-28,12:02:32,20,Rxxxx4419xxx,Molenhoek
2024-12-28,12:02:32,20,Rxxxx0500xxx,Molenhoek
2024-12-28,12:02:32,5,Mxxxx9313xxx,Molenhoek
2024-12-28,11:50:16,10,Vxxxx8468xxx,Zandvoort
2024-12-28,11:48:56,10,Uxxxx4618xxx,Zandvoort
2024-12-28,11:48:17,50,Vxxxx7092xxx,Dronten
2024-12-28,11:48:17,50,Vxxxx5094xxx,Dronten
2024-12-28,11:48:17,50,Vxxxx5094xxx,Dronten
2024-12-28,11:48:17,50,Vxxxx5094xxx,Dronten
2024-12-28,11:48:17,50,Vxxxx5094xxx,Dronten
2024-12-28,11:48:17,50,Vxxxx5094xxx,Dronten
2024-12-28,11:48:17,20,Rxxxx1078xxx,Dronten
2024-12-28,11:48:17,20,Rxxxx5797xxx,Dronten
2024-12-28,11:48:17,20,Sxxxx3414xxx,Dronten
2024-12-28,11:48:17,20,Nxxxx4940xxx,Dronten
2024-12-28,11:48:17,20,Uxxxx5287xxx,Dronten
2024-12-28,11:48:17,20,Rxxxx0327xxx,Dronten
2024-12-28,11:48:17,10,Rxxxx8988xxx,Dronten
2024-12-28,11:48:17,10,Fxxxx1201xxx,Dronten
