Date,Time,Notetype,Maskedserial,Locality
2024-12-17,17:42:31,10,Yxxxx9072xxx,Bergen
2024-12-17,17:42:31,10,Wxxxx2109xxx,Bergen
2024-12-17,17:42:31,10,Wxxxx2465xxx,Bergen
2024-12-17,17:42:31,10,Wxxxx2819xxx,Bergen
2024-12-17,17:42:31,10,Wxxxx0777xxx,Bergen
2024-12-17,17:42:31,20,Zxxxx3742xxx,Bergen
2024-12-17,17:42:31,20,Exxxx9324xxx,Bergen
2024-12-17,17:42:31,20,Fxxxx9923xxx,Bergen
2024-12-17,17:42:31,5,Vxxxx9146xxx,Bergen
2024-12-17,17:42:31,5,Mxxxx1007xxx,Bergen
2024-11-25,10:34:29,50,Uxxxx8719xxx,Gardemoen
2024-11-25,10:34:29,50,Uxxxx8719xxx,Gardemoen
2024-10-31,11:14:03,5,Mxxxx4448xxx,Oslo
2024-10-31,11:13:46,5,Zxxxx0157xxx,Oslo
2024-10-31,11:12:58,10,Nxxxx6961xxx,Oslo
2024-10-31,11:12:02,10,Vxxxx5502xxx,Oslo
2024-10-31,11:11:28,20,Uxxxx5314xxx,Oslo
2024-10-31,10:38:25,20,Exxxx7745xxx,Oslo
2024-10-31,10:38:02,20,Sxxxx8091xxx,Oslo
2024-10-31,10:37:41,20,Exxxx1840xxx,Oslo
2024-10-30,22:52:42,10,Fxxxx4850xxx,Drammen
2024-10-30,22:50:24,50,Vxxxx3528xxx,Drammen
2024-10-30,22:49:21,5,Vxxxx0699xxx,Drammen
2024-10-20,22:33:04,10,Vxxxx3565xxx,Straume
2024-10-20,22:33:04,10,Txxxx6909xxx,Straume
2024-10-20,22:33:04,5,Vxxxx8762xxx,Straume
2024-10-13,18:15:59,20,Uxxxx3138xxx,Oslo
2024-10-13,18:15:59,20,Exxxx1174xxx,Oslo
2024-10-13,18:15:59,10,Vxxxx2378xxx,Oslo
2024-10-13,18:15:59,5,Uxxxx7552xxx,Oslo
2024-10-12,20:32:38,10,Pxxxx4029xxx,Oslo
2024-10-12,20:32:38,10,Fxxxx2214xxx,Oslo
2024-10-12,20:32:38,10,Rxxxx9159xxx,Oslo
2024-10-12,20:29:23,10,Exxxx4108xxx,Gardermoen
2024-10-12,20:29:23,10,Fxxxx3864xxx,Gardermoen
2024-10-12,20:24:10,5,Mxxxx0350xxx,Oslo
2024-10-12,20:24:10,5,Yxxxx0996xxx,Oslo
2024-10-12,20:24:10,5,Mxxxx4565xxx,Oslo
2024-10-12,20:24:10,5,Nxxxx1870xxx,Oslo
2024-10-12,20:24:10,5,Txxxx5299xxx,Oslo
2024-10-12,20:24:10,5,Nxxxx1569xxx,Oslo
2024-10-12,20:24:10,5,Vxxxx5990xxx,Oslo
2024-10-12,20:24:10,5,Vxxxx7902xxx,Oslo
2024-10-12,20:24:10,5,Wxxxx2825xxx,Oslo
2024-10-12,20:24:10,5,Zxxxx1329xxx,Oslo
2024-10-05,21:55:48,10,Wxxxx1750xxx,Oslo
2024-09-28,16:28:44,50,Exxxx9900xxx,Bergen
2024-09-22,21:16:18,10,Wxxxx9774xxx,Oslo
2024-09-21,18:01:29,10,Rxxxx7844xxx,Oslo
2024-09-21,18:01:29,10,Wxxxx7753xxx,Oslo
2024-09-21,18:01:29,5,Nxxxx4213xxx,Oslo
2024-09-21,18:01:29,5,Yxxxx1557xxx,Oslo
2024-09-21,18:01:29,5,Wxxxx1901xxx,Oslo
2024-09-21,18:01:29,5,Zxxxx2447xxx,Oslo
2024-09-21,18:01:29,5,Uxxxx4914xxx,Oslo
2024-09-21,18:01:29,5,Mxxxx9956xxx,Oslo
2024-09-21,18:01:29,5,Nxxxx5297xxx,Oslo
2024-09-21,18:01:29,5,Mxxxx0099xxx,Oslo
2024-09-16,13:47:08,50,Uxxxx2939xxx,Oslo Airport
2024-09-16,13:47:08,50,Uxxxx2939xxx,Oslo Airport
2024-09-13,18:41:59,5,Zxxxx9915xxx,Oslo
2024-09-13,18:41:59,5,Vxxxx5982xxx,Oslo
2024-09-13,18:41:59,5,Exxxx6273xxx,Oslo
2024-09-13,18:41:59,5,Zxxxx8930xxx,Oslo
2024-09-13,18:41:59,5,Mxxxx2186xxx,Oslo
2024-09-13,18:41:59,5,Mxxxx3459xxx,Oslo
2024-09-04,07:25:24,20,Exxxx7278xxx,Skjervoy
2024-09-03,13:35:47,20,Exxxx5952xxx,Oslo
2024-08-31,16:52:07,5,Mxxxx9973xxx,Oslo
2024-08-31,16:52:07,5,Wxxxx3177xxx,Oslo
2024-08-31,16:52:07,5,Uxxxx2202xxx,Oslo
2024-08-31,16:52:07,5,Uxxxx5473xxx,Oslo
2024-08-31,16:52:07,5,Mxxxx0056xxx,Oslo
2024-08-31,16:52:07,5,Mxxxx2601xxx,Oslo
2024-08-31,16:52:07,5,Vxxxx2887xxx,Oslo
2024-08-31,16:52:07,5,Zxxxx7211xxx,Oslo
2024-08-31,16:52:07,10,Exxxx5500xxx,Oslo
2024-08-24,13:49:32,10,Yxxxx6091xxx,Oslo
2024-08-24,13:49:32,10,Sxxxx2693xxx,Oslo
2024-08-24,13:49:32,10,Rxxxx5570xxx,Oslo
2024-08-24,13:49:32,5,Vxxxx0951xxx,Oslo
2024-08-24,13:49:32,5,Zxxxx3488xxx,Oslo
2024-08-19,15:16:32,10,Wxxxx9336xxx,Oslo
2024-08-18,16:29:26,50,Uxxxx8266xxx,Oslo
2024-08-18,16:29:26,50,Uxxxx8266xxx,Oslo
2024-08-18,16:29:26,50,Uxxxx8266xxx,Oslo
2024-08-18,16:29:26,50,Uxxxx8267xxx,Oslo
2024-08-18,16:29:26,50,Uxxxx8267xxx,Oslo
2024-08-18,16:29:26,50,Uxxxx8267xxx,Oslo
2024-08-18,16:29:26,50,Uxxxx8267xxx,Oslo
