Date,Time,Notetype,Maskedserial,Locality
2024-12-19,23:52:13,10,Yxxxx8121xxx,Aéroport international Blaise Diagne
2024-12-19,23:51:33,10,Pxxxx2118xxx,Aéroport international Blaise Diagne
2024-12-19,23:50:42,20,Uxxxx3458xxx,Aéroport international Blaise Diagne
2024-11-30,10:58:34,50,Wxxxx5134xxx,Mbour
2024-11-30,10:58:34,20,Uxxxx1448xxx,Mbour
2024-11-30,10:58:34,20,Rxxxx0061xxx,Mbour
2024-11-30,10:58:34,10,Exxxx1514xxx,Mbour
2024-11-30,10:58:34,5,Txxxx0601xxx,Mbour
2024-05-25,14:46:55,10,Rxxxx8624xxx,Aéroport international Blaise Diagne
2024-05-08,01:18:28,10,Wxxxx2247xxx,Aéroport Blaise Diagne
2024-04-09,08:37:56,100,Sxxxx3689xxx,Dakar
2024-04-09,08:37:56,20,Vxxxx3961xxx,Dakar
2024-04-09,08:32:48,20,Uxxxx5865xxx,Tambacounda
2024-04-09,08:32:48,20,Sxxxx8423xxx,Tambacounda
2024-04-09,08:27:17,20,Sxxxx7056xxx,Kedougou
2024-04-09,08:27:17,20,Sxxxx2705xxx,Kedougou
2024-04-09,08:27:17,10,Nxxxx3349xxx,Kedougou
2024-04-09,08:27:17,5,Vxxxx2600xxx,Kedougou
2024-03-03,16:22:18,50,Sxxxx2966xxx,Dakar
2024-03-03,16:22:18,10,Wxxxx5083xxx,Dakar
2024-01-19,21:30:11,10,Pxxxx7159xxx,Dakar
2024-01-19,21:30:11,20,Nxxxx8538xxx,Dakar
2024-01-19,21:30:11,50,Mxxxx4038xxx,Dakar
2024-01-19,21:30:11,50,Exxxx4232xxx,Dakar
2024-01-19,21:30:11,100,Vxxxx4662xxx,Dakar
2024-01-19,21:30:11,100,Rxxxx1501xxx,Dakar
