Date,Time,Notetype,Maskedserial,Locality
2024-12-20,09:19:04,50,Exxxx8537xxx,Singapore
2024-12-15,07:40:18,20,Exxxx4352xxx,Singapore
2024-11-27,16:27:53,10,Exxxx9164xxx,Sentosa
2024-11-26,18:36:04,20,Mxxxx5810xxx,Singapore
2024-11-26,18:36:04,50,Rxxxx1923xxx,Singapore
2024-11-26,18:36:04,50,Sxxxx3653xxx,Singapore
2024-11-26,18:36:04,50,Wxxxx7562xxx,Singapore
2024-11-26,18:36:04,50,Vxxxx6407xxx,Singapore
2024-11-26,18:36:04,50,Sxxxx5737xxx,Singapore
2024-11-26,18:36:04,50,Vxxxx4624xxx,Singapore
2024-11-26,18:36:04,50,Zxxxx3322xxx,Singapore
2024-11-26,18:36:04,50,Vxxxx7925xxx,Singapore
2024-11-26,18:36:04,50,Uxxxx6492xxx,Singapore
2024-11-26,18:32:00,50,Uxxxx3475xxx,Singapore
2024-11-26,18:31:36,50,Uxxxx4383xxx,Singapore
2024-11-26,18:31:16,50,Uxxxx0463xxx,Singapore
2024-11-26,18:30:51,50,Sxxxx4818xxx,Singapore
2024-11-26,18:30:25,50,Wxxxx1369xxx,Singapore
2024-11-26,18:29:46,50,Vxxxx2962xxx,Singapore
2024-11-26,18:29:25,50,Exxxx9457xxx,Singapore
2024-11-26,18:29:04,50,Uxxxx7779xxx,Singapore
2024-11-26,18:28:41,50,Rxxxx3132xxx,Singapore
2024-11-26,18:28:18,50,Zxxxx0525xxx,Singapore
2024-11-26,18:27:54,50,Rxxxx3441xxx,Singapore
2024-11-26,18:27:31,50,Vxxxx3243xxx,Singapore
2024-11-26,18:27:07,50,Uxxxx5608xxx,Singapore
2024-11-26,18:25:35,200,Exxxx4399xxx,Singapore
2024-11-26,18:25:03,200,Uxxxx9564xxx,Singapore
2024-11-26,18:24:33,200,Uxxxx3876xxx,Singapore
2024-11-26,18:23:59,200,Sxxxx9681xxx,Singapore
2024-11-26,18:23:21,200,Sxxxx3370xxx,Singapore
2024-11-26,01:17:54,5,Mxxxx4442xxx,Singapore
2024-11-24,10:04:37,10,Xxxxx5771xxx,Singapore
2024-11-24,08:12:10,10,Rxxxx9722xxx,Singapore
2024-11-24,08:11:43,5,Nxxxx9741xxx,Singapore
2024-11-02,02:24:52,100,Rxxxx5617xxx,Singapur
2024-11-02,02:24:52,100,Xxxxx0257xxx,Singapur
2024-11-02,02:22:47,50,Rxxxx5684xxx,Singapur
2024-11-02,02:22:47,50,Rxxxx5852xxx,Singapur
2024-11-02,02:21:05,50,Rxxxx5852xxx,Singapur
2024-11-02,02:21:05,50,Sxxxx0343xxx,Singapur
2024-11-02,02:17:58,50,Wxxxx5085xxx,Singapur
2024-11-02,02:17:58,50,Rxxxx5684xxx,Singapur
2024-10-17,05:17:26,20,Rxxxx1818xxx,Singapore
2024-10-17,05:17:26,50,Uxxxx2214xxx,Singapore
2024-10-17,05:17:26,50,Uxxxx5277xxx,Singapore
2024-09-19,10:58:09,20,Sxxxx6696xxx,Singapore
2024-09-12,18:33:04,200,Exxxx4719xxx,Singapore
2024-09-12,18:32:44,200,Exxxx4719xxx,Singapore
2024-09-12,18:32:18,200,Exxxx4719xxx,Singapore
2024-09-12,18:31:55,200,Exxxx4719xxx,Singapore
2024-09-12,18:31:32,200,Exxxx4719xxx,Singapore
2024-09-12,18:31:10,200,Exxxx4717xxx,Singapore
2024-09-12,18:30:51,200,Exxxx4712xxx,Singapore
2024-09-12,18:30:29,200,Exxxx4712xxx,Singapore
2024-09-12,18:29:42,50,Sxxxx9726xxx,Singapore
2024-09-12,18:29:19,50,Rxxxx7733xxx,Singapore
2024-09-12,18:28:53,50,Vxxxx9535xxx,Singapore
2024-09-12,18:28:20,50,Mxxxx3183xxx,Singapore
2024-09-12,18:27:57,50,Exxxx2562xxx,Singapore
2024-09-12,18:27:33,50,Uxxxx9943xxx,Singapore
2024-09-12,18:27:07,20,Uxxxx9023xxx,Singapore
2024-09-12,18:26:44,20,Uxxxx8991xxx,Singapore
2024-09-12,18:26:22,20,Uxxxx2456xxx,Singapore
2024-09-12,18:25:58,20,Uxxxx0361xxx,Singapore
2024-09-12,18:25:24,100,Uxxxx2924xxx,Singapore
2024-09-12,18:24:59,100,Uxxxx8548xxx,Singapore
2024-09-12,18:24:38,100,Uxxxx1334xxx,Singapore
2024-09-12,18:24:08,100,Exxxx8518xxx,Singapore
2024-09-12,18:23:43,100,Exxxx7798xxx,Singapore
2024-08-26,15:23:49,5,Xxxxx4592xxx,Changi
2024-08-26,15:23:10,50,Exxxx7915xxx,Changi
2024-08-26,15:23:10,50,Rxxxx6074xxx,Changi
2024-07-22,14:04:57,50,Uxxxx5589xxx,Singapore
2024-07-22,14:04:35,50,Rxxxx5111xxx,Singapore
2024-07-22,14:04:12,50,Uxxxx6007xxx,Singapore
2024-07-22,14:03:43,50,Uxxxx3329xxx,Singapore
2024-07-22,14:03:15,50,Uxxxx0963xxx,Singapore
2024-07-22,14:02:49,50,Sxxxx8778xxx,Singapore
2024-07-22,14:02:03,50,Xxxxx0626xxx,Singapore
2024-07-22,14:01:28,10,Mxxxx4536xxx,Singapore
2024-07-22,14:00:04,5,Yxxxx8722xxx,Singapore
2024-07-21,19:02:27,10,Wxxxx7129xxx,Changi
2024-07-21,19:02:27,10,Vxxxx6725xxx,Changi
2024-07-21,19:02:27,5,Wxxxx2620xxx,Changi
2024-06-07,10:18:35,100,Exxxx9264xxx,Singapore
2024-06-07,10:18:35,100,Rxxxx9315xxx,Singapore
2024-06-07,10:18:35,10,Uxxxx9027xxx,Singapore
2024-06-07,10:18:35,10,Txxxx1018xxx,Singapore
2024-06-07,10:18:35,10,Yxxxx0672xxx,Singapore
2024-05-18,19:04:59,50,Vxxxx0705xxx,Singapore Changi Airport
2024-05-18,08:43:21,50,Sxxxx5798xxx,Singapore
2024-05-18,08:43:21,50,Pxxxx3886xxx,Singapore
2024-05-18,08:43:21,50,Sxxxx3789xxx,Singapore
2024-05-18,08:43:21,50,Uxxxx6319xxx,Singapore
2024-05-18,08:43:21,50,Exxxx3269xxx,Singapore
2024-05-10,01:56:54,50,Vxxxx7327xxx,Singapore Changi Airport
2024-05-07,18:37:03,50,Vxxxx5800xxx,Singapore Changi Airport
2024-04-30,18:12:04,50,Uxxxx9070xxx,Singapore Changi Airport
2024-04-19,17:50:53,50,Uxxxx7702xxx,Singapore Changi Airport
2024-04-14,19:12:54,50,Uxxxx7116xxx,Singapore Changi Airport
2024-04-13,13:05:40,50,Uxxxx2576xxx,Singapore Changi Airport
2024-04-11,21:06:13,50,Uxxxx2589xxx,Singapore Changi Airport
2024-04-08,10:12:15,500,Vxxxx4725xxx,Singapore
2024-04-08,10:11:28,500,Xxxxx7108xxx,Singapore
2024-04-08,10:10:40,500,Xxxxx4146xxx,Singapore
