Date,Time,Notetype,Maskedserial,Locality
2024-12-28,13:25:59,10,Wxxxx5461xxx,Jesenské
2024-12-28,13:25:59,10,Exxxx2362xxx,Jesenské
2024-12-28,13:25:59,10,Yxxxx8165xxx,Jesenské
2024-12-28,13:23:43,5,Nxxxx0283xxx,Jesenské
2024-12-28,13:23:43,5,Sxxxx9033xxx,Jesenské
2024-12-28,13:23:43,5,Nxxxx7788xxx,Jesenské
2024-12-28,13:23:43,5,Nxxxx4227xxx,Jesenské
2024-12-28,13:23:43,5,Nxxxx8119xxx,Jesenské
2024-12-28,13:23:43,5,Vxxxx6753xxx,Jesenské
2024-12-28,13:23:43,5,Nxxxx3481xxx,Jesenské
2024-12-28,13:23:43,5,Zxxxx0385xxx,Jesenské
2024-12-28,13:23:43,5,Sxxxx7868xxx,Jesenské
2024-12-28,13:23:43,5,Vxxxx1935xxx,Jesenské
2024-12-28,13:23:43,5,Mxxxx1541xxx,Jesenské
2024-12-28,13:23:43,5,Nxxxx6288xxx,Jesenské
2024-12-28,13:23:43,5,Vxxxx2646xxx,Jesenské
2024-12-28,10:31:27,50,Vxxxx2239xxx,Trenčín
2024-12-28,10:19:51,20,Uxxxx4174xxx,Michalovce
2024-12-28,10:19:20,5,Yxxxx7179xxx,Michalovce
2024-12-28,09:36:30,5,Vxxxx3314xxx,Prievidza
2024-12-28,08:43:44,10,Wxxxx5860xxx,Jesenské
2024-12-28,08:43:44,20,Exxxx4958xxx,Jesenské
2024-12-28,08:43:44,20,Rxxxx3294xxx,Jesenské
2024-12-28,07:32:41,5,Txxxx2990xxx,Nová Dubnica
2024-12-28,00:41:38,20,Uxxxx1339xxx,Dunajská Lužná
2024-12-28,00:39:12,50,Vxxxx0146xxx,Dunajská Lužná
2024-12-28,00:39:12,50,Wxxxx5842xxx,Dunajská Lužná
2024-12-28,00:39:12,50,Uxxxx3707xxx,Dunajská Lužná
2024-12-28,00:39:12,20,Rxxxx8102xxx,Dunajská Lužná
2024-12-28,00:39:12,20,Uxxxx9805xxx,Dunajská Lužná
2024-12-28,00:39:12,20,Uxxxx9327xxx,Dunajská Lužná
2024-12-28,00:39:12,20,Rxxxx6056xxx,Dunajská Lužná
2024-12-28,00:39:12,20,Uxxxx6175xxx,Dunajská Lužná
2024-12-28,00:39:12,20,Rxxxx5740xxx,Dunajská Lužná
2024-12-28,00:39:12,20,Exxxx1167xxx,Dunajská Lužná
2024-12-28,00:39:12,20,Sxxxx9804xxx,Dunajská Lužná
2024-12-28,00:39:12,10,Nxxxx1139xxx,Dunajská Lužná
2024-12-28,00:39:12,10,Wxxxx6344xxx,Dunajská Lužná
2024-12-28,00:39:12,10,Yxxxx1717xxx,Dunajská Lužná
2024-12-28,00:39:12,10,Vxxxx5532xxx,Dunajská Lužná
2024-12-28,00:39:12,5,Nxxxx6712xxx,Dunajská Lužná
2024-12-28,00:39:12,5,Vxxxx3707xxx,Dunajská Lužná
2024-12-28,00:39:12,5,Vxxxx6306xxx,Dunajská Lužná
2024-12-28,00:39:12,5,Nxxxx9768xxx,Dunajská Lužná
2024-12-27,23:07:39,5,Nxxxx7463xxx,Košice
2024-12-27,23:04:04,5,Vxxxx8815xxx,Košice
2024-12-27,23:04:04,5,Vxxxx7957xxx,Košice
2024-12-27,23:04:04,5,Nxxxx7798xxx,Košice
2024-12-27,23:04:04,100,Sxxxx6773xxx,Košice
2024-12-27,23:04:04,100,Xxxxx1685xxx,Košice
2024-12-27,22:47:21,50,Sxxxx2745xxx,Jesenské
2024-12-27,22:42:44,5,Vxxxx2817xxx,Zeleneč
2024-12-27,22:42:44,10,Rxxxx1427xxx,Zeleneč
2024-12-27,22:42:44,20,Xxxxx1070xxx,Zeleneč
2024-12-27,22:42:44,20,Uxxxx1689xxx,Zeleneč
2024-12-27,22:42:44,20,Sxxxx4639xxx,Zeleneč
2024-12-27,22:32:46,10,Vxxxx0620xxx,Bratislava-Petržalka
2024-12-27,21:59:26,100,Vxxxx7726xxx,Trenčín
2024-12-27,21:59:26,100,Uxxxx8038xxx,Trenčín
2024-12-27,21:59:26,100,Rxxxx2080xxx,Trenčín
2024-12-27,21:59:26,100,Sxxxx2890xxx,Trenčín
2024-12-27,19:26:46,5,Nxxxx6063xxx,Bratislava
2024-12-27,19:26:46,5,Zxxxx2896xxx,Bratislava
2024-12-27,19:26:42,50,Rxxxx5334xxx,Tlmače - Lipník
2024-12-27,19:26:42,20,Rxxxx5057xxx,Tlmače - Lipník
2024-12-27,19:26:02,5,Nxxxx9379xxx,Bratislava
2024-12-27,19:26:02,5,Vxxxx3003xxx,Bratislava
2024-12-27,19:25:14,5,Mxxxx3306xxx,Bratislava
2024-12-27,19:25:14,5,Mxxxx5210xxx,Bratislava
2024-12-27,19:24:40,5,Nxxxx9867xxx,Bratislava
2024-12-27,19:24:40,5,Nxxxx4835xxx,Bratislava
2024-12-27,19:23:49,5,Nxxxx7955xxx,Bratislava
2024-12-27,19:23:49,5,Nxxxx9602xxx,Bratislava
2024-12-27,18:44:07,100,Uxxxx4708xxx,Poprad
2024-12-27,18:44:07,100,Vxxxx1788xxx,Poprad
2024-12-27,18:44:07,100,Rxxxx0877xxx,Poprad
2024-12-27,18:44:07,100,Vxxxx1788xxx,Poprad
2024-12-27,18:44:07,100,Uxxxx0082xxx,Poprad
2024-12-27,18:44:07,100,Wxxxx4336xxx,Poprad
2024-12-27,18:44:07,100,Rxxxx3447xxx,Poprad
2024-12-27,18:44:07,100,Rxxxx4423xxx,Poprad
2024-12-27,18:44:07,100,Rxxxx9677xxx,Poprad
2024-12-27,18:44:06,100,Rxxxx0215xxx,Poprad
2024-12-27,18:44:06,100,Uxxxx0591xxx,Poprad
2024-12-27,18:44:06,100,Vxxxx1909xxx,Poprad
2024-12-27,18:33:20,100,Rxxxx9677xxx,Poprad
2024-12-27,18:33:20,20,Exxxx4679xxx,Poprad
2024-12-27,18:33:20,5,Nxxxx0183xxx,Poprad
2024-12-27,17:43:20,20,Wxxxx2784xxx,Michal nad Zitavou
2024-12-27,17:43:20,20,Rxxxx2111xxx,Michal nad Zitavou
2024-12-27,17:43:20,20,Uxxxx8889xxx,Michal nad Zitavou
2024-12-27,17:43:20,20,Uxxxx7442xxx,Michal nad Zitavou
2024-12-27,17:43:20,50,Wxxxx5979xxx,Michal nad Zitavou
2024-12-27,16:33:39,5,Nxxxx1562xxx,Bratislava
2024-12-27,16:33:39,5,Nxxxx1546xxx,Bratislava
2024-12-27,16:33:39,5,Mxxxx8752xxx,Bratislava
2024-12-27,16:33:39,5,Mxxxx0875xxx,Bratislava
2024-12-27,15:43:47,5,Mxxxx6880xxx,Prešov
2024-12-27,14:21:28,5,Vxxxx9692xxx,Svidník
2024-12-27,14:21:28,5,Mxxxx8158xxx,Svidník
2024-12-27,14:21:28,5,Nxxxx1124xxx,Svidník
2024-12-27,14:21:28,5,Nxxxx8037xxx,Svidník
2024-12-27,14:21:28,5,Vxxxx3853xxx,Svidník
2024-12-27,14:21:27,5,Vxxxx3792xxx,Svidník
2024-12-27,14:21:27,5,Nxxxx3998xxx,Svidník
2024-12-27,14:21:27,5,Nxxxx4998xxx,Svidník
2024-12-27,14:21:27,5,Uxxxx3488xxx,Svidník
2024-12-27,14:21:27,5,Mxxxx4273xxx,Svidník
2024-12-27,14:21:27,5,Zxxxx8156xxx,Svidník
2024-12-27,14:21:27,5,Vxxxx7796xxx,Svidník
2024-12-27,14:21:27,5,Nxxxx7884xxx,Svidník
2024-12-27,14:21:27,5,Vxxxx8361xxx,Svidník
2024-12-27,14:21:27,5,Yxxxx0398xxx,Svidník
2024-12-27,14:16:46,5,Mxxxx0082xxx,Prievidza
2024-12-27,14:16:29,5,Vxxxx8173xxx,Prievidza
2024-12-27,14:15:00,10,Nxxxx3171xxx,Svidník
2024-12-27,14:15:00,10,Yxxxx6347xxx,Svidník
2024-12-27,14:15:00,10,Pxxxx7319xxx,Svidník
2024-12-27,14:15:00,10,Pxxxx9806xxx,Svidník
2024-12-27,14:15:00,10,Wxxxx0774xxx,Svidník
2024-12-27,14:15:00,10,Vxxxx3183xxx,Svidník
2024-12-27,14:15:00,10,Pxxxx2337xxx,Svidník
2024-12-27,14:15:00,10,Rxxxx7863xxx,Svidník
2024-12-27,14:11:32,20,Uxxxx1530xxx,Svidník
2024-12-27,14:11:32,20,Exxxx1744xxx,Svidník
2024-12-27,14:11:32,20,Sxxxx5696xxx,Svidník
2024-12-27,14:11:32,20,Uxxxx0545xxx,Svidník
2024-12-27,13:20:11,5,Mxxxx4876xxx,Bratislava
2024-12-27,13:20:11,5,Mxxxx6702xxx,Bratislava
