Date,Time,Notetype,Maskedserial,Locality
2024-12-28,13:07:16,5,Nxxxx0072xxx,Tržič
2024-12-28,13:06:56,20,Sxxxx7831xxx,Tržič
2024-12-28,13:05:59,10,Yxxxx1486xxx,Tržič
2024-12-28,13:04:53,20,Exxxx2431xxx,Tržič
2024-12-28,13:04:29,20,Rxxxx8743xxx,Tržič
2024-12-28,13:04:05,5,Yxxxx5583xxx,Tržič
2024-12-28,13:03:31,20,Uxxxx0030xxx,Bistrica pri Tržiču
2024-12-28,12:46:17,20,Rxxxx2819xxx,Maribor
2024-12-28,12:45:18,20,Uxxxx7560xxx,Maribor
2024-12-28,11:54:53,5,Vxxxx9830xxx,Izola
2024-12-28,11:54:53,10,Wxxxx7429xxx,Izola
2024-12-28,11:54:53,10,Nxxxx2769xxx,Izola
2024-12-28,11:40:42,50,Wxxxx2190xxx,Maribor
2024-12-28,11:36:05,5,Uxxxx0462xxx,Naklo
2024-12-28,11:36:05,5,Vxxxx8714xxx,Naklo
2024-12-28,11:36:05,5,Nxxxx2504xxx,Naklo
2024-12-28,11:36:05,5,Nxxxx8835xxx,Naklo
2024-12-28,11:36:05,10,Nxxxx1312xxx,Naklo
2024-12-28,11:36:05,10,Vxxxx1290xxx,Naklo
2024-12-28,11:36:05,10,Wxxxx2912xxx,Naklo
2024-12-28,11:36:05,10,Wxxxx7234xxx,Naklo
2024-12-28,11:36:05,10,Fxxxx7415xxx,Naklo
2024-12-28,11:36:05,10,Rxxxx1233xxx,Naklo
2024-12-28,11:36:05,10,Uxxxx8843xxx,Naklo
2024-12-28,11:36:05,10,Nxxxx1289xxx,Naklo
2024-12-28,11:36:05,10,Pxxxx1866xxx,Naklo
2024-12-28,11:25:35,10,Wxxxx4690xxx,Naklo
2024-12-28,11:25:35,10,Fxxxx0158xxx,Naklo
2024-12-28,11:15:42,5,Sxxxx8164xxx,Ljubljana
2024-12-28,11:15:21,10,Wxxxx4979xxx,Naklo
2024-12-28,11:15:21,10,Uxxxx1846xxx,Naklo
2024-12-28,11:15:21,10,Nxxxx7239xxx,Naklo
2024-12-28,11:15:21,10,Wxxxx0034xxx,Naklo
2024-12-28,11:15:21,10,Nxxxx6143xxx,Naklo
2024-12-28,11:15:21,10,Wxxxx3055xxx,Naklo
2024-12-28,10:57:11,5,Nxxxx6869xxx,Ljubljana
2024-12-28,10:57:11,20,Sxxxx0504xxx,Ljubljana
2024-12-28,10:55:39,10,Txxxx6027xxx,Ljubljana
2024-12-28,10:02:59,10,Xxxxx1893xxx,Žiri
2024-12-28,10:02:59,10,Wxxxx7751xxx,Žiri
2024-12-28,10:02:59,10,Txxxx7439xxx,Žiri
2024-12-28,10:02:59,5,Zxxxx7987xxx,Žiri
2024-12-28,09:44:46,5,Vxxxx1258xxx,Žiri
2024-12-28,09:44:22,10,Uxxxx1235xxx,Sinja Gorica
2024-12-28,09:42:55,5,Nxxxx8385xxx,Ljubljana
2024-12-28,09:42:39,20,Uxxxx8392xxx,Ljubljana
2024-12-28,09:42:20,10,Nxxxx3852xxx,Ljubljana
2024-12-28,09:41:06,10,Nxxxx3418xxx,Ljubljana
2024-12-28,09:39:34,10,Nxxxx4745xxx,Vrhnika
2024-12-28,09:39:17,20,Sxxxx0164xxx,Vrhnika
2024-12-28,09:37:53,20,Sxxxx1095xxx,Vrhnika
2024-12-28,09:37:39,20,Wxxxx0132xxx,Vrhnika
2024-12-28,09:37:21,10,Vxxxx2448xxx,Vrhnika
2024-12-28,09:37:06,10,Wxxxx1885xxx,Vrhnika
2024-12-28,09:36:32,5,Nxxxx6318xxx,Vrhnika
2024-12-28,09:36:17,5,Vxxxx8560xxx,Vrhnika
2024-12-28,09:36:02,5,Vxxxx9093xxx,Vrhnika
2024-12-28,09:35:48,5,Nxxxx7031xxx,Vrhnika
2024-12-28,09:30:35,10,Nxxxx2481xxx,Krško
2024-12-28,09:30:35,50,Sxxxx7942xxx,Krško
2024-12-28,09:30:35,50,Vxxxx2448xxx,Krško
2024-12-28,09:30:35,50,Uxxxx3933xxx,Krško
2024-12-28,09:30:35,50,Pxxxx9336xxx,Krško
2024-12-28,09:28:12,5,Nxxxx5716xxx,Krško
2024-12-28,09:28:12,20,Sxxxx1182xxx,Krško
2024-12-28,08:34:01,5,Wxxxx3243xxx,Maribor
2024-12-28,08:34:01,5,Nxxxx9384xxx,Maribor
2024-12-28,08:28:19,20,Rxxxx8801xxx,Medvode
2024-12-28,08:12:26,20,Sxxxx1985xxx,Ljubljana
2024-12-28,08:12:26,10,Nxxxx5963xxx,Ljubljana
2024-12-28,08:12:26,10,Fxxxx4516xxx,Ljubljana
2024-12-28,08:12:26,5,Nxxxx2716xxx,Ljubljana
2024-12-28,08:12:26,5,Vxxxx1550xxx,Ljubljana
2024-12-28,07:01:52,10,Fxxxx6973xxx,Zgornje Pirniče
2024-12-28,07:01:07,5,Uxxxx3788xxx,Smlednik
2024-12-28,00:21:56,10,Vxxxx8980xxx,Beltinci
2024-12-28,00:21:56,5,Mxxxx2868xxx,Beltinci
2024-12-28,00:21:56,20,Nxxxx3969xxx,Beltinci
2024-12-28,00:21:56,20,Exxxx5321xxx,Beltinci
2024-12-28,00:21:56,20,Sxxxx7367xxx,Beltinci
