Date,Time,Notetype,Maskedserial,Locality
2024-12-17,22:49:29,5,Nxxxx2862xxx,Cape Town International Airport
2024-10-14,07:26:40,5,Nxxxx4840xxx,Soweto
2024-08-04,16:15:50,50,Uxxxx8266xxx,Johannesburg
2024-08-04,16:14:37,50,Pxxxx5274xxx,Johannesburg
2024-08-04,16:14:37,10,Uxxxx0354xxx,Johannesburg
2024-08-04,16:14:37,10,Uxxxx8380xxx,Johannesburg
2024-08-04,16:14:37,5,Yxxxx1505xxx,Johannesburg
2024-08-04,10:05:54,20,Sxxxx6525xxx,Johannesburg
2024-08-03,21:29:36,20,Uxxxx7209xxx,Johannesburg
2024-05-20,10:01:52,50,Sxxxx8336xxx,
2024-05-20,10:01:22,50,Sxxxx9530xxx,
2024-05-20,09:59:35,50,Sxxxx1956xxx,
2024-05-20,09:58:25,50,Sxxxx7839xxx,
2024-03-27,18:18:30,5,Vxxxx1642xxx,Malelane
2024-03-27,18:18:30,5,Mxxxx2534xxx,Malelane
2024-03-27,18:18:30,10,Txxxx1783xxx,Malelane
2024-03-27,18:18:30,10,Vxxxx9443xxx,Malelane
2024-03-27,18:18:30,10,Wxxxx6926xxx,Malelane
2024-01-20,15:51:53,50,Zxxxx0096xxx,Kaapstad
2024-01-20,15:51:53,50,Exxxx9782xxx,Kaapstad
2024-01-20,15:51:53,50,Vxxxx5173xxx,Kaapstad
2024-01-20,15:51:53,50,Wxxxx4302xxx,Kaapstad
2024-01-20,15:51:53,50,Rxxxx5415xxx,Kaapstad
2024-01-20,15:51:53,50,Rxxxx2308xxx,Kaapstad
2024-01-20,15:51:53,50,Uxxxx3023xxx,Kaapstad
2024-01-20,15:51:53,50,Mxxxx4406xxx,Kaapstad
2024-01-20,15:51:53,50,Zxxxx7405xxx,Kaapstad
2024-01-20,15:51:53,50,Zxxxx9728xxx,Kaapstad
2024-01-20,15:51:53,50,Rxxxx7311xxx,Kaapstad
2024-01-20,15:51:53,50,Wxxxx2453xxx,Kaapstad
2024-01-20,15:51:53,50,Wxxxx1828xxx,Kaapstad
2024-01-20,15:51:53,50,Uxxxx9993xxx,Kaapstad
2024-01-20,15:51:53,50,Zxxxx4155xxx,Kaapstad
2024-01-20,15:51:53,50,Rxxxx8683xxx,Kaapstad
2024-01-20,15:51:53,50,Rxxxx2878xxx,Kaapstad
2024-01-20,15:51:53,50,Sxxxx2774xxx,Kaapstad
2024-01-20,15:51:53,50,Exxxx3873xxx,Kaapstad
2024-01-20,15:51:53,50,Exxxx3873xxx,Kaapstad
2024-01-20,15:45:37,50,Uxxxx2795xxx,Kaapstad
2024-01-20,15:45:37,50,Pxxxx1184xxx,Kaapstad
2024-01-20,15:45:37,50,Sxxxx6100xxx,Kaapstad
2024-01-20,15:45:37,50,Uxxxx7080xxx,Kaapstad
2024-01-20,15:45:37,50,Uxxxx4767xxx,Kaapstad
2024-01-20,15:45:37,50,Zxxxx7721xxx,Kaapstad
2024-01-20,15:45:37,50,Exxxx5766xxx,Kaapstad
2024-01-20,15:45:37,50,Yxxxx2684xxx,Kaapstad
2024-01-20,15:45:37,50,Uxxxx7717xxx,Kaapstad
2024-01-20,15:45:37,50,Uxxxx6576xxx,Kaapstad
2024-01-20,15:45:37,50,Zxxxx9448xxx,Kaapstad
2024-01-20,15:45:37,50,Rxxxx8273xxx,Kaapstad
2024-01-20,15:45:37,50,Uxxxx5604xxx,Kaapstad
2024-01-20,15:45:37,50,Uxxxx1845xxx,Kaapstad
2024-01-20,15:45:37,50,Exxxx7586xxx,Kaapstad
2024-01-20,15:45:37,50,Wxxxx0763xxx,Kaapstad
2024-01-20,15:45:37,50,Exxxx9270xxx,Kaapstad
2024-01-20,15:45:37,50,Exxxx6468xxx,Kaapstad
2024-01-20,15:45:37,50,Vxxxx2047xxx,Kaapstad
2024-01-20,15:45:37,50,Exxxx5881xxx,Kaapstad
2024-01-20,15:39:40,50,Pxxxx4914xxx,Kaapstad
2024-01-20,15:39:40,50,Sxxxx5318xxx,Kaapstad
2024-01-20,15:39:40,50,Exxxx5060xxx,Kaapstad
2024-01-20,15:39:40,50,Uxxxx6254xxx,Kaapstad
2024-01-20,15:39:40,50,Uxxxx2575xxx,Kaapstad
2024-01-20,15:39:40,50,Rxxxx4402xxx,Kaapstad
2024-01-20,15:39:40,50,Exxxx3947xxx,Kaapstad
2024-01-20,15:39:40,50,Sxxxx5692xxx,Kaapstad
2024-01-20,15:39:40,50,Mxxxx7671xxx,Kaapstad
2024-01-20,15:39:40,50,Uxxxx3844xxx,Kaapstad
2024-01-20,15:39:40,50,Zxxxx6960xxx,Kaapstad
2024-01-20,15:39:40,50,Rxxxx9877xxx,Kaapstad
2024-01-20,15:39:40,50,Zxxxx6981xxx,Kaapstad
2024-01-20,15:39:40,50,Rxxxx9230xxx,Kaapstad
2024-01-20,15:39:40,50,Sxxxx9401xxx,Kaapstad
2024-01-20,15:39:40,50,Rxxxx3752xxx,Kaapstad
2024-01-20,15:39:40,50,Wxxxx6645xxx,Kaapstad
2024-01-20,15:39:40,50,Rxxxx0434xxx,Kaapstad
2024-01-20,15:39:40,50,Sxxxx2918xxx,Kaapstad
2024-01-20,15:39:40,50,Rxxxx0707xxx,Kaapstad
