Date,Time,Notetype,Maskedserial,Locality
2024-12-28,13:20:11,50,Rxxxx7118xxx,Priego de Córdoba
2024-12-28,13:19:42,50,Vxxxx7654xxx,Priego de Córdoba
2024-12-28,13:09:49,50,Vxxxx3765xxx,Priego de Córdoba
2024-12-28,13:08:05,50,Vxxxx1115xxx,Langreo
2024-12-28,13:05:56,50,Uxxxx8474xxx,Priego de Córdoba
2024-12-28,13:05:29,50,Vxxxx4770xxx,Priego de Córdoba
2024-12-28,13:03:58,50,Vxxxx9838xxx,Priego de Córdoba
2024-12-28,13:02:39,10,Nxxxx5496xxx,Girona
2024-12-28,13:01:14,5,Mxxxx1542xxx,Cordoba
2024-12-28,13:00:39,10,Rxxxx2705xxx,Cordoba
2024-12-28,12:59:23,20,Exxxx7379xxx,Cordoba
2024-12-28,12:57:49,10,Wxxxx9424xxx,Cordoba
2024-12-28,12:50:48,10,Wxxxx0289xxx,Girona
2024-12-28,12:47:28,50,Sxxxx1191xxx,Canals
2024-12-28,12:45:44,50,Uxxxx8852xxx,Canals
2024-12-28,12:43:44,10,Wxxxx0052xxx,Canals
2024-12-28,12:42:34,5,Vxxxx5283xxx,Canals
2024-12-28,12:37:48,5,Vxxxx3310xxx,Langreo
2024-12-28,12:37:44,10,Yxxxx5858xxx,Rubí
2024-12-28,12:37:42,10,Vxxxx3876xxx,Sarrión
2024-12-28,12:37:38,5,Wxxxx0768xxx,Langreo
2024-12-28,12:37:28,5,Vxxxx4637xxx,Langreo
2024-12-28,12:37:20,5,Yxxxx7770xxx,Langreo
2024-12-28,12:37:12,5,Mxxxx2835xxx,Langreo
2024-12-28,12:37:04,5,Vxxxx2712xxx,Langreo
2024-12-28,12:36:56,5,Mxxxx2747xxx,Langreo
2024-12-28,12:36:44,5,Vxxxx7578xxx,Langreo
2024-12-28,12:36:36,5,Vxxxx9968xxx,Langreo
2024-12-28,12:36:26,5,Vxxxx1528xxx,Langreo
2024-12-28,12:35:59,20,Uxxxx0258xxx,Sarrión
2024-12-28,12:35:59,20,Uxxxx0712xxx,Sarrión
2024-12-28,12:35:59,10,Yxxxx8536xxx,Sarrión
2024-12-28,12:35:59,10,Vxxxx8956xxx,Sarrión
2024-12-28,12:35:59,10,Vxxxx3447xxx,Sarrión
2024-12-28,12:35:59,10,Vxxxx6798xxx,Sarrión
2024-12-28,12:35:59,20,Sxxxx7029xxx,Sarrión
2024-12-28,12:35:59,10,Txxxx3060xxx,Sarrión
2024-12-28,12:35:59,20,Sxxxx4415xxx,Sarrión
2024-12-28,12:35:59,5,Vxxxx4588xxx,Sarrión
2024-12-28,12:35:59,10,Vxxxx4874xxx,Sarrión
2024-12-28,12:35:59,10,Wxxxx4032xxx,Sarrión
2024-12-28,12:35:50,5,Vxxxx9187xxx,Langreo
2024-12-28,12:35:50,5,Vxxxx9187xxx,Langreo
2024-12-28,12:35:50,5,Vxxxx9187xxx,Langreo
2024-12-28,12:35:50,5,Vxxxx9187xxx,Langreo
2024-12-28,12:35:50,5,Vxxxx9187xxx,Langreo
2024-12-28,12:35:50,5,Vxxxx9187xxx,Langreo
2024-12-28,12:35:50,5,Vxxxx9187xxx,Langreo
2024-12-28,12:35:50,5,Vxxxx9187xxx,Langreo
2024-12-28,12:35:50,5,Vxxxx9187xxx,Langreo
2024-12-28,12:35:50,5,Vxxxx9187xxx,Langreo
2024-12-28,12:35:50,5,Vxxxx9187xxx,Langreo
2024-12-28,12:35:50,5,Vxxxx9187xxx,Langreo
2024-12-28,12:35:50,5,Vxxxx9187xxx,Langreo
2024-12-28,12:35:50,5,Vxxxx9187xxx,Langreo
2024-12-28,12:35:50,5,Vxxxx9187xxx,Langreo
2024-12-28,12:35:50,5,Vxxxx9187xxx,Langreo
2024-12-28,12:35:50,5,Vxxxx9187xxx,Langreo
2024-12-28,12:35:50,5,Vxxxx9187xxx,Langreo
2024-12-28,12:35:50,5,Vxxxx9187xxx,Langreo
2024-12-28,12:35:14,5,Vxxxx9187xxx,Langreo
2024-12-28,12:35:14,5,Vxxxx9187xxx,Langreo
2024-12-28,12:35:14,5,Vxxxx9187xxx,Langreo
2024-12-28,12:35:14,5,Vxxxx9187xxx,Langreo
2024-12-28,12:35:14,5,Vxxxx9187xxx,Langreo
2024-12-28,12:35:14,5,Vxxxx9187xxx,Langreo
2024-12-28,12:35:14,5,Vxxxx9187xxx,Langreo
2024-12-28,12:35:14,5,Vxxxx9187xxx,Langreo
2024-12-28,12:35:14,5,Vxxxx9187xxx,Langreo
2024-12-28,12:35:14,5,Vxxxx9187xxx,Langreo
2024-12-28,12:35:14,5,Vxxxx9187xxx,Langreo
2024-12-28,12:35:14,5,Vxxxx9187xxx,Langreo
2024-12-28,12:35:14,5,Vxxxx9187xxx,Langreo
2024-12-28,12:35:14,5,Vxxxx9187xxx,Langreo
2024-12-28,12:35:14,5,Vxxxx9187xxx,Langreo
2024-12-28,12:35:14,5,Vxxxx9187xxx,Langreo
2024-12-28,12:35:14,5,Vxxxx9187xxx,Langreo
2024-12-28,12:35:14,5,Vxxxx9187xxx,Langreo
2024-12-28,12:35:14,5,Vxxxx9187xxx,Langreo
2024-12-28,12:35:14,5,Vxxxx9187xxx,Langreo
2024-12-28,12:35:14,5,Vxxxx9187xxx,Langreo
2024-12-28,12:35:14,5,Vxxxx9187xxx,Langreo
2024-12-28,12:35:14,5,Vxxxx9187xxx,Langreo
2024-12-28,12:35:14,5,Vxxxx9187xxx,Langreo
2024-12-28,12:35:14,5,Vxxxx9187xxx,Langreo
2024-12-28,12:35:00,10,Wxxxx2217xxx,Lugo
2024-12-28,12:34:40,5,Vxxxx9187xxx,Langreo
2024-12-28,12:34:40,5,Vxxxx9187xxx,Langreo
2024-12-28,12:34:40,5,Vxxxx9187xxx,Langreo
2024-12-28,12:34:40,5,Vxxxx9187xxx,Langreo
2024-12-28,12:34:40,5,Vxxxx9187xxx,Langreo
2024-12-28,12:34:40,5,Vxxxx9187xxx,Langreo
2024-12-28,12:34:40,5,Vxxxx9187xxx,Langreo
2024-12-28,12:34:40,5,Vxxxx9187xxx,Langreo
2024-12-28,12:34:40,5,Vxxxx9187xxx,Langreo
2024-12-28,12:34:40,5,Vxxxx9187xxx,Langreo
2024-12-28,12:34:40,5,Vxxxx9187xxx,Langreo
2024-12-28,12:34:40,5,Vxxxx9187xxx,Langreo
2024-12-28,12:34:40,5,Vxxxx9187xxx,Langreo
2024-12-28,12:34:40,5,Vxxxx9187xxx,Langreo
2024-12-28,12:34:40,5,Vxxxx9187xxx,Langreo
2024-12-28,12:34:40,5,Vxxxx9187xxx,Langreo
2024-12-28,12:34:40,5,Vxxxx9187xxx,Langreo
2024-12-28,12:34:40,5,Vxxxx9187xxx,Langreo
2024-12-28,12:34:40,5,Vxxxx9187xxx,Langreo
2024-12-28,12:34:40,5,Vxxxx9187xxx,Langreo
2024-12-28,12:34:40,5,Vxxxx9187xxx,Langreo
2024-12-28,12:34:40,5,Vxxxx9187xxx,Langreo
2024-12-28,12:34:40,5,Vxxxx9187xxx,Langreo
2024-12-28,12:34:40,5,Vxxxx9187xxx,Langreo
2024-12-28,12:34:40,5,Vxxxx9187xxx,Langreo
2024-12-28,12:34:02,5,Vxxxx9187xxx,Langreo
2024-12-28,12:34:02,5,Vxxxx9187xxx,Langreo
2024-12-28,12:34:02,5,Vxxxx9187xxx,Langreo
2024-12-28,12:34:02,5,Vxxxx9187xxx,Langreo
2024-12-28,12:34:02,5,Vxxxx9187xxx,Langreo
2024-12-28,12:34:02,5,Vxxxx9187xxx,Langreo
2024-12-28,12:34:02,5,Vxxxx9187xxx,Langreo
2024-12-28,12:34:02,5,Vxxxx9187xxx,Langreo
2024-12-28,12:34:02,5,Vxxxx9187xxx,Langreo
2024-12-28,12:34:02,5,Vxxxx9187xxx,Langreo
2024-12-28,12:34:02,5,Vxxxx9187xxx,Langreo
2024-12-28,12:34:02,5,Vxxxx9187xxx,Langreo
