Date,Time,Notetype,Maskedserial,Locality
2024-12-19,09:04:06,10,Wxxxx1171xxx,Linköping
2024-12-19,09:04:06,10,Yxxxx0153xxx,Linköping
2024-12-19,09:04:06,5,Nxxxx2448xxx,Linköping
2024-12-10,09:46:21,5,Zxxxx9763xxx,Stockholm
2024-12-09,07:29:16,20,Exxxx2156xxx,Stockholm
2024-12-09,07:29:16,20,Uxxxx9037xxx,Stockholm
2024-12-07,13:41:09,20,Exxxx6237xxx,Tukholma
2024-12-07,13:41:09,10,Wxxxx7460xxx,Tukholma
2024-12-07,13:41:09,5,Uxxxx0269xxx,Tukholma
2024-12-06,09:17:08,50,Exxxx7986xxx,Malmö
2024-12-06,09:16:52,50,Vxxxx3982xxx,Malmö
2024-12-06,09:16:35,50,Vxxxx6204xxx,Malmö
2024-12-06,09:15:59,50,Sxxxx0750xxx,Malmö
2024-12-06,09:15:44,50,Exxxx7986xxx,Malmö
2024-12-06,09:15:29,50,Yxxxx4637xxx,Malmö
2024-12-06,09:14:40,20,Rxxxx7426xxx,Malmö
2024-12-06,09:14:24,10,Vxxxx2075xxx,Malmö
2024-12-06,09:14:12,5,Wxxxx2431xxx,Malmö
2024-12-05,09:48:23,20,Rxxxx5259xxx,Lund
2024-12-05,09:48:19,20,Rxxxx5259xxx,Lund
2024-12-05,09:48:15,20,Rxxxx5259xxx,Lund
2024-12-05,09:48:12,20,Rxxxx5259xxx,Lund
2024-12-05,09:48:06,20,Rxxxx5259xxx,Lund
2024-12-05,09:48:03,20,Rxxxx5259xxx,Lund
2024-12-05,09:48:00,20,Rxxxx5259xxx,Lund
2024-12-05,09:47:57,20,Rxxxx5259xxx,Lund
2024-12-05,09:45:44,20,Wxxxx6382xxx,Helsingborg
2024-12-05,09:45:40,20,Wxxxx6382xxx,Helsingborg
2024-12-05,09:45:35,20,Wxxxx6382xxx,Helsingborg
2024-12-05,09:45:31,20,Wxxxx6382xxx,Helsingborg
2024-12-05,09:45:27,20,Wxxxx6382xxx,Helsingborg
2024-12-05,09:45:21,20,Wxxxx6382xxx,Helsingborg
2024-12-05,09:45:17,20,Wxxxx6382xxx,Helsingborg
2024-12-05,09:45:13,20,Wxxxx6382xxx,Helsingborg
2024-12-05,09:45:10,20,Wxxxx6382xxx,Helsingborg
2024-12-05,09:45:06,20,Wxxxx6382xxx,Helsingborg
2024-12-05,09:45:03,20,Wxxxx6382xxx,Helsingborg
2024-12-05,09:45:00,20,Wxxxx6382xxx,Helsingborg
2024-12-05,09:44:57,20,Wxxxx6382xxx,Helsingborg
2024-12-05,09:44:53,20,Wxxxx6382xxx,Helsingborg
2024-12-05,09:44:49,20,Wxxxx6382xxx,Helsingborg
2024-12-05,09:44:45,20,Wxxxx6382xxx,Helsingborg
2024-12-05,09:44:38,20,Wxxxx6382xxx,Helsingborg
2024-12-05,09:44:32,20,Wxxxx6382xxx,Helsingborg
2024-12-05,09:44:24,20,Wxxxx6382xxx,Helsingborg
2024-12-05,09:44:22,20,Wxxxx6382xxx,Helsingborg
2024-12-05,09:44:18,20,Wxxxx6382xxx,Helsingborg
2024-12-04,17:07:27,20,Wxxxx8254xxx,Malmö
2024-12-04,17:07:24,20,Wxxxx8254xxx,Malmö
2024-12-04,17:07:19,20,Wxxxx8254xxx,Malmö
2024-12-04,17:07:15,20,Wxxxx8254xxx,Malmö
2024-12-04,17:06:43,20,Wxxxx2254xxx,Malmö
2024-12-04,17:06:40,20,Wxxxx2254xxx,Malmö
2024-12-04,17:06:38,20,Wxxxx2254xxx,Malmö
2024-12-04,17:06:33,20,Wxxxx2254xxx,Malmö
2024-12-04,17:05:44,20,Rxxxx3913xxx,Malmö
2024-12-04,17:05:41,20,Rxxxx3913xxx,Malmö
