Date,Time,Notetype,Maskedserial,Locality
2024-12-23,07:15:03,10,Pxxxx3037xxx,Pattaya
2024-12-23,07:15:03,20,Exxxx1198xxx,Pattaya
2024-12-23,07:15:03,100,Vxxxx2499xxx,Pattaya
2024-12-19,18:13:52,5,Uxxxx4670xxx,Bangkok
2024-12-19,18:13:52,5,Mxxxx2551xxx,Bangkok
2024-12-19,18:13:52,5,Zxxxx9233xxx,Bangkok
2024-12-19,18:13:52,5,Vxxxx2741xxx,Bangkok
2024-12-19,18:13:52,5,Uxxxx7771xxx,Bangkok
2024-12-19,18:13:52,5,Vxxxx6985xxx,Bangkok
2024-12-19,18:13:52,5,Nxxxx0260xxx,Bangkok
2024-12-19,18:13:52,5,Yxxxx1363xxx,Bangkok
2024-12-19,18:13:52,5,Vxxxx9150xxx,Bangkok
2024-12-19,18:13:52,5,Mxxxx4562xxx,Bangkok
2024-12-19,18:13:52,5,Vxxxx6976xxx,Bangkok
2024-12-19,18:13:52,5,Uxxxx6945xxx,Bangkok
2024-12-19,18:13:52,5,Nxxxx9581xxx,Bangkok
2024-12-19,18:13:52,5,Nxxxx7917xxx,Bangkok
2024-12-19,18:13:52,5,Zxxxx5114xxx,Bangkok
2024-12-19,18:13:52,5,Nxxxx6185xxx,Bangkok
2024-12-19,18:13:52,5,Mxxxx0767xxx,Bangkok
2024-12-19,18:13:52,5,Vxxxx4428xxx,Bangkok
2024-12-19,18:13:52,5,Zxxxx8803xxx,Bangkok
2024-12-19,18:13:52,5,Yxxxx4012xxx,Bangkok
2024-12-19,18:01:06,20,Exxxx7084xxx,Bangkok
2024-12-19,18:01:06,20,Rxxxx4298xxx,Bangkok
2024-12-19,18:01:06,10,Wxxxx6750xxx,Bangkok
2024-12-18,16:13:56,5,Wxxxx4467xxx,Rayong
2024-12-18,16:13:56,5,Uxxxx2770xxx,Rayong
2024-12-18,16:13:56,10,Nxxxx0981xxx,Rayong
2024-12-18,16:13:56,20,Uxxxx0353xxx,Rayong
2024-12-18,16:13:56,20,Uxxxx5527xxx,Rayong
2024-12-11,05:26:34,5,Mxxxx1970xxx,Bangkok
2024-12-05,15:54:26,20,Uxxxx0634xxx,Rayong
2024-12-05,15:54:26,20,Uxxxx9367xxx,Rayong
2024-12-05,15:54:26,10,Uxxxx8079xxx,Rayong
2024-11-21,18:10:07,50,Uxxxx5810xxx,Prachuap Khiri Khan
2024-11-21,18:10:07,50,Uxxxx1750xxx,Prachuap Khiri Khan
2024-11-21,18:10:07,50,Uxxxx1398xxx,Prachuap Khiri Khan
2024-11-21,18:10:07,50,Uxxxx4805xxx,Prachuap Khiri Khan
2024-11-21,18:10:07,50,Uxxxx6207xxx,Prachuap Khiri Khan
2024-11-21,18:10:07,50,Uxxxx1451xxx,Prachuap Khiri Khan
2024-11-21,18:10:07,50,Uxxxx3156xxx,Prachuap Khiri Khan
2024-11-21,18:10:07,50,Uxxxx1348xxx,Prachuap Khiri Khan
2024-11-21,18:10:07,50,Uxxxx6338xxx,Prachuap Khiri Khan
2024-11-21,18:10:07,50,Uxxxx4236xxx,Prachuap Khiri Khan
2024-11-21,18:10:07,50,Pxxxx3852xxx,Prachuap Khiri Khan
2024-11-21,18:06:56,50,Uxxxx8159xxx,Prachuap Khiri Khan
2024-11-21,18:06:56,50,Uxxxx7548xxx,Prachuap Khiri Khan
2024-11-21,18:06:56,50,Uxxxx7548xxx,Prachuap Khiri Khan
