Date,Time,Notetype,Maskedserial,Locality
2024-10-03,03:51:25,10,Yxxxx9816xxx,
2024-10-03,03:51:25,5,Mxxxx0794xxx,
2024-10-03,03:49:57,20,Wxxxx6084xxx,
2024-10-03,03:49:57,20,Wxxxx6084xxx,
2024-10-03,03:49:57,20,Wxxxx6084xxx,
2024-10-03,03:49:57,20,Uxxxx2233xxx,
2024-10-03,03:49:57,20,Uxxxx0665xxx,
2024-10-02,22:05:12,20,Uxxxx7636xxx,Niutoua
2024-10-02,22:05:12,10,Wxxxx2711xxx,Niutoua
2024-10-02,22:05:12,5,Mxxxx7774xxx,Niutoua
2024-10-02,22:05:12,5,Sxxxx0574xxx,Niutoua
2024-10-02,22:05:12,5,Uxxxx3394xxx,Niutoua
2024-10-02,22:05:12,5,Vxxxx9790xxx,Niutoua
2024-10-02,22:00:12,5,Vxxxx9459xxx,
2024-10-02,22:00:12,20,Uxxxx4696xxx,
2024-10-01,20:57:23,20,Uxxxx2717xxx,Kanokupolu
