Date,Time,Notetype,Maskedserial,Locality
2024-10-20,20:47:18,10,Wxxxx4689xxx,Tunis
2024-10-20,20:47:18,10,Rxxxx9166xxx,Tunis
2024-10-20,20:47:18,10,Nxxxx3297xxx,Tunis
2024-10-20,20:47:18,10,Rxxxx5111xxx,Tunis
2024-10-20,20:47:18,10,Wxxxx5872xxx,Tunis
2024-10-20,20:47:18,10,Rxxxx2989xxx,Tunis
2024-10-20,20:47:18,10,Uxxxx2818xxx,Tunis
2024-10-20,20:47:18,10,Uxxxx1287xxx,Tunis
2024-10-20,20:47:18,10,Rxxxx5484xxx,Tunis
2024-10-20,20:47:18,10,Uxxxx1981xxx,Tunis
2024-10-06,11:10:53,10,Uxxxx7869xxx,El Guettar
2024-10-06,11:10:53,10,Rxxxx8027xxx,El Guettar
2024-10-06,11:10:53,10,Vxxxx6603xxx,El Guettar
2024-10-06,11:10:53,10,Uxxxx4653xxx,El Guettar
2024-10-05,12:58:18,10,Fxxxx2418xxx,El Guettar
2024-09-25,19:47:39,10,Uxxxx6093xxx,El Guettar
2024-09-25,19:47:39,5,Uxxxx9133xxx,El Guettar
2024-09-17,03:15:17,10,Uxxxx4524xxx,Sayada
2024-09-17,03:15:17,10,Txxxx3947xxx,Sayada
2024-09-17,03:15:17,50,Nxxxx6619xxx,Sayada
2024-09-17,03:15:17,50,Rxxxx1824xxx,Sayada
2024-09-17,03:15:17,50,Uxxxx7646xxx,Sayada
2024-09-17,03:15:17,50,Zxxxx5564xxx,Sayada
2024-09-17,03:15:17,50,Pxxxx2014xxx,Sayada
2024-09-17,03:15:17,50,Rxxxx7352xxx,Sayada
2024-09-17,03:15:17,50,Uxxxx2318xxx,Sayada
2024-09-12,22:08:26,20,Exxxx7115xxx,El Guettar
2024-09-12,22:08:26,10,Fxxxx1159xxx,El Guettar
2024-09-12,22:08:26,10,Wxxxx4195xxx,El Guettar
2024-09-12,22:05:20,20,Exxxx4154xxx,El Guettar
2024-09-12,22:05:20,20,Rxxxx5013xxx,El Guettar
2024-09-12,22:05:20,20,Uxxxx0354xxx,El Guettar
2024-09-12,22:05:20,10,Wxxxx2239xxx,El Guettar
2024-09-12,22:05:20,10,Yxxxx9334xxx,El Guettar
2024-09-12,22:05:20,10,Rxxxx7541xxx,El Guettar
2024-09-12,22:05:20,10,Wxxxx9717xxx,El Guettar
2024-09-12,00:18:03,50,Uxxxx0518xxx,Akouda
2024-09-12,00:18:03,50,Rxxxx5958xxx,Akouda
2024-09-12,00:18:03,50,Vxxxx6486xxx,Akouda
2024-09-12,00:18:03,50,Rxxxx9278xxx,Akouda
2024-08-17,20:46:28,10,Rxxxx7375xxx,Tunis
2024-07-30,15:26:48,200,Sxxxx3346xxx,Akouda
2024-07-30,15:26:48,200,Sxxxx3346xxx,Akouda
2024-07-04,19:05:15,10,Nxxxx6553xxx,Hammamet
2024-07-04,19:05:15,10,Vxxxx7691xxx,Hammamet
2024-07-01,03:52:23,20,Rxxxx5559xxx,Tunis
2024-07-01,03:49:58,20,Uxxxx8357xxx,Tunis
2024-07-01,03:47:07,20,Uxxxx0343xxx,Tunis
2024-07-01,03:45:49,20,Uxxxx3738xxx,Tunis
2024-07-01,03:43:32,20,Uxxxx8608xxx,Tunis
2024-07-01,00:23:18,20,Mxxxx4594xxx,Tunis
2024-07-01,00:19:40,20,Exxxx0131xxx,Tunis
2024-06-29,02:38:19,20,Xxxxx6272xxx,Tunis
2024-06-29,02:31:19,20,Uxxxx7346xxx,Tunis
2024-06-24,14:39:33,20,Uxxxx6799xxx,Sidi Bou Said
2024-06-23,14:21:15,5,Mxxxx1613xxx,Aéroport international de Tunis - Carthage
2024-06-17,21:17:17,20,Uxxxx0532xxx,La Soukra
2024-05-31,23:49:30,5,Uxxxx5952xxx,Hammamet
2024-05-31,19:39:50,200,Sxxxx3346xxx,Akouda
2024-05-22,17:40:16,5,Vxxxx6948xxx,Midoun
2024-05-22,17:40:16,5,Mxxxx2683xxx,Midoun
2024-05-10,22:45:01,10,Exxxx5357xxx,Tunis
2024-05-10,22:44:17,20,Uxxxx1271xxx,Tunis
2024-04-16,23:59:07,100,Exxxx6310xxx,Tunis
2024-03-08,21:28:26,5,Mxxxx4700xxx,Tunis
2024-03-08,21:26:53,5,Uxxxx5715xxx,Tunis
2024-03-08,21:26:05,50,Uxxxx4900xxx,Tunis
2024-03-08,21:26:05,50,Vxxxx7139xxx,Tunis
2024-03-08,21:26:05,50,Uxxxx6868xxx,Tunis
2024-02-18,15:54:28,50,Sxxxx3649xxx,Nabeul
2024-02-18,15:52:46,50,Uxxxx6588xxx,Nabeul
2024-02-13,08:55:42,20,Xxxxx1555xxx,Tunis
2024-02-13,08:55:26,10,Uxxxx3289xxx,Tunis
2024-02-13,08:55:09,5,Nxxxx8909xxx,Tunis
2024-02-13,08:54:09,10,Yxxxx9995xxx,Tunis
2024-02-13,08:53:30,20,Uxxxx7857xxx,Tunis
2024-02-13,08:53:11,5,Mxxxx9329xxx,Tunis
2024-02-12,14:08:07,50,Uxxxx5074xxx,Lac 2
2024-02-12,14:04:18,50,Uxxxx8111xxx,Lac 2
2024-02-12,13:58:06,50,Pxxxx2956xxx,Lac 2
2024-01-10,11:25:50,20,Sxxxx0405xxx,Djerba
2024-01-10,11:25:50,20,Uxxxx1870xxx,Djerba
2024-01-10,11:25:50,5,Mxxxx2832xxx,Djerba
2024-01-10,11:25:50,5,Sxxxx8503xxx,Djerba
2024-01-10,11:25:50,5,Vxxxx9267xxx,Djerba
2024-01-10,11:25:50,5,Yxxxx3915xxx,Djerba
2024-01-08,20:05:43,10,Wxxxx5704xxx,Midoun
2024-01-08,20:05:43,5,Sxxxx0347xxx,Midoun
2024-01-08,18:33:50,10,Yxxxx7766xxx,Douz
2024-01-08,18:33:50,10,Nxxxx9604xxx,Douz
2024-01-07,20:34:06,20,Nxxxx5298xxx,Tozeur
2024-01-07,20:34:06,10,Rxxxx6790xxx,Tozeur
2024-01-06,15:16:45,10,Mxxxx4437xxx,Guellala
2024-01-06,15:16:45,10,Exxxx6910xxx,Guellala
2024-01-06,14:19:16,20,Uxxxx7232xxx,Zarzis
2024-01-06,14:19:16,20,Mxxxx8120xxx,Zarzis
2024-01-06,14:19:16,10,Rxxxx4551xxx,Zarzis
2024-01-06,14:19:16,10,Wxxxx0348xxx,Zarzis
2024-01-06,14:19:16,10,Yxxxx9632xxx,Zarzis
2024-01-06,14:19:16,5,Exxxx7200xxx,Zarzis
2024-01-05,17:59:57,5,Zxxxx4540xxx,Tunis
2024-01-05,17:12:23,20,Uxxxx7221xxx,Midoun
2024-01-05,17:12:23,10,Exxxx0646xxx,Midoun
2024-01-05,17:12:23,10,Exxxx3108xxx,Midoun
2024-01-05,17:12:23,10,Wxxxx0030xxx,Midoun
2024-01-05,17:11:28,20,Exxxx6044xxx,Midoun
2024-01-05,17:11:28,10,Sxxxx4568xxx,Midoun
2024-01-05,17:11:28,10,Nxxxx6218xxx,Midoun
2024-01-05,17:11:28,5,Yxxxx6229xxx,Midoun
2024-01-05,17:11:28,5,Mxxxx4542xxx,Midoun
2024-01-04,20:00:24,10,Nxxxx6495xxx,Midoun
2024-01-04,20:00:24,10,Yxxxx5531xxx,Midoun
2024-01-04,20:00:24,10,Wxxxx6071xxx,Midoun
2024-01-04,20:00:24,10,Exxxx8173xxx,Midoun
2024-01-04,19:54:23,10,Nxxxx1422xxx,Midoun
2024-01-04,19:54:23,10,Nxxxx0073xxx,Midoun
2024-01-04,19:54:23,10,Wxxxx1714xxx,Midoun
2024-01-04,19:54:23,10,Xxxxx6101xxx,Midoun
2024-01-04,19:54:23,5,Mxxxx7568xxx,Midoun
