Date,Time,Notetype,Maskedserial,Locality
2024-12-25,12:44:51,10,Rxxxx2327xxx,Islamorada
2024-12-25,12:34:42,5,Vxxxx7287xxx,Miami
2024-12-25,12:32:46,20,Rxxxx3307xxx,Miami
2024-12-25,12:30:59,5,Vxxxx5780xxx,Key Biscayne
2024-12-25,01:37:47,5,Uxxxx2821xxx,New York
2024-12-18,00:10:09,50,Vxxxx7799xxx,
2024-12-18,00:09:48,50,Mxxxx1267xxx,
2024-12-18,00:09:15,50,Uxxxx2058xxx,
2024-12-18,00:08:52,50,Uxxxx4253xxx,
2024-12-18,00:08:29,20,Uxxxx3554xxx,
2024-12-18,00:08:04,20,Rxxxx6787xxx,
2024-12-18,00:07:41,20,Rxxxx0914xxx,
2024-12-18,00:07:12,10,Vxxxx8456xxx,
2024-12-18,00:06:43,10,Wxxxx8203xxx,
2024-12-18,00:06:18,10,Wxxxx3044xxx,
2024-12-18,00:05:46,5,Sxxxx5813xxx,
2024-12-18,00:05:11,5,Nxxxx4271xxx,
2024-12-14,19:53:28,50,Exxxx4950xxx,New Haven
2024-12-14,19:52:55,50,Exxxx4950xxx,New Haven
2024-12-14,19:52:15,50,Exxxx4950xxx,New Haven
2024-12-14,19:51:37,50,Exxxx4950xxx,New Haven
2024-12-14,19:50:43,50,Exxxx4950xxx,New Haven
2024-12-14,19:48:00,100,Exxxx2810xxx,New Haven
2024-12-11,02:17:19,5,Sxxxx5526xxx,Providence
2024-12-06,18:21:43,5,Mxxxx8938xxx,Milford
2024-12-02,23:38:10,20,Rxxxx7336xxx,Scranton
2024-11-29,05:07:17,5,Xxxxx0107xxx,Pleasant Hill
2024-11-28,21:29:16,5,Uxxxx3566xxx,Monticello
2024-11-26,15:13:13,20,Sxxxx2706xxx,Jersey City
2024-11-26,15:12:35,100,Rxxxx5027xxx,Jersey City
2024-11-26,15:12:14,50,Sxxxx8117xxx,Jersey City
2024-11-26,15:11:59,50,Sxxxx7683xxx,Jersey City
2024-11-26,15:11:49,50,Uxxxx9625xxx,Jersey City
2024-11-26,15:11:34,50,Sxxxx1720xxx,Jersey City
2024-11-26,13:09:49,50,Sxxxx1881xxx,Jersey City
2024-11-26,13:09:27,50,Xxxxx5395xxx,Jersey City
2024-11-26,10:52:53,10,Yxxxx8905xxx,Austin
2024-11-26,10:51:15,20,Sxxxx4974xxx,Austin
2024-11-23,01:14:31,20,Sxxxx9171xxx,Jersey City
2024-11-23,01:02:06,5,Mxxxx4578xxx,Jersey City
2024-11-22,01:43:29,500,Uxxxx3958xxx,Hinsdale
2024-11-03,15:19:06,5,Zxxxx0912xxx,
2024-11-03,07:54:47,20,Wxxxx9718xxx,Gastonia
2024-11-01,06:02:27,5,Nxxxx2429xxx,Miami
2024-11-01,06:02:27,5,Vxxxx8263xxx,Miami
2024-10-31,05:54:56,5,Mxxxx6023xxx,Cape Canaveral
2024-10-31,05:54:56,5,Mxxxx8310xxx,Cape Canaveral
2024-10-31,05:54:56,5,Nxxxx8902xxx,Cape Canaveral
2024-10-31,05:03:41,5,Nxxxx8005xxx,Cape Canaveral
2024-10-31,05:03:41,5,Mxxxx2859xxx,Cape Canaveral
2024-10-30,05:09:40,5,Zxxxx4046xxx,Charleston
2024-10-30,05:09:40,5,Zxxxx4751xxx,Charleston
2024-10-29,21:06:54,5,Zxxxx7931xxx,Little Rock
2024-10-29,05:09:10,5,Mxxxx1181xxx,Williamsburg
2024-10-29,04:58:40,5,Mxxxx5360xxx,Norfolk
2024-10-29,04:58:40,5,Nxxxx1059xxx,Norfolk
2024-10-28,05:21:35,5,Mxxxx4048xxx,Ocean City
2024-10-28,05:21:35,5,Mxxxx2744xxx,Ocean City
2024-10-27,00:22:32,5,Vxxxx5728xxx,Cambridge
2024-10-27,00:22:32,5,Mxxxx8775xxx,Cambridge
2024-10-26,05:09:13,5,Txxxx8375xxx,New York City
2024-10-26,05:07:24,5,Mxxxx1291xxx,New York City
2024-10-26,05:07:24,5,Vxxxx4474xxx,New York City
2024-10-24,15:36:43,5,Yxxxx1248xxx,Bayonne
2024-10-24,15:36:43,5,Nxxxx6874xxx,Bayonne
2024-10-24,07:35:29,10,Yxxxx8950xxx,Columbia
2024-10-24,07:35:29,20,Uxxxx0410xxx,Columbia
2024-10-24,07:35:29,20,Exxxx7038xxx,Columbia
2024-10-19,06:33:07,10,Rxxxx3240xxx,Rawlins
2024-10-19,06:33:07,20,Exxxx4471xxx,Rawlins
2024-10-19,06:33:07,50,Sxxxx8127xxx,Rawlins
2024-10-19,06:33:07,50,Uxxxx3526xxx,Rawlins
2024-10-19,06:33:07,50,Sxxxx2191xxx,Rawlins
2024-10-09,12:48:48,10,Yxxxx8506xxx,Columbia
2024-10-09,12:48:48,10,Yxxxx5100xxx,Columbia
2024-10-09,12:48:48,10,Wxxxx8595xxx,Columbia
2024-10-09,12:48:48,20,Uxxxx7124xxx,Columbia
2024-10-01,02:40:57,500,Sxxxx0004xxx,Sf
2024-09-23,09:55:14,20,Sxxxx8770xxx,San Francisco
2024-09-23,09:50:56,10,Vxxxx1607xxx,San Francisco
2024-09-17,14:14:43,5,Xxxxx4298xxx,St Paul
2024-09-12,14:08:50,50,Vxxxx5577xxx,Edgartown
2024-09-12,14:08:15,10,Wxxxx7537xxx,Edgartown
2024-09-12,14:08:04,10,Wxxxx6405xxx,Edgartown
2024-09-12,14:07:53,10,Rxxxx8654xxx,Edgartown
2024-09-12,14:07:40,10,Exxxx0403xxx,Edgartown
2024-09-07,05:40:31,5,Vxxxx7597xxx,Mount Juliet
2024-09-06,09:52:53,10,Rxxxx0389xxx,Miami
2024-09-06,09:52:36,5,Vxxxx2595xxx,Miami
2024-09-04,18:31:42,20,Sxxxx5063xxx,Oakland
2024-09-04,18:29:38,5,Mxxxx4059xxx,Oakland
2024-09-04,17:22:05,100,Rxxxx1416xxx,Columbus
2024-09-04,17:20:56,100,Rxxxx1416xxx,Columbus
2024-09-04,17:20:19,100,Rxxxx1416xxx,Columbus
2024-09-04,17:19:45,100,Rxxxx1416xxx,Columbus
2024-09-04,17:19:10,100,Rxxxx1416xxx,Columbus
2024-09-04,17:17:47,50,Wxxxx3746xxx,Columbus
2024-09-04,17:17:13,50,Wxxxx3746xxx,Columbus
2024-09-04,17:16:42,50,Wxxxx3746xxx,Columbus
2024-09-04,17:16:07,50,Wxxxx3746xxx,Columbus
2024-09-04,17:15:38,50,Wxxxx3746xxx,Columbus
2024-09-04,17:15:10,50,Wxxxx3746xxx,Columbus
2024-09-04,17:14:27,50,Wxxxx3746xxx,Columbus
2024-09-04,17:13:49,50,Wxxxx3746xxx,Columbus
2024-09-04,17:13:01,50,Wxxxx3746xxx,Columbus
2024-09-04,17:12:11,50,Wxxxx3746xxx,Columbus
2024-08-26,06:37:42,20,Mxxxx5950xxx,Cramerton
2024-08-25,21:40:55,5,Uxxxx5493xxx,Lexington
