Date,Time,Notetype,Maskedserial,Locality
2024-12-27,16:08:26,10,Vxxxx9142xxx,Città del Vaticano
2024-12-25,10:16:07,5,Mxxxx8640xxx,Città del Vaticano
2024-10-24,14:12:14,5,Uxxxx2976xxx,Vaticano
2024-10-24,14:12:14,10,Exxxx5256xxx,Vaticano
2024-07-03,16:45:27,20,Exxxx3820xxx,Città del Vaticano
2024-07-03,13:26:45,10,Nxxxx7386xxx,Città del Vaticano
2024-07-03,13:26:45,5,Nxxxx0690xxx,Città del Vaticano
2024-06-28,16:14:54,10,Yxxxx1220xxx,Città del Vaticano
2024-06-21,09:09:00,5,Vxxxx8307xxx,
2024-06-21,09:08:32,10,Vxxxx4722xxx,
2024-06-21,09:08:00,20,Zxxxx5985xxx,
2024-06-21,09:07:32,20,Rxxxx2793xxx,
2024-06-21,09:07:05,5,Vxxxx5660xxx,
2024-06-21,09:06:42,10,Vxxxx1448xxx,
2024-06-21,09:06:20,10,Uxxxx5683xxx,
2024-06-21,09:05:52,20,Uxxxx5953xxx,
2024-06-21,09:05:26,20,Mxxxx3183xxx,
2024-06-18,15:33:43,10,Yxxxx9330xxx,
2024-06-18,15:33:20,20,Vxxxx8990xxx,
2024-05-10,13:08:02,10,Vxxxx7445xxx,
2024-05-10,13:07:42,5,Nxxxx9546xxx,
2024-05-09,19:39:53,5,Yxxxx1537xxx,Città del Vaticano
2024-05-09,19:39:53,10,Exxxx7145xxx,Città del Vaticano
2024-05-05,07:13:42,5,Nxxxx1620xxx,Vatikanstadt
2024-04-23,12:09:31,20,Rxxxx2134xxx,Vatikan
2024-04-23,12:09:31,10,Wxxxx6339xxx,Vatikan
2024-04-23,11:26:07,10,Xxxxx9152xxx,Città del Vaticano
2024-04-23,11:25:32,10,Wxxxx4726xxx,Città del Vaticano
2024-04-23,11:25:32,5,Yxxxx0693xxx,Città del Vaticano
2024-04-22,08:46:46,5,Nxxxx5101xxx,Citta del Vaticano
2024-04-19,15:25:32,5,Nxxxx5595xxx,Città del Vaticano
2024-04-15,09:54:42,5,Mxxxx1038xxx,
2024-04-15,09:54:20,10,Yxxxx8745xxx,
2024-04-05,17:24:08,50,Sxxxx8427xxx,Rome
2024-03-23,20:49:56,5,Nxxxx0055xxx,Città del Vaticano
2024-03-23,20:49:56,10,Rxxxx6116xxx,Città del Vaticano
2024-02-07,23:04:59,10,Yxxxx9290xxx,Ciutat del Vaticà
2024-02-07,23:04:59,5,Mxxxx5476xxx,Ciutat del Vaticà
2024-01-28,14:29:11,20,Rxxxx2078xxx,
2024-01-28,14:28:49,20,Exxxx8772xxx,
2024-01-11,18:12:10,5,Mxxxx5615xxx,Città del Vaticano
