Date,Time,Notetype,Maskedserial,Locality
2024-12-09,13:28:31,50,Uxxxx1968xxx,Hanoi
2024-12-09,13:28:31,50,Vxxxx8623xxx,Hanoi
2024-12-09,13:28:31,50,Uxxxx7711xxx,Hanoi
2024-12-09,13:28:31,50,Uxxxx3266xxx,Hanoi
2024-12-09,13:28:31,50,Uxxxx1259xxx,Hanoi
2024-12-09,13:28:31,50,Uxxxx0056xxx,Hanoi
2024-12-09,13:28:31,50,Sxxxx6773xxx,Hanoi
2024-12-09,13:28:31,50,Uxxxx9508xxx,Hanoi
2024-12-09,13:28:31,50,Uxxxx7836xxx,Hanoi
2024-12-09,13:28:31,50,Uxxxx9015xxx,Hanoi
2024-12-02,06:51:31,10,Wxxxx8678xxx,Hanoi
2024-12-02,06:51:31,10,Fxxxx7500xxx,Hanoi
2024-12-02,06:51:31,10,Rxxxx3337xxx,Hanoi
2024-12-02,06:51:31,10,Wxxxx0297xxx,Hanoi
2024-12-02,06:51:31,10,Vxxxx2585xxx,Hanoi
2024-12-02,06:51:31,10,Nxxxx5373xxx,Hanoi
2024-11-28,03:29:00,10,Wxxxx4493xxx,Ha Long
2024-11-28,03:27:19,10,Fxxxx8984xxx,Ha Long
2024-11-28,03:27:19,10,Wxxxx8715xxx,Ha Long
2024-11-28,03:27:19,10,Fxxxx7697xxx,Ha Long
2024-11-28,03:27:19,10,Wxxxx7613xxx,Ha Long
2024-11-28,03:27:19,10,Wxxxx6680xxx,Ha Long
2024-11-28,03:27:19,10,Fxxxx3359xxx,Ha Long
2024-11-28,03:27:19,10,Wxxxx8716xxx,Ha Long
2024-11-28,03:27:19,10,Rxxxx4117xxx,Ha Long
2024-11-28,03:10:35,10,Uxxxx1786xxx,Sa Pa
2024-11-17,16:13:26,5,Yxxxx6030xxx,Ha Noi
2024-11-14,03:36:59,20,Exxxx0552xxx,Can Tho
2024-11-14,03:36:59,20,Exxxx4979xxx,Can Tho
2024-11-14,03:36:59,20,Uxxxx5760xxx,Can Tho
2024-11-14,03:36:59,20,Xxxxx3466xxx,Can Tho
2024-11-12,04:37:22,20,Uxxxx5965xxx,Phu Quoc
2024-11-10,10:49:50,10,Yxxxx8293xxx,Ho Chi minh city
2024-11-08,03:26:02,10,Rxxxx9480xxx,Saigon
2024-11-08,03:26:02,10,Exxxx6785xxx,Saigon
2024-09-30,17:29:48,50,Uxxxx5605xxx,Hanoi
2024-09-30,17:29:48,50,Rxxxx8618xxx,Hanoi
2024-09-30,17:29:48,50,Uxxxx4601xxx,Hanoi
2024-09-30,17:29:48,50,Rxxxx0611xxx,Hanoi
2024-09-30,17:22:40,50,Uxxxx1430xxx,Hanoi
2024-09-30,17:22:40,50,Sxxxx1115xxx,Hanoi
2024-09-30,17:08:29,50,Rxxxx9536xxx,Hanoi
2024-09-30,17:08:29,50,Rxxxx8078xxx,Hanoi
2024-09-30,17:08:29,50,Uxxxx4604xxx,Hanoi
2024-09-30,17:08:29,50,Exxxx7632xxx,Hanoi
2024-09-30,17:08:29,50,Rxxxx5845xxx,Hanoi
2024-09-30,17:08:29,50,Rxxxx0699xxx,Hanoi
2024-09-30,17:08:29,50,Sxxxx4008xxx,Hanoi
2024-09-30,17:08:29,50,Rxxxx1337xxx,Hanoi
2024-09-30,17:08:29,50,Wxxxx3796xxx,Hanoi
2024-09-30,17:08:29,50,Wxxxx6678xxx,Hanoi
2024-09-30,17:08:29,50,Wxxxx1635xxx,Hanoi
2024-09-30,17:08:29,50,Rxxxx4498xxx,Hanoi
2024-09-30,17:08:29,50,Vxxxx0141xxx,Hanoi
2024-09-30,17:08:29,50,Rxxxx5473xxx,Hanoi
2024-09-01,05:42:52,50,Vxxxx4738xxx,Nội Bài International Airport
2024-08-27,03:24:26,20,Rxxxx4828xxx,Vinh Xương
2024-08-25,04:00:39,20,Rxxxx5308xxx,Châu Đốc
2024-08-24,12:29:20,5,Vxxxx4762xxx,Long Xuyên
2024-08-24,12:28:41,20,Exxxx5697xxx,Long Xuyên
2024-08-24,12:27:55,50,Sxxxx2015xxx,Long Xuyên
2024-08-24,04:42:54,20,Uxxxx4377xxx,Cần Thơ
2024-08-24,04:42:54,20,Nxxxx7067xxx,Cần Thơ
2024-08-24,04:35:40,50,Sxxxx2749xxx,Mỹ Tho
2024-08-24,04:31:33,20,Rxxxx3228xxx,Thủ Thừa
2024-08-23,03:54:29,20,Rxxxx7246xxx,Củ Chi
2024-08-23,03:45:37,50,Wxxxx0017xxx,Thành phố Hồ Chí Minh
2024-08-23,03:40:40,10,Pxxxx8858xxx,Tân Sơn Nhất International Airport
2024-08-22,05:00:57,20,Rxxxx1535xxx,Đà Nẵng
2024-08-22,05:00:57,20,Exxxx8683xxx,Đà Nẵng
2024-08-22,05:00:57,20,Uxxxx1457xxx,Đà Nẵng
2024-08-22,05:00:57,20,Rxxxx2000xxx,Đà Nẵng
2024-08-22,05:00:57,20,Wxxxx5552xxx,Đà Nẵng
2024-08-22,04:26:07,20,Rxxxx9317xxx,Hội An
2024-08-22,04:26:07,20,Exxxx0038xxx,Hội An
2024-08-22,04:18:45,20,Xxxxx3367xxx,Mỹ Sơn
2024-08-20,03:10:11,10,Rxxxx3542xxx,Hải Vân Quan
2024-08-20,03:07:14,10,Xxxxx6625xxx,Huế
2024-08-20,03:04:07,10,Uxxxx4998xxx,Phu Bai International Airport
2024-08-19,04:21:12,5,Zxxxx0696xxx,Phường Hoàng Tân
2024-08-19,04:16:36,5,Zxxxx0766xxx,Hạ Long
2024-08-18,09:57:04,5,Zxxxx7933xxx,Đại Yên
2024-08-12,04:53:26,20,Rxxxx3619xxx,Hà Nội
2024-08-12,04:52:36,20,Wxxxx1580xxx,Hà Nội
2024-08-12,04:51:58,20,Sxxxx7227xxx,Hà Nội
2024-08-12,04:51:10,50,Exxxx7198xxx,Hà Nội
2024-08-04,17:18:49,50,Exxxx6901xxx,Hanoi
2024-07-31,11:35:13,10,Uxxxx6602xxx,Đà Nẵng
2024-07-02,15:12:55,100,Wxxxx7344xxx,Hanoi
2024-06-06,00:59:39,100,Rxxxx6361xxx,Tan Son Nhat International Airport
2024-06-06,00:59:39,100,Exxxx4071xxx,Tan Son Nhat International Airport
2024-05-28,16:59:17,10,Wxxxx1200xxx,Ho Chi Minh City
2024-05-11,16:03:23,50,Exxxx7145xxx,Hanoi
2024-05-07,22:23:44,50,Exxxx3593xxx,Hanoi
2024-05-01,18:31:58,50,Rxxxx0781xxx,Hanoi
2024-04-21,14:59:57,50,Vxxxx1469xxx,Hanoi
2024-04-06,18:05:34,5,Mxxxx8341xxx,Hô Chi Minh
2024-04-06,18:05:34,5,Sxxxx7983xxx,Hô Chi Minh
2024-04-06,18:05:34,5,Mxxxx4029xxx,Hô Chi Minh
