Date,Time,Notetype,Maskedserial,Locality
2025-12-14,21:34:31,10,Mxxxx8421xxx,Luanda
2025-12-14,21:34:31,10,Vxxxx0819xxx,Luanda
2025-12-14,21:34:31,10,Exxxx6842xxx,Luanda
2025-12-14,21:34:31,10,Wxxxx4299xxx,Luanda
2025-12-14,21:34:31,10,Wxxxx4299xxx,Luanda
2025-12-14,21:34:31,10,Txxxx9832xxx,Luanda
2025-12-14,21:34:31,10,Mxxxx9038xxx,Luanda
2025-12-14,21:34:31,10,Vxxxx8201xxx,Luanda
2025-12-14,21:34:31,10,Pxxxx4422xxx,Luanda
2025-12-14,21:34:31,10,Wxxxx8972xxx,Luanda
2025-12-14,21:34:31,10,Mxxxx0321xxx,Luanda
2025-12-14,21:34:31,10,Exxxx4940xxx,Luanda
2025-12-14,21:34:31,10,Mxxxx6410xxx,Luanda
2025-12-14,21:34:31,10,Yxxxx4394xxx,Luanda
2025-12-14,21:31:48,10,Xxxxx7265xxx,Luanda
2025-12-14,21:31:48,10,Fxxxx9500xxx,Luanda
2025-12-14,21:31:48,10,Exxxx6905xxx,Luanda
2025-12-14,21:31:48,10,Vxxxx9475xxx,Luanda
2025-12-14,21:31:48,10,Fxxxx6188xxx,Luanda
2025-12-14,21:31:48,10,Exxxx2553xxx,Luanda
2025-12-14,21:31:48,10,Pxxxx5825xxx,Luanda
2025-12-14,21:31:48,10,Yxxxx0362xxx,Luanda
2025-12-14,21:31:48,10,Wxxxx9033xxx,Luanda
2025-12-14,21:31:48,10,Wxxxx8679xxx,Luanda
2025-12-14,21:31:48,10,Wxxxx7943xxx,Luanda
2025-12-14,21:31:48,10,Wxxxx5958xxx,Luanda
2025-12-14,21:31:48,10,Yxxxx9582xxx,Luanda
2025-12-14,21:31:48,10,Wxxxx5103xxx,Luanda
2025-12-14,21:31:48,10,Wxxxx7754xxx,Luanda
2025-12-14,21:31:48,10,Exxxx8168xxx,Luanda
2025-12-14,21:31:48,10,Pxxxx5538xxx,Luanda
2025-12-14,21:31:48,10,Vxxxx7375xxx,Luanda
2025-12-14,21:31:48,10,Wxxxx1919xxx,Luanda
2025-12-14,21:31:48,10,Wxxxx4841xxx,Luanda
2025-12-14,21:31:48,10,Pxxxx8617xxx,Luanda
2025-12-14,21:31:48,10,Mxxxx2240xxx,Luanda
2025-12-14,21:31:48,10,Wxxxx6623xxx,Luanda
2025-12-14,21:31:48,10,Vxxxx4557xxx,Luanda
2025-12-14,21:31:48,10,Wxxxx9752xxx,Luanda
2025-12-14,21:22:32,10,Wxxxx4026xxx,Luanda
2025-11-15,18:30:32,500,Xxxxx5525xxx,Luanda
2025-10-31,09:40:18,10,Exxxx5965xxx,Mazozo
2025-08-13,09:39:32,50,Rxxxx5368xxx,
2025-08-13,09:39:32,50,Wxxxx9862xxx,
2025-08-13,09:39:32,50,Pxxxx5129xxx,
2025-08-13,09:39:32,50,Sxxxx9289xxx,
2025-03-26,15:29:00,10,Mxxxx0258xxx,Luanda
2025-03-14,15:40:20,50,Uxxxx8210xxx,
2025-03-14,15:40:20,50,Vxxxx8708xxx,
2025-03-14,15:40:20,50,Rxxxx1989xxx,
2025-03-14,15:40:20,50,Pxxxx9889xxx,
2025-03-14,15:40:20,50,Vxxxx2086xxx,
2025-03-14,15:40:20,50,Zxxxx0391xxx,
