Date,Time,Notetype,Maskedserial,Locality
2025-05-17,13:05:03,20,Uxxxx8186xxx,Arapan
2025-03-09,14:12:18,10,Yxxxx1770xxx,
2025-02-25,13:30:11,20,Rxxxx8868xxx,Berd
2025-02-25,13:30:11,20,Uxxxx3507xxx,Berd
2025-01-22,15:02:16,100,Uxxxx7979xxx,Yerevan
2025-01-22,15:01:51,100,Uxxxx7979xxx,Yerevan
2025-01-22,15:01:39,100,Uxxxx7979xxx,Yerevan
2025-01-22,15:01:28,100,Uxxxx7979xxx,Yerevan
2025-01-22,15:01:01,100,Uxxxx7980xxx,Yerevan
2025-01-22,15:00:25,100,Uxxxx7980xxx,Yerevan
2025-01-22,14:59:09,100,Uxxxx7979xxx,Yerevan
2025-01-22,14:58:22,100,Uxxxx7979xxx,Yerevan
2025-01-22,14:57:44,100,Uxxxx7980xxx,Yerevan
2025-01-22,14:57:21,100,Uxxxx7979xxx,Yerevan
2025-01-22,14:56:35,100,Uxxxx7980xxx,Yerevan
2025-01-22,14:55:01,100,Uxxxx7979xxx,Yerevan
2025-01-22,14:53:53,100,Uxxxx7979xxx,Yerevan
2025-01-22,14:53:27,100,Uxxxx7979xxx,Yerevan
2025-01-22,14:52:52,100,Uxxxx7979xxx,Yerevan
