Date,Time,Notetype,Maskedserial,Locality
2025-12-18,22:44:08,10,Rxxxx2697xxx,Foz do Iguaçu
2025-12-17,20:12:15,50,Uxxxx0860xxx,São Paulo
2025-12-17,14:57:38,10,Xxxxx1218xxx,Londrina
2025-12-12,03:18:23,100,Rxxxx2747xxx,Londrina
2025-12-12,03:17:54,100,Rxxxx2747xxx,Londrina
2025-11-25,21:43:20,10,Wxxxx7382xxx,Londrina
2025-11-25,21:42:52,10,Wxxxx7382xxx,Londrina
2025-11-25,21:42:22,20,Rxxxx0549xxx,Londrina
2025-11-25,21:41:52,20,Rxxxx0549xxx,Londrina
2025-11-24,18:59:25,100,Rxxxx4151xxx,Londrina
2025-11-24,18:58:54,100,Rxxxx4151xxx,Londrina
2025-11-24,18:58:20,100,Rxxxx4151xxx,Londrina
2025-11-24,18:58:00,100,Rxxxx4151xxx,Londrina
2025-11-24,18:57:39,100,Rxxxx4151xxx,Londrina
2025-11-21,23:52:57,100,Rxxxx4191xxx,Londrina
2025-11-21,23:52:33,100,Rxxxx4191xxx,Londrina
2025-11-21,23:52:07,100,Rxxxx4191xxx,Londrina
2025-11-21,23:51:18,100,Rxxxx4191xxx,Londrina
2025-11-21,23:50:30,100,Rxxxx4191xxx,Londrina
2025-10-21,17:30:04,100,Rxxxx7965xxx,São Paulo
2025-10-21,17:29:35,100,Rxxxx7965xxx,São Paulo
2025-10-21,17:29:06,100,Rxxxx7965xxx,São Paulo
2025-10-21,17:28:34,100,Rxxxx7965xxx,São Paulo
2025-10-21,17:28:03,100,Rxxxx7965xxx,São Paulo
2025-10-21,17:27:38,100,Rxxxx7965xxx,São Paulo
2025-10-21,17:27:05,100,Rxxxx7965xxx,São Paulo
2025-10-21,17:26:29,100,Rxxxx7965xxx,São Paulo
2025-10-21,17:17:51,100,Wxxxx5940xxx,São Paulo
2025-10-21,17:17:26,100,Wxxxx5940xxx,São Paulo
2025-10-21,17:17:02,100,Wxxxx5940xxx,São Paulo
2025-10-21,17:16:39,100,Wxxxx5940xxx,São Paulo
2025-10-21,17:16:15,100,Wxxxx5940xxx,São Paulo
2025-10-21,17:14:30,100,Wxxxx5940xxx,São Paulo
2025-10-21,17:14:02,100,Wxxxx5940xxx,São Paulo
2025-10-21,17:13:33,100,Wxxxx5940xxx,São Paulo
2025-10-21,17:13:10,100,Wxxxx5940xxx,São Paulo
2025-10-21,17:12:47,100,Wxxxx5940xxx,São Paulo
2025-10-21,17:12:25,100,Wxxxx5940xxx,São Paulo
2025-10-21,17:11:57,100,Wxxxx5940xxx,São Paulo
2025-10-21,17:11:29,100,Wxxxx5940xxx,São Paulo
2025-10-21,17:10:58,100,Wxxxx5940xxx,São Paulo
2025-10-21,17:10:25,100,Wxxxx5940xxx,São Paulo
2025-10-21,17:09:56,100,Wxxxx5940xxx,São Paulo
2025-10-21,17:09:31,100,Wxxxx5940xxx,São Paulo
2025-10-21,17:09:03,100,Wxxxx5940xxx,São Paulo
2025-10-21,17:08:35,100,Wxxxx5940xxx,São Paulo
2025-10-21,17:08:00,100,Wxxxx5940xxx,São Paulo
2025-10-21,17:07:33,100,Wxxxx5940xxx,São Paulo
2025-10-21,17:06:53,100,Wxxxx5940xxx,São Paulo
2025-10-21,17:05:15,100,Wxxxx5940xxx,São Paulo
2025-10-21,17:03:58,100,Wxxxx5940xxx,São Paulo
2025-10-21,17:03:20,100,Wxxxx5940xxx,São Paulo
2025-10-21,17:02:49,100,Wxxxx5940xxx,São Paulo
2025-10-21,17:02:24,100,Wxxxx5940xxx,São Paulo
2025-10-21,17:01:59,100,Wxxxx5940xxx,São Paulo
2025-10-21,17:01:20,100,Wxxxx5940xxx,São Paulo
2025-10-21,17:00:52,100,Wxxxx5940xxx,São Paulo
2025-10-21,17:00:18,100,Wxxxx5940xxx,São Paulo
2025-10-21,16:59:45,100,Wxxxx5940xxx,São Paulo
2025-10-21,16:59:14,100,Wxxxx5940xxx,São Paulo
2025-10-21,16:58:11,100,Wxxxx5940xxx,São Paulo
2025-10-21,16:57:12,100,Wxxxx5940xxx,São Paulo
2025-10-21,16:52:25,100,Wxxxx5940xxx,São Paulo
2025-09-22,23:14:53,100,Rxxxx1367xxx,São Paulo
2025-09-22,23:14:16,100,Rxxxx1367xxx,São Paulo
2025-09-22,23:12:32,100,Rxxxx6461xxx,São Paulo
2025-09-22,23:11:31,100,Rxxxx6461xxx,São Paulo
