Date,Time,Notetype,Maskedserial,Locality
2025-12-25,10:27:32,100,Sxxxx9551xxx,Sofia
2025-12-25,10:26:24,100,Sxxxx9551xxx,Sofia
2025-12-25,00:39:16,50,Pxxxx1637xxx,Sofia
2025-12-25,00:39:16,50,Vxxxx2485xxx,Sofia
2025-12-21,13:23:14,5,Nxxxx9262xxx,Sofia
2025-12-21,13:21:56,5,Nxxxx2393xxx,Sofia
2025-12-21,13:21:49,5,Vxxxx0343xxx,Sofia
2025-12-21,13:21:33,5,Zxxxx2283xxx,Sofia
2025-12-21,13:20:56,5,Vxxxx9571xxx,Sofia
2025-12-21,13:20:46,5,Mxxxx1516xxx,Sofia
2025-12-21,13:20:36,5,Vxxxx0664xxx,Sofia
2025-12-21,13:20:26,5,Vxxxx7091xxx,Sofia
2025-12-21,13:20:04,5,Vxxxx6452xxx,Sofia
2025-12-21,13:19:56,5,Txxxx5119xxx,Sofia
2025-12-21,13:18:03,5,Vxxxx9467xxx,Sofia
2025-12-21,13:17:54,5,Nxxxx9525xxx,Sofia
2025-12-21,13:17:07,5,Nxxxx3777xxx,Sofia
2025-12-21,13:16:59,5,Mxxxx0767xxx,Sofia
2025-12-21,13:16:51,5,Zxxxx8726xxx,Sofia
2025-12-21,13:16:43,5,Uxxxx6795xxx,Sofia
2025-12-21,13:16:24,5,Yxxxx7349xxx,Sofia
2025-12-21,13:16:14,5,Zxxxx6937xxx,Sofia
2025-12-21,13:16:01,5,Mxxxx4127xxx,Sofia
2025-12-21,13:15:43,5,Vxxxx1281xxx,Sofia
2025-12-21,13:15:34,5,Sxxxx8122xxx,Sofia
2025-12-21,13:15:12,5,Zxxxx7839xxx,Sofia
2025-12-21,13:15:01,5,Wxxxx5676xxx,Sofia
2025-12-21,13:14:54,5,Vxxxx8782xxx,Sofia
2025-12-21,13:14:44,5,Mxxxx2628xxx,Sofia
2025-12-21,13:14:35,5,Zxxxx4977xxx,Sofia
2025-12-21,13:14:22,5,Txxxx0487xxx,Sofia
2025-12-21,13:14:14,5,Nxxxx0326xxx,Sofia
2025-12-21,13:02:48,5,Uxxxx8472xxx,Sofia
2025-12-21,13:02:23,5,Mxxxx2946xxx,Sofia
2025-12-21,12:53:14,5,Mxxxx3751xxx,Sofia
2025-12-21,12:52:13,5,Uxxxx0305xxx,Sofia
2025-12-21,12:51:58,5,Mxxxx0057xxx,Sofia
2025-12-21,12:51:52,5,Mxxxx7430xxx,Sofia
2025-12-21,12:51:43,5,Nxxxx4522xxx,Sofia
2025-12-21,12:44:07,5,Vxxxx9657xxx,Sofia
2025-12-21,12:44:00,5,Uxxxx1611xxx,Sofia
2025-12-21,12:43:51,5,Vxxxx9160xxx,Sofia
2025-12-21,12:43:37,5,Mxxxx5975xxx,Sofia
2025-12-21,12:43:28,5,Mxxxx1362xxx,Sofia
2025-12-21,12:43:20,5,Vxxxx7014xxx,Sofia
2025-12-21,12:43:11,5,Uxxxx3995xxx,Sofia
2025-12-21,12:43:00,5,Nxxxx2290xxx,Sofia
2025-12-21,12:42:45,5,Yxxxx9402xxx,Sofia
2025-12-21,12:42:34,5,Uxxxx4637xxx,Sofia
2025-12-21,12:42:24,5,Vxxxx8414xxx,Sofia
2025-12-21,12:42:08,5,Exxxx2537xxx,Sofia
2025-12-21,12:40:47,5,Mxxxx6406xxx,Sofia
2025-12-21,12:40:37,5,Mxxxx8680xxx,Sofia
2025-12-21,12:40:23,5,Mxxxx5693xxx,Sofia
2025-12-21,12:40:14,5,Wxxxx4841xxx,Sofia
2025-12-21,12:40:06,5,Nxxxx0035xxx,Sofia
2025-12-21,12:39:56,5,Zxxxx2929xxx,Sofia
2025-12-21,12:39:46,5,Vxxxx1701xxx,Sofia
2025-12-21,12:39:40,5,Mxxxx3560xxx,Sofia
2025-12-21,12:39:13,5,Yxxxx2376xxx,Sofia
2025-12-21,12:39:03,5,Zxxxx2439xxx,Sofia
2025-12-21,12:38:53,5,Vxxxx2851xxx,Sofia
2025-12-21,12:38:45,5,Nxxxx1793xxx,Sofia
2025-12-21,12:38:17,5,Uxxxx1431xxx,Sofia
2025-12-21,12:37:45,5,Nxxxx7000xxx,Sofia
2025-12-21,12:37:36,5,Vxxxx4925xxx,Sofia
2025-12-21,12:37:31,5,Yxxxx3765xxx,Sofia
2025-12-21,12:36:59,5,Vxxxx6541xxx,Sofia
2025-12-21,12:36:52,5,Wxxxx2743xxx,Sofia
2025-12-21,12:36:47,5,Uxxxx8852xxx,Sofia
2025-12-21,12:36:39,5,Mxxxx3033xxx,Sofia
2025-12-21,12:36:14,5,Vxxxx3859xxx,Sofia
2025-12-21,12:36:04,5,Wxxxx3874xxx,Sofia
2025-12-21,12:35:57,5,Gxxxx7290xxx,Sofia
2025-12-21,12:35:23,5,Uxxxx6369xxx,Sofia
2025-12-21,12:35:15,5,Mxxxx1707xxx,Sofia
2025-12-21,12:35:09,5,Vxxxx8920xxx,Sofia
2025-12-21,12:35:01,5,Exxxx8776xxx,Sofia
2025-12-21,12:34:53,5,Vxxxx0818xxx,Sofia
2025-12-21,12:34:45,5,Mxxxx1557xxx,Sofia
2025-12-21,12:34:25,5,Mxxxx7885xxx,Sofia
2025-12-21,12:34:18,5,Vxxxx5694xxx,Sofia
2025-12-21,12:34:11,5,Mxxxx6944xxx,Sofia
2025-12-21,12:34:04,5,Uxxxx4741xxx,Sofia
2025-12-21,12:33:57,5,Wxxxx0795xxx,Sofia
2025-12-21,12:33:47,5,Uxxxx4117xxx,Sofia
2025-12-21,12:33:39,5,Mxxxx8835xxx,Sofia
2025-12-21,12:33:30,5,Exxxx0124xxx,Sofia
2025-12-21,12:33:19,5,Nxxxx5671xxx,Sofia
2025-12-21,12:33:06,5,Mxxxx9539xxx,Sofia
2025-12-21,12:32:58,5,Vxxxx4683xxx,Sofia
2025-12-21,12:32:49,5,Uxxxx0790xxx,Sofia
2025-12-21,12:32:39,5,Nxxxx6493xxx,Sofia
2025-12-21,12:32:31,5,Vxxxx8892xxx,Sofia
2025-12-21,12:32:22,5,Yxxxx7513xxx,Sofia
2025-12-21,12:32:15,5,Sxxxx8965xxx,Sofia
2025-12-21,12:31:53,5,Yxxxx1347xxx,Sofia
2025-12-21,12:31:47,5,Zxxxx1419xxx,Sofia
