Date,Time,Notetype,Maskedserial,Locality
2025-04-22,08:19:44,10,Yxxxx1157xxx,Foumban
2025-04-15,07:53:37,50,Vxxxx1746xxx,Foumban
2025-04-15,07:53:37,50,Vxxxx3532xxx,Foumban
2025-04-15,07:53:37,50,Uxxxx6850xxx,Foumban
2025-04-15,07:53:37,50,Wxxxx9964xxx,Foumban
2025-04-15,07:53:37,50,Vxxxx0481xxx,Foumban
2025-04-15,07:53:37,50,Pxxxx0950xxx,Foumban
2025-04-15,07:53:37,50,Vxxxx1193xxx,Foumban
2025-04-15,07:53:37,50,Vxxxx7361xxx,Foumban
2025-04-15,07:53:37,50,Vxxxx2535xxx,Foumban
2025-04-15,07:53:37,50,Vxxxx7028xxx,Foumban
2025-04-15,07:53:37,50,Mxxxx8955xxx,Foumban
2025-04-15,07:53:37,50,Uxxxx9283xxx,Foumban
2025-04-15,07:53:37,50,Zxxxx6242xxx,Foumban
2025-04-15,07:53:37,50,Vxxxx4109xxx,Foumban
2025-04-15,07:53:37,50,Vxxxx6866xxx,Foumban
2025-04-13,20:58:39,50,Vxxxx3281xxx,Foumban
2025-04-13,20:58:39,50,Sxxxx1655xxx,Foumban
2025-04-13,20:58:39,50,Vxxxx6115xxx,Foumban
2025-04-13,20:58:39,50,Sxxxx2863xxx,Foumban
2025-04-13,20:58:39,50,Vxxxx4005xxx,Foumban
2025-04-13,20:58:39,50,Vxxxx9069xxx,Foumban
2025-04-13,20:58:39,50,Vxxxx7641xxx,Foumban
2025-04-13,20:58:39,50,Uxxxx7440xxx,Foumban
2025-04-13,20:58:39,50,Vxxxx7814xxx,Foumban
2025-04-13,20:58:39,50,Vxxxx6295xxx,Foumban
2025-04-13,20:58:39,50,Wxxxx5964xxx,Foumban
2025-04-13,20:58:39,50,Vxxxx6295xxx,Foumban
2025-04-13,20:58:39,50,Vxxxx9987xxx,Foumban
2025-04-13,20:58:39,50,Sxxxx4761xxx,Foumban
2025-04-13,20:56:19,50,Vxxxx9987xxx,Foumban
2025-04-13,20:56:19,50,Vxxxx9987xxx,Foumban
2025-04-13,20:56:19,50,Exxxx1932xxx,Foumban
2025-04-13,20:56:19,50,Vxxxx9987xxx,Foumban
2025-04-13,20:56:19,50,Vxxxx0430xxx,Foumban
2025-04-13,20:56:19,50,Vxxxx3818xxx,Foumban
2025-04-13,20:56:19,50,Rxxxx5173xxx,Foumban
2025-04-13,20:56:19,50,Vxxxx2203xxx,Foumban
2025-04-13,20:56:19,50,Vxxxx6278xxx,Foumban
2025-04-13,20:56:19,50,Vxxxx1249xxx,Foumban
