Date,Time,Notetype,Maskedserial,Locality
2025-12-15,18:21:21,10,Sxxxx8603xxx,Espargos
2025-12-12,12:56:44,5,Nxxxx3388xxx,Santa Maria - Sal
2025-12-12,12:56:44,5,Wxxxx4303xxx,Santa Maria - Sal
2025-12-12,12:56:44,5,Yxxxx3624xxx,Santa Maria - Sal
2025-12-12,12:56:44,5,Vxxxx8707xxx,Santa Maria - Sal
2025-12-12,12:56:44,5,Nxxxx1690xxx,Santa Maria - Sal
2025-12-12,12:56:44,5,Txxxx0364xxx,Santa Maria - Sal
2025-12-12,12:56:44,5,Vxxxx9758xxx,Santa Maria - Sal
2025-12-12,12:56:44,5,Vxxxx7370xxx,Santa Maria - Sal
2025-12-12,12:56:44,5,Vxxxx6539xxx,Santa Maria - Sal
2025-12-12,12:56:44,5,Mxxxx2900xxx,Santa Maria - Sal
2025-12-12,12:56:44,5,Mxxxx7757xxx,Santa Maria - Sal
2025-12-12,12:56:44,5,Uxxxx2467xxx,Santa Maria - Sal
2025-12-12,12:48:43,10,Uxxxx0061xxx,Santa Maria - Sal
2025-12-12,12:48:43,10,Nxxxx2570xxx,Santa Maria - Sal
2025-12-12,12:47:14,10,Rxxxx5010xxx,Santa Maria - Sal
2025-12-12,12:47:14,10,Wxxxx9952xxx,Santa Maria - Sal
2025-12-12,12:47:14,10,Rxxxx9817xxx,Santa Maria - Sal
2025-12-12,12:47:14,10,Wxxxx5583xxx,Santa Maria - Sal
2025-12-12,12:47:14,10,Wxxxx6810xxx,Santa Maria - Sal
2025-12-12,12:47:14,10,Wxxxx5498xxx,Santa Maria - Sal
2025-12-12,12:47:14,10,Wxxxx0389xxx,Santa Maria - Sal
2025-12-12,12:47:14,10,Wxxxx9085xxx,Santa Maria - Sal
2025-12-12,12:47:14,10,Fxxxx6080xxx,Santa Maria - Sal
2025-12-12,12:47:14,10,Vxxxx7474xxx,Santa Maria - Sal
2025-12-12,12:47:14,10,Wxxxx0979xxx,Santa Maria - Sal
2025-12-12,12:47:14,10,Wxxxx9729xxx,Santa Maria - Sal
2025-12-12,12:47:14,10,Wxxxx6451xxx,Santa Maria - Sal
2025-12-12,12:47:14,10,Wxxxx5085xxx,Santa Maria - Sal
2025-12-12,12:47:14,10,Mxxxx7599xxx,Santa Maria - Sal
2025-12-12,12:47:14,10,Nxxxx8409xxx,Santa Maria - Sal
2025-12-12,12:47:14,10,Nxxxx8409xxx,Santa Maria - Sal
2025-12-12,12:47:14,10,Rxxxx0580xxx,Santa Maria - Sal
2025-12-12,12:47:14,10,Wxxxx9685xxx,Santa Maria - Sal
2025-12-12,12:47:14,10,Wxxxx5498xxx,Santa Maria - Sal
2025-12-12,12:47:14,10,Nxxxx0283xxx,Santa Maria - Sal
2025-12-12,12:47:14,10,Mxxxx3301xxx,Santa Maria - Sal
2025-12-12,12:47:14,10,Wxxxx9976xxx,Santa Maria - Sal
2025-12-12,12:47:14,10,Wxxxx9976xxx,Santa Maria - Sal
2025-12-12,12:47:14,10,Wxxxx1652xxx,Santa Maria - Sal
2025-12-12,12:36:37,10,Wxxxx0288xxx,Santa Maria - Sal
2025-12-12,12:36:37,10,Wxxxx2234xxx,Santa Maria - Sal
2025-12-12,12:36:37,10,Wxxxx7405xxx,Santa Maria - Sal
2025-12-12,12:36:37,10,Wxxxx1910xxx,Santa Maria - Sal
2025-12-12,12:36:37,10,Wxxxx0343xxx,Santa Maria - Sal
2025-12-12,12:36:37,10,Wxxxx1933xxx,Santa Maria - Sal
2025-12-12,12:36:37,10,Xxxxx0701xxx,Santa Maria - Sal
2025-12-12,12:36:37,10,Nxxxx1232xxx,Santa Maria - Sal
2025-12-12,12:36:37,10,Nxxxx5838xxx,Santa Maria - Sal
2025-12-12,12:36:37,10,Vxxxx0649xxx,Santa Maria - Sal
2025-12-12,12:36:37,10,Nxxxx3811xxx,Santa Maria - Sal
2025-12-12,12:36:37,10,Wxxxx9847xxx,Santa Maria - Sal
2025-12-12,12:36:37,10,Mxxxx8139xxx,Santa Maria - Sal
2025-12-12,12:36:37,10,Nxxxx3358xxx,Santa Maria - Sal
2025-12-12,12:36:37,10,Nxxxx3358xxx,Santa Maria - Sal
2025-12-12,12:36:37,10,Wxxxx2129xxx,Santa Maria - Sal
2025-12-12,12:36:37,10,Wxxxx6074xxx,Santa Maria - Sal
2025-12-12,12:36:37,10,Vxxxx8376xxx,Santa Maria - Sal
2025-12-12,12:36:37,10,Vxxxx9537xxx,Santa Maria - Sal
2025-12-12,12:36:37,10,Exxxx3637xxx,Santa Maria - Sal
2025-12-12,12:36:37,10,Rxxxx2208xxx,Santa Maria - Sal
2025-12-12,12:36:37,10,Vxxxx9081xxx,Santa Maria - Sal
2025-12-12,12:36:37,10,Wxxxx9689xxx,Santa Maria - Sal
