Date,Time,Notetype,Maskedserial,Locality
2025-07-02,15:35:04,200,Fxxxx0000xxx,Duitama
2025-07-02,15:34:27,200,Yxxxx0000xxx,Duitama
2025-07-02,15:23:34,200,Lxxxx0000xxx,Duitama
2025-07-02,15:23:12,200,Mxxxx0000xxx,Duitama
2025-07-02,15:22:52,200,Dxxxx0000xxx,Duitama
2025-07-02,15:20:03,200,Vxxxx0000xxx,Duitama
2025-07-01,23:25:14,200,Sxxxx0000xxx,Duitama
2025-07-01,23:24:47,200,Sxxxx0000xxx,Duitama
2025-07-01,23:16:19,200,Sxxxx0000xxx,Duitama
2025-07-01,23:09:01,200,Sxxxx0000xxx,Duitama
2025-07-01,23:05:19,200,Sxxxx4629xxx,Duitama
2025-06-24,23:51:25,200,Exxxx7016xxx,Bogotá
2025-06-24,23:51:25,200,Uxxxx3358xxx,Bogotá
2025-06-22,03:59:49,20,Uxxxx5434xxx,Carthagène des indes
2025-06-22,00:14:28,500,Xxxxx9040xxx,Bogotá
2025-06-22,00:14:28,500,Xxxxx8833xxx,Bogotá
2025-06-19,19:50:54,500,Sxxxx5616xxx,Bogotá
2025-06-14,22:53:44,500,Xxxxx9274xxx,Bogotá
2025-06-14,22:53:44,500,Xxxxx8751xxx,Bogotá
2025-06-12,15:12:10,20,Nxxxx2242xxx,Medellín
2025-06-12,15:12:10,20,Nxxxx2242xxx,Medellín
2025-06-12,15:12:10,20,Nxxxx2242xxx,Medellín
2025-06-12,15:12:10,20,Nxxxx2242xxx,Medellín
2025-06-12,15:12:10,20,Nxxxx2242xxx,Medellín
2025-06-12,15:10:42,50,Vxxxx3703xxx,Medellín
2025-06-12,15:10:42,50,Pxxxx1470xxx,Medellín
2025-06-12,15:10:42,50,Vxxxx5468xxx,Medellín
2025-06-12,15:10:42,50,Vxxxx2812xxx,Medellín
2025-06-08,20:52:34,50,Zxxxx5724xxx,Bogota
2025-06-08,20:52:34,50,Xxxxx4848xxx,Bogota
2025-06-08,20:52:34,50,Xxxxx3162xxx,Bogota
2025-06-08,20:52:34,50,Sxxxx8076xxx,Bogota
2025-06-08,20:52:34,50,Vxxxx6861xxx,Bogota
2025-06-08,20:52:34,50,Sxxxx3136xxx,Bogota
2025-06-08,20:52:34,50,Wxxxx5202xxx,Bogota
2025-06-08,20:52:34,50,Vxxxx8065xxx,Bogota
2025-06-08,20:52:34,50,Rxxxx4784xxx,Bogota
2025-06-08,20:52:34,50,Exxxx9997xxx,Bogota
2025-06-08,20:52:34,20,Rxxxx2594xxx,Bogota
2025-06-08,20:52:34,20,Rxxxx2594xxx,Bogota
2025-06-08,20:41:16,10,Rxxxx0449xxx,Bogota
2025-05-22,04:21:55,50,Xxxxx1082xxx,Bogota
2025-03-10,13:57:15,100,Xxxxx0678xxx,Cartagena de Indias
2025-03-06,01:49:47,5,Nxxxx7571xxx,Medellin
2025-03-06,01:47:50,10,Wxxxx1844xxx,Medellin
2025-03-02,00:43:57,20,Uxxxx6565xxx,Bogotá
2025-03-02,00:43:57,20,Sxxxx5681xxx,Bogotá
2025-03-02,00:43:57,20,Uxxxx9927xxx,Bogotá
2025-03-02,00:43:57,20,Uxxxx8925xxx,Bogotá
2025-03-02,00:43:57,20,Uxxxx5168xxx,Bogotá
2025-03-02,00:43:57,20,Uxxxx8316xxx,Bogotá
2025-03-02,00:43:57,20,Rxxxx1393xxx,Bogotá
2025-03-02,00:43:57,20,Mxxxx2439xxx,Bogotá
2025-03-02,00:43:57,20,Fxxxx5949xxx,Bogotá
2025-03-02,00:43:57,20,Sxxxx0532xxx,Bogotá
2025-03-02,00:41:41,50,Uxxxx8018xxx,Bogotá
2025-03-02,00:41:26,50,Uxxxx8018xxx,Bogotá
2025-03-02,00:41:26,50,Sxxxx1610xxx,Bogotá
2025-03-02,00:41:26,50,Vxxxx4043xxx,Bogotá
2025-03-02,00:41:26,50,Sxxxx5142xxx,Bogotá
2025-03-02,00:41:26,50,Vxxxx1069xxx,Bogotá
2025-03-02,00:41:26,50,Vxxxx4443xxx,Bogotá
2025-03-02,00:41:26,50,Sxxxx5362xxx,Bogotá
2025-03-02,00:41:26,50,Rxxxx6310xxx,Bogotá
2025-03-02,00:41:26,50,Vxxxx4328xxx,Bogotá
2025-03-02,00:41:26,50,Uxxxx5010xxx,Bogotá
2025-03-02,00:41:26,50,Sxxxx6649xxx,Bogotá
2025-03-02,00:41:26,50,Sxxxx8347xxx,Bogotá
2025-03-02,00:41:26,50,Uxxxx8018xxx,Bogotá
2025-03-02,00:41:26,50,Vxxxx0901xxx,Bogotá
2025-03-02,00:41:26,50,Uxxxx2415xxx,Bogotá
2025-03-02,00:41:26,50,Sxxxx8080xxx,Bogotá
2025-03-02,00:41:26,50,Vxxxx4119xxx,Bogotá
2025-03-02,00:41:26,50,Vxxxx7337xxx,Bogotá
2025-03-02,00:41:26,50,Rxxxx4557xxx,Bogotá
2025-03-02,00:41:26,50,Exxxx9063xxx,Bogotá
2025-03-02,00:41:26,50,Sxxxx7873xxx,Bogotá
2025-03-02,00:41:26,50,Uxxxx8018xxx,Bogotá
2025-03-02,00:41:26,50,Exxxx2768xxx,Bogotá
2025-03-02,00:41:26,50,Uxxxx8018xxx,Bogotá
2025-03-02,00:41:26,50,Uxxxx8018xxx,Bogotá
2025-02-18,02:07:58,20,Uxxxx4665xxx,Medellin
2025-02-16,00:34:24,100,Vxxxx4985xxx,Bogotá
2025-02-16,00:34:24,100,Sxxxx3955xxx,Bogotá
2025-02-16,00:34:24,100,Xxxxx3626xxx,Bogotá
2025-02-16,00:34:24,100,Xxxxx2318xxx,Bogotá
2025-02-16,00:34:24,100,Exxxx0513xxx,Bogotá
2025-02-16,00:34:24,100,Exxxx0513xxx,Bogotá
2025-02-16,00:34:24,100,Vxxxx0403xxx,Bogotá
2025-02-16,00:34:24,100,Vxxxx0403xxx,Bogotá
2025-02-16,00:32:18,50,Rxxxx9337xxx,Bogotá
2025-02-16,00:32:18,50,Rxxxx0867xxx,Bogotá
2025-02-16,00:32:18,50,Rxxxx1481xxx,Bogotá
2025-02-16,00:32:18,50,Vxxxx9090xxx,Bogotá
