Date,Time,Notetype,Maskedserial,Locality
2025-12-27,19:52:23,5,Mxxxx2146xxx,Zagreb
2025-12-27,19:52:16,5,Uxxxx4909xxx,Zagreb
2025-12-27,19:12:31,5,Vxxxx2321xxx,Zagreb
2025-12-27,19:12:21,10,Pxxxx2038xxx,Zagreb
2025-12-27,19:12:13,10,Nxxxx4079xxx,Zagreb
2025-12-27,15:17:38,5,Yxxxx1018xxx,Split
2025-12-27,15:17:38,10,Exxxx3903xxx,Split
2025-12-27,15:17:38,20,Uxxxx4521xxx,Split
2025-12-27,15:17:38,20,Exxxx0860xxx,Split
2025-12-27,15:17:38,50,Uxxxx1189xxx,Split
2025-12-27,15:17:38,50,Sxxxx4665xxx,Split
2025-12-27,15:17:38,50,Sxxxx0766xxx,Split
2025-12-27,15:17:38,50,Uxxxx5432xxx,Split
2025-12-27,13:55:22,5,Zxxxx5926xxx,Zagreb
2025-12-27,13:12:16,5,Mxxxx5207xxx,Poreč
2025-12-27,13:11:54,50,Sxxxx8217xxx,Poreč
2025-12-27,13:08:49,20,Uxxxx5383xxx,Poreč
2025-12-27,12:55:39,20,Exxxx4000xxx,Poreč
2025-12-27,12:55:31,10,Vxxxx1997xxx,Poreč
2025-12-27,12:55:21,5,Mxxxx8207xxx,Poreč
2025-12-27,12:43:57,50,Uxxxx8319xxx,Poreč
2025-12-27,11:38:20,50,Uxxxx6912xxx,Jezera
2025-12-27,11:38:20,20,Exxxx2143xxx,Jezera
2025-12-27,11:38:20,20,Exxxx2178xxx,Jezera
2025-12-27,11:36:17,20,Uxxxx1056xxx,Tisno
2025-12-27,11:36:17,10,Wxxxx3180xxx,Tisno
2025-12-27,11:36:17,10,Wxxxx9075xxx,Tisno
2025-12-27,11:36:17,5,Yxxxx3319xxx,Tisno
2025-12-27,10:41:32,5,Uxxxx9207xxx,Vukovar
2025-12-27,10:41:29,5,Vxxxx6601xxx,Vukovar
2025-12-27,10:41:24,5,Nxxxx2174xxx,Vukovar
2025-12-27,10:41:19,5,Zxxxx9604xxx,Vukovar
2025-12-27,10:41:16,5,Nxxxx5384xxx,Vukovar
2025-12-27,09:56:35,5,Nxxxx8049xxx,Dugo Selo
2025-12-27,09:56:35,20,Uxxxx1502xxx,Dugo Selo
2025-12-27,09:25:10,10,Wxxxx7037xxx,Vukovar
2025-12-27,09:25:06,10,Nxxxx5177xxx,Vukovar
2025-12-27,09:24:57,5,Nxxxx0339xxx,Vukovar
2025-12-27,08:26:47,10,Wxxxx0822xxx,Betina
2025-12-27,08:26:47,5,Mxxxx2389xxx,Betina
2025-12-26,20:22:46,10,Wxxxx9950xxx,Vinkovci
2025-12-26,20:04:53,20,Uxxxx5518xxx,Vukovar
2025-12-26,20:04:47,20,Exxxx1829xxx,Vukovar
2025-12-26,20:04:40,20,Exxxx0515xxx,Vukovar
2025-12-26,20:03:59,10,Nxxxx3399xxx,Vukovar
2025-12-26,15:14:00,50,Sxxxx4548xxx,Tisno
2025-12-26,15:14:00,50,Sxxxx7426xxx,Tisno
2025-12-26,15:14:00,50,Vxxxx3175xxx,Tisno
2025-12-26,14:10:47,10,Vxxxx4942xxx,Murter
2025-12-26,12:33:28,100,Exxxx4220xxx,Korčula
2025-12-26,11:39:54,20,Rxxxx0761xxx,Murter
2025-12-26,11:39:54,20,Rxxxx9611xxx,Murter
2025-12-26,11:38:08,50,Uxxxx2972xxx,Tisno
2025-12-26,11:38:08,50,Uxxxx3903xxx,Tisno
2025-12-26,10:34:17,10,Wxxxx7819xxx,Tisno
2025-12-26,10:34:17,5,Nxxxx4237xxx,Tisno
2025-12-26,10:11:12,20,Sxxxx4637xxx,Zagreb
2025-12-26,10:11:01,20,Uxxxx9309xxx,Zagreb
2025-12-26,07:45:47,5,Nxxxx3864xxx,Mogorić
2025-12-26,07:45:47,5,Vxxxx2150xxx,Mogorić
2025-12-25,23:14:39,20,Exxxx9937xxx,Zagreb
2025-12-25,23:14:23,20,Exxxx0505xxx,Zagreb
2025-12-25,19:59:35,20,Sxxxx0816xxx,Otočac
2025-12-25,19:59:00,50,Exxxx5797xxx,Otočac
2025-12-25,19:58:48,50,Sxxxx2921xxx,Otočac
2025-12-25,18:15:00,5,Zxxxx9832xxx,Zagreb
2025-12-25,15:28:29,10,Wxxxx1265xxx,Vinkovci
2025-12-25,14:24:17,50,Sxxxx9793xxx,Novigrad
2025-12-25,14:21:42,20,Uxxxx6474xxx,Novigrad
2025-12-25,14:21:42,20,Uxxxx9172xxx,Novigrad
2025-12-25,14:21:42,20,Sxxxx9311xxx,Novigrad
2025-12-25,14:21:42,5,Yxxxx7484xxx,Novigrad
2025-12-25,14:21:42,10,Yxxxx0728xxx,Novigrad
2025-12-25,14:12:41,50,Exxxx0257xxx,Otočac
2025-12-25,14:12:27,50,Exxxx6132xxx,Otočac
2025-12-25,14:12:01,20,Exxxx2152xxx,Otočac
2025-12-25,14:11:39,20,Uxxxx7248xxx,Otočac
2025-12-25,14:10:49,10,Wxxxx6662xxx,Otočac
2025-12-25,13:28:03,100,Vxxxx7763xxx,Zagreb
2025-12-25,13:23:04,50,Sxxxx1719xxx,Otočac
2025-12-25,10:24:31,50,Rxxxx6599xxx,Vinkovci
2025-12-25,01:01:38,10,Wxxxx7804xxx,Zagreb
