Date,Time,Notetype,Maskedserial,Locality
2025-12-22,00:40:25,5,Nxxxx5725xxx,
2025-12-21,19:42:51,50,Uxxxx7761xxx,
2025-12-21,12:32:06,50,Pxxxx2157xxx,
2025-12-20,17:17:29,50,Vxxxx7568xxx,København
2025-12-19,14:23:08,20,Nxxxx9156xxx,
2025-12-19,14:23:08,20,Nxxxx9156xxx,
2025-12-17,23:27:11,5,Mxxxx7877xxx,Frederiksberg
2025-12-17,23:16:37,5,Mxxxx8322xxx,Frederiksberg
2025-12-12,16:28:47,20,Nxxxx9156xxx,Køge
2025-12-12,16:28:05,20,Nxxxx9156xxx,Køge
2025-12-12,16:27:19,20,Nxxxx9156xxx,Køge
2025-12-12,16:26:35,20,Nxxxx9156xxx,Køge
2025-12-12,16:23:28,20,Nxxxx9156xxx,Køge
2025-12-12,16:21:00,20,Nxxxx9156xxx,Køge
2025-12-12,16:20:12,20,Nxxxx9156xxx,Køge
2025-12-12,16:19:00,20,Nxxxx9156xxx,Køge
2025-12-12,16:18:04,20,Nxxxx9156xxx,Køge
2025-12-12,16:16:54,20,Nxxxx9156xxx,Køge
2025-12-12,00:52:26,50,Uxxxx8538xxx,Køge
2025-12-06,11:22:13,10,Wxxxx0145xxx,Kastrup
2025-12-06,00:47:17,50,Vxxxx8259xxx,København
2025-12-06,00:23:42,50,Sxxxx5277xxx,København
2025-11-30,16:42:50,50,Sxxxx5207xxx,Gentofte
2025-11-30,16:42:50,50,Vxxxx9886xxx,Gentofte
2025-11-30,16:42:50,50,Rxxxx1140xxx,Gentofte
2025-11-30,16:42:50,50,Vxxxx1129xxx,Gentofte
2025-11-30,16:42:50,50,Wxxxx2738xxx,Gentofte
2025-11-30,16:42:50,50,Uxxxx1018xxx,Gentofte
2025-11-30,16:42:50,50,Wxxxx2570xxx,Gentofte
2025-11-28,18:47:19,20,Nxxxx9157xxx,Frederiksberg
2025-11-28,18:46:32,20,Nxxxx9157xxx,Frederiksberg
2025-11-28,18:45:52,20,Nxxxx9157xxx,Frederiksberg
2025-11-28,18:45:10,20,Nxxxx9156xxx,Frederiksberg
2025-11-28,18:44:26,20,Nxxxx9156xxx,Frederiksberg
2025-11-28,17:22:44,20,Nxxxx9156xxx,Frederiksberg
2025-11-28,17:21:07,20,Nxxxx9156xxx,Frederiksberg
2025-11-28,17:19:45,20,Nxxxx9156xxx,Frederiksberg
2025-11-26,20:55:25,50,Vxxxx5813xxx,
2025-11-26,20:53:56,50,Vxxxx2677xxx,
2025-11-26,20:51:25,50,Vxxxx3018xxx,
2025-11-18,11:15:01,50,Rxxxx7839xxx,
2025-11-16,20:38:56,20,Uxxxx7863xxx,Padborg
2025-11-16,20:38:56,20,Rxxxx2565xxx,Padborg
2025-11-16,20:38:56,50,Rxxxx9569xxx,Padborg
2025-11-16,17:43:25,20,Nxxxx8836xxx,Aalborg
2025-11-16,17:42:32,20,Nxxxx8836xxx,Aalborg
2025-11-16,17:41:32,20,Nxxxx8836xxx,Aalborg
2025-11-16,17:40:38,20,Nxxxx8836xxx,Aalborg
2025-11-16,00:51:54,20,Nxxxx8836xxx,Aalborg
2025-11-15,19:07:21,10,Wxxxx5010xxx,Aalborg
2025-11-15,18:54:28,5,Mxxxx3719xxx,Aalborg
2025-11-14,20:20:07,50,Pxxxx4555xxx,Padborg
2025-11-13,20:10:49,50,Pxxxx0959xxx,
2025-11-13,13:50:23,50,Uxxxx5952xxx,Kastrup
2025-11-12,11:53:10,100,Rxxxx9124xxx,København
2025-11-12,11:51:43,100,Exxxx3598xxx,København
2025-11-12,11:49:57,50,Sxxxx2523xxx,København
2025-11-12,11:48:39,50,Vxxxx0431xxx,København
2025-11-12,11:47:28,50,Xxxxx6985xxx,København
2025-11-12,11:46:01,50,Xxxxx4329xxx,København
2025-11-12,11:44:40,50,Zxxxx3038xxx,København
2025-11-12,11:43:32,50,Sxxxx1353xxx,København
2025-11-08,19:01:08,5,Mxxxx6298xxx,Bedsted
2025-11-08,19:00:25,50,Uxxxx2279xxx,Bedsted
2025-11-08,14:24:10,20,Nxxxx6755xxx,Køge
2025-11-08,14:23:06,20,Nxxxx6755xxx,Køge
2025-11-08,14:22:18,20,Nxxxx6755xxx,Køge
2025-11-08,14:21:18,20,Nxxxx6755xxx,Køge
2025-11-08,10:21:16,20,Nxxxx6755xxx,Køge
2025-11-08,10:20:13,20,Nxxxx6755xxx,Køge
2025-11-08,10:19:06,20,Nxxxx6755xxx,Køge
2025-11-07,19:40:23,50,Uxxxx8510xxx,Køge
2025-11-06,21:38:19,50,Exxxx5642xxx,København
2025-11-02,19:45:59,50,Vxxxx2374xxx,Kopenhagen
2025-11-02,19:45:59,50,Uxxxx8754xxx,Kopenhagen
2025-11-02,19:45:59,50,Rxxxx8659xxx,Kopenhagen
2025-11-02,19:45:59,50,Mxxxx3232xxx,Kopenhagen
2025-11-02,19:45:59,20,Uxxxx9716xxx,Kopenhagen
2025-11-02,19:45:59,10,Yxxxx6517xxx,Kopenhagen
2025-11-02,19:45:59,10,Exxxx2833xxx,Kopenhagen
2025-11-02,19:45:59,10,Wxxxx8792xxx,Kopenhagen
2025-11-02,19:45:59,10,Rxxxx1540xxx,Kopenhagen
2025-11-02,19:45:59,10,Wxxxx4398xxx,Kopenhagen
2025-11-02,19:45:59,10,Wxxxx9095xxx,Kopenhagen
2025-11-02,19:45:59,10,Fxxxx0012xxx,Kopenhagen
2025-11-02,19:45:59,10,Vxxxx2828xxx,Kopenhagen
2025-11-02,19:45:59,10,Nxxxx1159xxx,Kopenhagen
2025-11-02,19:45:59,10,Wxxxx8453xxx,Kopenhagen
2025-11-02,19:45:59,10,Nxxxx2637xxx,Kopenhagen
2025-11-02,19:45:59,10,Uxxxx7147xxx,Kopenhagen
2025-11-02,19:45:59,10,Exxxx5183xxx,Kopenhagen
2025-11-02,19:45:59,10,Xxxxx1924xxx,Kopenhagen
2025-11-02,19:45:59,10,Wxxxx7258xxx,Kopenhagen
2025-11-02,19:45:59,5,Vxxxx2109xxx,Kopenhagen
2025-11-02,19:45:59,5,Vxxxx2143xxx,Kopenhagen
2025-11-02,19:45:59,5,Vxxxx8525xxx,Kopenhagen
2025-11-02,19:45:59,5,Uxxxx7487xxx,Kopenhagen
2025-11-02,19:45:59,5,Vxxxx5027xxx,Kopenhagen
2025-10-30,18:02:47,10,Wxxxx2514xxx,Frederikshavn
2025-10-30,18:02:47,10,Wxxxx9284xxx,Frederikshavn
2025-10-30,18:02:47,10,Wxxxx9284xxx,Frederikshavn
2025-10-30,18:02:47,10,Wxxxx3492xxx,Frederikshavn
2025-10-30,18:02:47,10,Wxxxx3492xxx,Frederikshavn
2025-10-30,18:02:47,10,Wxxxx3465xxx,Frederikshavn
2025-10-30,18:02:47,10,Wxxxx5132xxx,Frederikshavn
2025-10-30,18:02:47,10,Wxxxx5132xxx,Frederikshavn
2025-10-30,18:02:47,10,Wxxxx3739xxx,Frederikshavn
2025-10-30,18:02:47,10,Rxxxx9310xxx,Frederikshavn
2025-10-30,18:02:47,10,Yxxxx4189xxx,Frederikshavn
2025-10-30,18:02:47,10,Rxxxx1786xxx,Frederikshavn
2025-10-30,18:02:47,10,Fxxxx5696xxx,Frederikshavn
2025-10-30,18:02:47,10,Wxxxx9067xxx,Frederikshavn
2025-10-30,18:02:47,10,Wxxxx7628xxx,Frederikshavn
2025-10-30,18:02:47,10,Wxxxx4688xxx,Frederikshavn
2025-10-30,18:02:47,10,Nxxxx0274xxx,Frederikshavn
2025-10-30,18:02:47,10,Wxxxx1920xxx,Frederikshavn
2025-10-30,18:02:47,10,Wxxxx6189xxx,Frederikshavn
2025-10-30,18:02:47,10,Rxxxx2139xxx,Frederikshavn
2025-10-15,00:11:01,10,Vxxxx1887xxx,Hillerød
2025-10-14,08:10:32,5,Zxxxx4602xxx,Humlebæk
2025-10-13,03:13:16,20,Uxxxx3477xxx,Aalborg
2025-10-13,03:13:16,20,Uxxxx3477xxx,Aalborg
2025-10-13,03:13:16,20,Uxxxx3477xxx,Aalborg
2025-10-13,03:13:16,20,Uxxxx3477xxx,Aalborg
2025-10-13,03:13:16,20,Uxxxx3477xxx,Aalborg
2025-10-13,03:13:16,20,Uxxxx3477xxx,Aalborg
