Date,Time,Notetype,Maskedserial,Locality
2025-04-11,05:34:43,50,Uxxxx0775xxx,Quito
2025-04-11,05:34:43,50,Uxxxx4656xxx,Quito
2025-04-11,05:34:43,50,Uxxxx5247xxx,Quito
2025-04-11,05:29:23,50,Uxxxx7706xxx,Quito
2025-04-11,05:29:23,50,Sxxxx7726xxx,Quito
2025-04-11,05:29:23,50,Uxxxx6220xxx,Quito
2025-04-11,05:17:01,50,Sxxxx8883xxx,Quito
2025-04-11,05:17:01,50,Sxxxx1992xxx,Quito
2025-04-11,05:17:01,50,Sxxxx3659xxx,Quito
2025-04-11,05:17:01,50,Wxxxx9431xxx,Quito
2025-04-11,04:55:47,50,Sxxxx5910xxx,Quito
2025-04-11,04:55:47,50,Exxxx5619xxx,Quito
2025-04-11,04:55:47,50,Zxxxx5183xxx,Quito
2025-04-11,04:55:47,50,Rxxxx1872xxx,Quito
2025-04-11,04:50:34,50,Vxxxx7348xxx,Quito
2025-04-11,04:50:34,50,Exxxx0391xxx,Quito
2025-04-11,04:50:34,10,Fxxxx7232xxx,Quito
2025-04-11,04:47:19,5,Nxxxx3790xxx,Quito
2025-04-11,04:47:19,5,Vxxxx0020xxx,Quito
2025-02-13,00:17:32,50,Rxxxx7672xxx,Quito
2025-02-13,00:17:32,50,Rxxxx1253xxx,Quito
2025-02-13,00:17:32,50,Vxxxx1278xxx,Quito
2025-02-13,00:17:32,50,Vxxxx6781xxx,Quito
2025-02-13,00:17:32,50,Vxxxx2151xxx,Quito
2025-02-13,00:17:32,50,Vxxxx2933xxx,Quito
2025-02-13,00:17:32,50,Vxxxx2512xxx,Quito
2025-02-12,23:50:39,10,Wxxxx5839xxx,Quito
2025-02-12,23:50:39,10,Wxxxx3090xxx,Quito
2025-02-12,23:50:39,10,Wxxxx8742xxx,Quito
2025-02-12,23:50:39,10,Rxxxx5473xxx,Quito
2025-02-12,23:50:39,10,Yxxxx2780xxx,Quito
2025-02-12,23:50:39,10,Wxxxx5279xxx,Quito
2025-02-12,23:50:39,10,Fxxxx8076xxx,Quito
2025-02-12,23:17:58,5,Txxxx6174xxx,Quito
2025-02-12,23:17:58,5,Vxxxx5674xxx,Quito
2025-02-12,23:17:58,5,Xxxxx9442xxx,Quito
2025-01-08,01:57:27,50,Uxxxx6084xxx,Quito
2025-01-08,01:57:27,50,Sxxxx9694xxx,Quito
2025-01-08,01:57:27,50,Sxxxx5055xxx,Quito
2025-01-08,01:57:27,50,Sxxxx6880xxx,Quito
2025-01-08,01:48:13,20,Mxxxx1009xxx,Quito
2025-01-08,01:38:13,5,Zxxxx1449xxx,Quito
2025-01-08,01:35:34,5,Nxxxx1586xxx,Quito
