Date,Time,Notetype,Maskedserial,Locality
2025-12-05,18:25:42,5,Vxxxx1939xxx,Hurghada
2025-11-02,06:58:43,5,Zxxxx1786xxx,Hurghada
2025-11-01,11:15:12,10,Rxxxx5543xxx,Marsa Alam
2025-11-01,11:15:12,10,Rxxxx2919xxx,Marsa Alam
2025-11-01,11:15:12,10,Wxxxx1407xxx,Marsa Alam
2025-11-01,11:15:12,10,Pxxxx6826xxx,Marsa Alam
2025-10-31,05:59:41,5,Vxxxx0797xxx,Port Ghalib
2025-10-31,05:59:41,5,Vxxxx8062xxx,Port Ghalib
2025-10-31,05:59:41,5,Yxxxx1350xxx,Port Ghalib
2025-10-31,05:59:41,5,Nxxxx2451xxx,Port Ghalib
2025-10-31,05:59:41,5,Yxxxx3584xxx,Port Ghalib
2025-10-31,05:59:41,5,Zxxxx7420xxx,Port Ghalib
2025-10-31,05:59:41,5,Mxxxx5864xxx,Port Ghalib
2025-10-31,05:59:41,5,Uxxxx8774xxx,Port Ghalib
2025-10-31,05:59:41,5,Yxxxx5349xxx,Port Ghalib
2025-10-31,05:59:41,5,Nxxxx1436xxx,Port Ghalib
2025-10-31,05:38:56,20,Uxxxx5415xxx,Port Ghalib
2025-10-31,05:35:36,5,Yxxxx6100xxx,Luxor
2025-10-31,05:35:36,5,Uxxxx1474xxx,Luxor
2025-10-30,11:58:25,20,Sxxxx4509xxx,Luxor
2025-10-30,11:58:25,10,Wxxxx9313xxx,Luxor
2025-10-29,20:08:44,10,Rxxxx9147xxx,Luxor
2025-10-29,14:00:40,50,Uxxxx4374xxx,Luxor
2025-10-29,00:46:31,10,Yxxxx4305xxx,Marsa Alam
2025-10-28,08:35:03,50,Mxxxx5152xxx,Caïro
2025-10-28,05:07:43,10,Xxxxx3510xxx,Marsa Alam International Airport
2025-10-28,05:07:43,5,Yxxxx1877xxx,Marsa Alam International Airport
2025-10-27,05:42:48,20,Nxxxx8586xxx,Marsa Alam International Airport
2025-10-27,05:42:48,10,Uxxxx1391xxx,Marsa Alam International Airport
2025-10-09,14:21:52,10,Uxxxx9614xxx,Hurghada
2025-09-23,11:29:53,20,Zxxxx3763xxx,Cairo
2025-09-14,16:19:13,10,Rxxxx3926xxx,Hurghada
2025-09-14,04:47:13,50,Uxxxx0816xxx,Hurghada
2025-09-11,23:53:35,50,Sxxxx4816xxx,Hurghada
2025-09-11,23:50:38,10,Vxxxx5728xxx,Makadi Bay
2025-09-11,23:50:38,10,Nxxxx0347xxx,Hurghada
2025-09-11,16:24:46,5,Yxxxx3654xxx,Hurghada
2025-08-08,21:08:37,500,Nxxxx0453xxx,Dahab
2025-07-14,16:02:13,50,Vxxxx8429xxx,Cairo
2025-07-14,16:02:13,50,Exxxx0354xxx,Cairo
2025-07-14,16:02:13,50,Sxxxx5066xxx,Cairo
2025-07-14,16:02:13,50,Uxxxx2512xxx,Cairo
2025-07-14,16:02:13,50,Rxxxx7890xxx,Cairo
2025-07-14,16:02:13,50,Sxxxx5067xxx,Cairo
2025-07-14,16:02:13,50,Uxxxx6731xxx,Cairo
2025-07-14,16:02:13,50,Uxxxx5632xxx,Cairo
2025-07-14,16:02:13,50,Uxxxx6909xxx,Cairo
2025-07-14,16:02:13,50,Sxxxx2694xxx,Cairo
2025-07-14,16:02:13,50,Rxxxx7691xxx,Cairo
2025-07-14,16:02:13,50,Exxxx0346xxx,Cairo
2025-07-14,16:02:13,20,Xxxxx1907xxx,Cairo
2025-07-14,16:02:13,10,Nxxxx6882xxx,Cairo
2025-07-14,16:02:13,20,Rxxxx0649xxx,Cairo
2025-07-14,16:02:13,10,Vxxxx7287xxx,Cairo
2025-07-14,16:02:13,10,Uxxxx8924xxx,Cairo
2025-06-25,18:04:00,10,Rxxxx5699xxx,Hurghada
2025-06-25,18:04:00,10,Vxxxx5979xxx,Hurghada
2025-06-25,18:04:00,10,Xxxxx3042xxx,Hurghada
2025-06-25,18:04:00,10,Exxxx0935xxx,Hurghada
2025-06-25,18:04:00,10,Wxxxx0971xxx,Hurghada
2025-06-25,12:00:46,5,Nxxxx0684xxx,Hurghada
2025-06-25,12:00:46,5,Vxxxx7823xxx,Hurghada
2025-06-25,11:59:45,10,Rxxxx4680xxx,Hurghada
2025-06-25,11:59:45,10,Nxxxx5483xxx,Hurghada
2025-06-25,11:59:45,10,Sxxxx9439xxx,Hurghada
2025-06-25,11:59:45,10,Nxxxx6046xxx,Hurghada
2025-06-25,11:59:45,10,Nxxxx0983xxx,Hurghada
2025-06-25,11:57:35,20,Uxxxx3618xxx,Hurghada
2025-06-25,11:56:44,50,Vxxxx2913xxx,Hurghada
2025-06-12,19:25:15,10,Rxxxx6504xxx,Cairo
2025-06-12,19:21:52,50,Rxxxx7514xxx,Cairo
2025-02-24,15:25:11,10,Rxxxx1200xxx,Hurghada
2025-02-23,11:36:00,20,Wxxxx7800xxx,Luxor
2025-02-23,11:36:00,20,Rxxxx9362xxx,Luxor
2025-02-23,11:36:00,20,Rxxxx0652xxx,Luxor
2025-02-23,11:36:00,10,Xxxxx0307xxx,Luxor
2025-02-23,11:36:00,10,Fxxxx0932xxx,Luxor
2025-02-23,11:36:00,10,Fxxxx7706xxx,Luxor
2025-02-23,11:36:00,5,Mxxxx4264xxx,Luxor
2025-02-23,11:36:00,5,Uxxxx2755xxx,Luxor
2025-02-23,11:36:00,5,Zxxxx0825xxx,Luxor
2025-01-29,19:55:06,5,Nxxxx3013xxx,Port Ghalib
2025-01-29,19:54:21,5,Mxxxx8710xxx,Port Ghalib
2025-01-29,19:54:21,5,Wxxxx3887xxx,Port Ghalib
2025-01-29,19:54:21,5,Uxxxx5776xxx,Port Ghalib
2025-01-29,19:54:21,5,Uxxxx6343xxx,Port Ghalib
2025-01-29,19:54:21,5,Mxxxx2492xxx,Port Ghalib
2025-01-26,08:52:55,10,Rxxxx5699xxx,Cairo
2025-01-26,08:52:55,10,Rxxxx9416xxx,Cairo
2025-01-26,08:52:55,10,Vxxxx5893xxx,Cairo
2025-01-26,08:52:55,10,Wxxxx9400xxx,Cairo
2025-01-26,08:52:55,10,Yxxxx7289xxx,Cairo
2025-01-26,08:52:55,10,Yxxxx2198xxx,Cairo
2025-01-23,19:26:16,5,Zxxxx0623xxx,Al-Qusair
2025-01-23,19:26:16,10,Nxxxx1493xxx,Al-Qusair
2025-01-23,19:26:16,20,Uxxxx5409xxx,Al-Qusair
2025-01-23,19:26:16,20,Fxxxx9024xxx,Al-Qusair
