Date,Time,Notetype,Maskedserial,Locality
2025-10-25,19:19:55,50,Sxxxx6607xxx,Nadi
2025-10-25,19:19:55,50,Rxxxx0646xxx,Nadi
2025-10-25,19:19:55,20,Rxxxx7882xxx,Nadi
2025-08-21,05:45:52,5,Txxxx7466xxx,Nadi
2025-08-21,05:45:52,10,Nxxxx0215xxx,Nadi
2025-08-21,05:45:52,20,Mxxxx6857xxx,Nadi
2025-08-21,05:45:52,20,Uxxxx7199xxx,Nadi
2025-08-21,05:45:52,20,Fxxxx2811xxx,Nadi
2025-08-21,05:45:52,20,Exxxx2331xxx,Nadi
2025-08-21,05:45:52,20,Mxxxx6208xxx,Nadi
2025-08-21,05:45:52,100,Exxxx6052xxx,Nadi
2025-08-21,05:45:52,200,Exxxx9332xxx,Nadi
