Date,Time,Notetype,Maskedserial,Locality
2025-12-27,22:29:03,5,Vxxxx4631xxx,Tampere
2025-12-27,22:27:27,10,Vxxxx2805xxx,Tampere
2025-12-27,22:25:38,5,Vxxxx2086xxx,Vantaa
2025-12-27,22:21:39,50,Vxxxx0676xxx,Halikko
2025-12-27,22:21:04,50,Vxxxx5945xxx,Halikko
2025-12-27,22:20:35,50,Vxxxx6334xxx,Halikko
2025-12-27,22:19:56,50,Vxxxx6334xxx,Halikko
2025-12-27,22:19:18,50,Vxxxx9664xxx,Halikko
2025-12-27,22:13:54,50,Vxxxx6334xxx,Halikko
2025-12-27,22:13:26,50,Vxxxx6334xxx,Halikko
2025-12-27,22:13:00,50,Vxxxx6334xxx,Halikko
2025-12-27,22:12:34,50,Vxxxx6334xxx,Halikko
2025-12-27,22:10:27,50,Vxxxx0664xxx,Halikko
2025-12-27,22:10:20,5,Uxxxx2455xxx,Helsinki
2025-12-27,22:10:11,5,Uxxxx8228xxx,Helsinki
2025-12-27,22:10:03,5,Nxxxx1941xxx,Helsinki
2025-12-27,22:09:53,5,Uxxxx0830xxx,Helsinki
2025-12-27,22:09:46,5,Txxxx8197xxx,Helsinki
2025-12-27,22:09:37,5,Vxxxx7043xxx,Helsinki
2025-12-27,22:09:32,5,Zxxxx3741xxx,Helsinki
2025-12-27,22:09:27,5,Vxxxx8024xxx,Helsinki
2025-12-27,22:09:20,5,Uxxxx2462xxx,Helsinki
2025-12-27,22:09:14,5,Uxxxx0352xxx,Helsinki
2025-12-27,22:09:06,5,Vxxxx3559xxx,Helsinki
2025-12-27,22:09:00,5,Vxxxx1579xxx,Helsinki
2025-12-27,22:08:56,5,Uxxxx2424xxx,Helsinki
2025-12-27,22:08:51,5,Nxxxx2176xxx,Helsinki
2025-12-27,22:08:47,5,Uxxxx9436xxx,Helsinki
2025-12-27,22:08:42,5,Txxxx8123xxx,Helsinki
2025-12-27,22:08:37,5,Yxxxx5397xxx,Helsinki
2025-12-27,22:08:27,5,Sxxxx1439xxx,Helsinki
2025-12-27,22:08:21,5,Uxxxx9535xxx,Helsinki
2025-12-27,22:08:17,5,Mxxxx2241xxx,Helsinki
2025-12-27,22:08:12,5,Mxxxx8052xxx,Helsinki
2025-12-27,22:08:03,5,Uxxxx1983xxx,Helsinki
2025-12-27,22:07:59,5,Yxxxx8129xxx,Helsinki
2025-12-27,22:07:54,5,Uxxxx1483xxx,Helsinki
2025-12-27,22:07:50,5,Nxxxx6465xxx,Helsinki
2025-12-27,22:07:45,5,Mxxxx3097xxx,Helsinki
2025-12-27,22:07:37,5,Mxxxx4879xxx,Helsinki
2025-12-27,22:07:33,5,Vxxxx8954xxx,Helsinki
2025-12-27,22:07:29,5,Uxxxx0310xxx,Helsinki
2025-12-27,22:07:25,5,Uxxxx0277xxx,Helsinki
2025-12-27,22:07:21,5,Uxxxx2480xxx,Helsinki
2025-12-27,22:07:16,5,Mxxxx3246xxx,Helsinki
2025-12-27,22:07:12,5,Mxxxx6804xxx,Helsinki
2025-12-27,22:07:07,5,Vxxxx6552xxx,Helsinki
2025-12-27,22:07:03,5,Vxxxx8798xxx,Helsinki
2025-12-27,22:06:59,5,Zxxxx8207xxx,Helsinki
2025-12-27,22:06:54,5,Uxxxx0533xxx,Helsinki
2025-12-27,22:06:46,5,Vxxxx0586xxx,Helsinki
