Date,Time,Notetype,Maskedserial,Locality
2025-06-13,09:35:56,10,Vxxxx2124xxx,Agona Swedru
2025-06-13,09:35:56,10,Rxxxx5528xxx,Agona Swedru
2025-06-13,09:34:26,5,Zxxxx4098xxx,Agona Swedru
2025-06-13,09:34:26,5,Vxxxx8116xxx,Agona Swedru
2025-06-13,09:34:26,5,Vxxxx5168xxx,Agona Swedru
2025-06-13,09:34:26,5,Uxxxx1011xxx,Agona Swedru
2025-06-13,09:34:26,5,Mxxxx6019xxx,Agona Swedru
2025-06-13,09:34:26,5,Mxxxx1159xxx,Agona Swedru
2025-06-13,09:34:26,5,Nxxxx6917xxx,Agona Swedru
2025-06-13,09:30:08,10,Wxxxx5955xxx,Agona Swedru
2025-06-13,09:30:08,10,Exxxx1740xxx,Agona Swedru
2025-06-13,09:30:08,10,Wxxxx2996xxx,Agona Swedru
2025-06-13,09:28:01,50,Sxxxx0827xxx,Agona Swedru
2025-06-13,09:27:11,20,Wxxxx3621xxx,Agona Swedru
2025-06-13,09:24:59,20,Rxxxx2166xxx,Agona Swedru
2025-06-13,09:24:59,20,Exxxx7307xxx,Agona Swedru
2025-06-13,09:24:59,20,Rxxxx8661xxx,Agona Swedru
2025-06-13,09:24:59,20,Uxxxx8347xxx,Agona Swedru
2025-06-13,09:24:59,20,Rxxxx1264xxx,Agona Swedru
2025-06-13,09:24:59,20,Uxxxx7168xxx,Agona Swedru
2025-06-13,09:24:59,20,Rxxxx1677xxx,Agona Swedru
