Date,Time,Notetype,Maskedserial,Locality
2025-06-10,21:40:57,100,Rxxxx9197xxx,Kingston
2025-06-10,21:40:57,100,Rxxxx0293xxx,Kingston
2025-06-10,21:40:57,100,Wxxxx7927xxx,Kingston
2025-06-10,21:40:57,100,Rxxxx9900xxx,Kingston
2025-06-10,21:40:57,100,Rxxxx1447xxx,Kingston
2025-06-10,21:40:57,100,Rxxxx9553xxx,Kingston
2025-06-10,21:40:57,100,Rxxxx4504xxx,Kingston
2025-06-10,21:40:57,100,Wxxxx1308xxx,Kingston
2025-06-10,21:40:57,100,Rxxxx9197xxx,Kingston
2025-06-10,21:37:50,100,Rxxxx4104xxx,Kingston
2025-06-10,21:37:50,100,Rxxxx9197xxx,Kingston
2025-06-10,21:37:50,100,Exxxx0272xxx,Kingston
2025-06-10,21:37:50,100,Rxxxx0637xxx,Kingston
2025-06-10,21:37:50,100,Wxxxx7927xxx,Kingston
2025-06-10,21:37:50,100,Rxxxx1928xxx,Kingston
2025-06-10,21:37:50,100,Rxxxx7804xxx,Kingston
2025-06-10,21:37:50,100,Rxxxx4740xxx,Kingston
2025-06-10,21:37:50,100,Rxxxx9136xxx,Kingston
2025-06-10,21:37:50,100,Rxxxx9136xxx,Kingston
2025-06-10,21:37:50,100,Rxxxx8996xxx,Kingston
2025-06-10,21:37:50,100,Rxxxx8996xxx,Kingston
2025-06-10,21:37:50,100,Rxxxx9197xxx,Kingston
2025-06-10,21:37:50,100,Rxxxx9197xxx,Kingston
2025-06-10,21:37:50,100,Rxxxx8822xxx,Kingston
2025-06-10,21:37:50,100,Wxxxx8223xxx,Kingston
2025-06-10,21:37:50,100,Rxxxx6868xxx,Kingston
2025-06-10,21:37:50,100,Rxxxx8890xxx,Kingston
2025-06-10,21:37:50,100,Rxxxx4934xxx,Kingston
2025-06-10,21:37:50,100,Rxxxx2557xxx,Kingston
2025-06-10,21:37:50,100,Wxxxx1285xxx,Kingston
2025-06-10,21:37:50,100,Wxxxx1285xxx,Kingston
2025-06-10,21:37:50,100,Rxxxx0049xxx,Kingston
2025-06-10,21:37:50,100,Exxxx9661xxx,Kingston
2025-06-10,21:37:50,100,Rxxxx9197xxx,Kingston
2025-06-10,21:29:07,100,Exxxx2181xxx,Kingston
2025-06-10,21:28:32,100,Wxxxx0099xxx,Kingston
2025-06-10,21:28:06,50,Uxxxx5199xxx,Kingston
2025-06-10,21:27:40,50,Uxxxx5675xxx,Kingston
2025-06-10,21:27:10,50,Xxxxx3923xxx,Kingston
2025-06-10,21:26:44,50,Uxxxx3517xxx,Kingston
2025-06-10,21:25:08,500,Nxxxx4519xxx,Kingston
2025-06-10,21:24:42,500,Nxxxx9228xxx,Kingston
2025-06-10,21:24:16,500,Nxxxx4519xxx,Kingston
2025-06-10,21:23:43,500,Nxxxx4519xxx,Kingston
2025-06-10,21:23:22,500,Nxxxx4519xxx,Kingston
2025-06-10,21:22:42,500,Nxxxx4519xxx,Kingston
