Date,Time,Notetype,Maskedserial,Locality
2025-12-21,06:32:57,10,Nxxxx5814xxx,Narita international airport
2025-10-04,13:34:47,20,Vxxxx4104xxx,Yakushima
2025-10-04,13:34:47,20,Uxxxx1617xxx,Yakushima
2025-10-04,13:32:30,10,Wxxxx4519xxx,Yakushima
2025-10-04,13:32:30,10,Wxxxx9305xxx,Yakushima
2025-07-13,18:37:21,5,Mxxxx9582xxx,Kyoto
2025-06-12,11:34:38,100,Exxxx8203xxx,Osaka
2025-06-09,15:10:52,100,Rxxxx8024xxx,Narita
2025-06-09,15:10:52,100,Exxxx0813xxx,Narita
2025-06-09,15:10:52,100,Sxxxx2104xxx,Narita
2025-06-09,15:10:52,100,Sxxxx8972xxx,Narita
2025-06-09,15:10:52,20,Sxxxx4787xxx,Narita
2025-06-09,15:10:52,5,Vxxxx0108xxx,Narita
2025-05-26,01:23:57,5,Nxxxx8818xxx,Narita International Airport
2025-05-26,01:23:57,10,Nxxxx7125xxx,Narita International Airport
2025-05-26,01:23:57,20,Rxxxx9737xxx,Narita International Airport
2025-05-26,01:23:57,50,Vxxxx5244xxx,Narita International Airport
2025-05-26,01:23:57,50,Vxxxx5244xxx,Narita International Airport
2025-05-23,10:49:10,20,Uxxxx9063xxx,Kyoto
2025-05-23,10:48:56,10,Mxxxx5143xxx,Kyoto
2025-05-07,03:57:26,20,Uxxxx1053xxx,Izumisano
2025-05-07,03:57:26,20,Uxxxx2575xxx,Izumisano
2025-05-07,03:57:26,10,Wxxxx4024xxx,Izumisano
2025-05-07,03:57:26,10,Wxxxx7600xxx,Izumisano
2025-05-07,03:57:26,5,Yxxxx9253xxx,Izumisano
2025-05-07,03:57:26,5,Yxxxx9253xxx,Izumisano
2025-05-07,03:57:26,5,Yxxxx9253xxx,Izumisano
2025-05-07,03:57:26,5,Yxxxx9253xxx,Izumisano
2025-05-07,03:57:26,5,Yxxxx9253xxx,Izumisano
2025-05-07,03:57:26,5,Yxxxx9253xxx,Izumisano
2025-05-07,03:57:26,5,Yxxxx9253xxx,Izumisano
2025-05-07,03:57:26,5,Yxxxx9253xxx,Izumisano
2025-05-07,03:57:26,5,Yxxxx9253xxx,Izumisano
2025-05-07,03:57:26,5,Yxxxx9253xxx,Izumisano
2025-05-06,02:50:38,50,Rxxxx8705xxx,Osaka
2025-05-06,02:50:38,50,Exxxx3440xxx,Osaka
2025-05-03,14:26:22,50,Sxxxx8849xxx,Hiroshima
2025-05-03,14:26:22,50,Pxxxx3848xxx,Hiroshima
2025-05-02,03:38:08,20,Rxxxx3387xxx,Narita
2025-05-02,03:38:08,20,Uxxxx0510xxx,Narita
2025-05-02,03:38:08,20,Rxxxx0573xxx,Narita
2025-05-02,03:38:08,10,Wxxxx3604xxx,Narita
2025-05-02,03:38:08,5,Exxxx9010xxx,Narita
2025-05-02,03:38:08,5,Yxxxx7210xxx,Narita
2025-05-02,03:38:08,5,Zxxxx5686xxx,Narita
2025-05-01,12:00:15,50,Wxxxx9065xxx,Kyoto
2025-05-01,12:00:15,50,Uxxxx9315xxx,Kyoto
2025-04-30,15:06:35,50,Vxxxx1795xxx,Tokio
2025-04-30,15:06:35,50,Pxxxx7929xxx,Tokio
2025-04-30,00:53:38,10,Nxxxx6159xxx,Fujikawaguchiko
2025-04-30,00:53:38,5,Wxxxx0133xxx,Fujikawaguchiko
2025-04-30,00:50:32,10,Wxxxx2996xxx,Tokio
2025-04-29,11:22:41,20,Sxxxx4451xxx,Shiraoi
2025-04-29,11:22:41,20,Fxxxx3889xxx,Shiraoi
2025-04-28,13:45:16,5,Nxxxx8589xxx,Tomakomai
2025-04-27,14:22:01,10,Yxxxx6404xxx,Kushiro
2025-04-27,14:21:31,5,Txxxx2513xxx,Kushiro
2025-04-27,00:12:28,5,Uxxxx6376xxx,Tokio
2025-04-27,00:06:38,5,Vxxxx7610xxx,Narita
2025-04-26,14:02:11,10,Yxxxx5763xxx,Abashiri
2025-04-26,13:59:44,5,Mxxxx5961xxx,Abashiri
2025-04-25,14:46:51,20,Sxxxx0153xxx,Sapporo
2025-04-24,15:37:13,20,Sxxxx5582xxx,Hakodate
2025-04-24,15:37:13,10,Yxxxx4036xxx,Hakodate
2025-04-23,03:09:51,5,Nxxxx3212xxx,Hakone
2025-04-21,15:41:20,100,Exxxx0629xxx,Tokio
2025-04-21,15:41:20,100,Exxxx8546xxx,Tokio
2025-04-21,15:41:20,100,Exxxx4356xxx,Tokio
2025-04-19,10:23:50,20,Sxxxx2706xxx,Narita International Airport
2025-04-19,10:23:50,10,Rxxxx7431xxx,Narita International Airport
2025-04-19,10:23:50,5,Mxxxx8368xxx,Narita International Airport
2025-04-18,16:08:10,5,Vxxxx5127xxx,Tokio
2025-03-29,11:49:57,20,Nxxxx8707xxx,Tokyo
2025-02-09,11:40:47,5,Mxxxx4765xxx,Tokyo
