Date,Time,Notetype,Maskedserial,Locality
2025-04-30,20:52:48,20,Mxxxx0508xxx,Al Qastal
2025-04-30,20:52:48,10,Exxxx4759xxx,Al Qastal
2025-04-30,20:52:48,10,Vxxxx3206xxx,Al Qastal
2025-04-30,20:52:48,10,Fxxxx9474xxx,Al Qastal
2025-04-30,20:51:04,20,Rxxxx2454xxx,Sweimah
2025-04-30,20:51:04,10,Wxxxx5056xxx,Sweimah
2025-04-30,20:49:55,10,Fxxxx7603xxx,Aqaba
2025-04-30,20:48:14,10,Wxxxx5056xxx,Wadi Rum
2025-04-30,20:39:27,20,Exxxx0056xxx,Wadi Mousa
2025-04-30,20:37:36,10,Wxxxx3256xxx,Madaba
2025-04-30,20:35:20,5,Vxxxx8004xxx,Amman
2025-04-30,20:35:20,5,Vxxxx1619xxx,Amman
2025-04-30,20:35:20,5,Mxxxx3088xxx,Amman
2025-04-30,20:32:52,5,Zxxxx8802xxx,Azraq
2025-04-30,20:19:42,10,Vxxxx2934xxx,Amman
2025-04-30,20:19:42,10,Wxxxx6006xxx,Amman
2025-04-30,20:17:38,5,Uxxxx7854xxx,Umm Qays
2025-04-30,20:13:44,5,Mxxxx3258xxx,Garas
2025-04-30,20:11:17,20,Uxxxx5451xxx,Al Qastal
2025-04-30,20:11:17,10,Vxxxx6924xxx,Al Qastal
