Date,Time,Notetype,Maskedserial,Locality
2025-12-26,23:31:38,50,Uxxxx0717xxx,Pristina
2025-12-26,23:31:18,50,Exxxx4668xxx,Pristina
2025-12-26,23:30:42,50,Sxxxx0711xxx,Pristina
2025-12-26,23:29:53,50,Uxxxx1617xxx,Pristina
2025-12-26,23:29:25,50,Sxxxx7044xxx,Pristina
2025-12-26,23:29:02,50,Uxxxx8641xxx,Pristina
2025-12-26,23:28:40,50,Uxxxx7832xxx,Pristina
2025-12-26,23:28:15,50,Sxxxx9235xxx,Pristina
2025-12-26,23:27:34,50,Yxxxx1053xxx,Pristina
2025-12-26,23:27:13,50,Rxxxx2243xxx,Pristina
2025-12-26,23:26:36,50,Uxxxx7116xxx,Pristina
2025-12-26,23:26:08,50,Wxxxx2106xxx,Pristina
2025-12-26,23:25:45,50,Rxxxx0889xxx,Pristina
2025-12-26,23:25:04,50,Sxxxx9741xxx,Pristina
2025-12-26,23:24:13,50,Exxxx1840xxx,Pristina
2025-12-26,23:23:37,50,Rxxxx5654xxx,Pristina
2025-12-26,23:23:12,50,Uxxxx9866xxx,Pristina
2025-12-26,23:22:06,50,Rxxxx8308xxx,Pristina
2025-12-26,23:21:39,50,Uxxxx5608xxx,Pristina
2025-12-26,23:21:03,50,Vxxxx2944xxx,Pristina
2025-12-26,23:20:25,5,Nxxxx1816xxx,Pristina
2025-12-26,23:19:43,5,Nxxxx0958xxx,Pristina
2025-12-26,00:53:19,50,Sxxxx8986xxx,Pristina
2025-12-26,00:52:44,50,Vxxxx9324xxx,Pristina
2025-12-26,00:51:40,50,Uxxxx6370xxx,Pristina
2025-12-26,00:49:41,10,Fxxxx5633xxx,Pristina
2025-12-26,00:48:29,50,Yxxxx7966xxx,Pristina
2025-11-01,11:50:52,5,Nxxxx2951xxx,Prishtina
2025-11-01,11:50:52,10,Wxxxx8260xxx,Prishtina
2025-11-01,11:50:52,10,Nxxxx4377xxx,Prishtina
2025-11-01,11:50:52,20,Rxxxx4079xxx,Prishtina
2025-11-01,11:50:52,20,Uxxxx9033xxx,Prishtina
2025-11-01,11:47:40,5,Nxxxx9828xxx,Lipjan
2025-11-01,11:47:40,10,Rxxxx8108xxx,Lipjan
2025-11-01,11:47:40,10,Nxxxx3348xxx,Lipjan
2025-11-01,11:47:40,20,Wxxxx9974xxx,Lipjan
2025-11-01,11:47:40,50,Sxxxx7335xxx,Lipjan
2025-11-01,11:44:00,10,Wxxxx3340xxx,Gračanica
2025-11-01,11:44:00,20,Rxxxx5977xxx,Gračanica
2025-09-29,20:42:04,5,Vxxxx2738xxx,Prizren
2025-09-29,20:42:04,5,Zxxxx6968xxx,Prizren
2025-09-29,20:42:04,10,Yxxxx7125xxx,Prizren
2025-09-28,21:04:43,5,Vxxxx8564xxx,Pejë
2025-09-28,21:04:43,5,Nxxxx3555xxx,Pejë
2025-09-28,21:04:43,5,Nxxxx9368xxx,Pejë
2025-09-28,21:04:43,20,Wxxxx5045xxx,Pejë
2025-09-28,21:04:43,20,Exxxx3865xxx,Pejë
2025-09-28,18:39:15,5,Vxxxx8795xxx,Pejë
2025-09-28,18:37:54,10,Vxxxx6208xxx,Pejë
2025-09-28,13:09:18,10,Yxxxx2583xxx,Pristina
2025-09-28,13:09:18,20,Sxxxx7914xxx,Pristina
2025-09-28,13:09:18,20,Sxxxx3696xxx,Pristina
2025-09-28,13:09:18,20,Mxxxx1460xxx,Pristina
2025-09-28,13:09:18,20,Rxxxx5116xxx,Pristina
2025-09-28,13:09:18,20,Rxxxx6457xxx,Pristina
2025-09-28,13:09:18,50,Rxxxx5367xxx,Pristina
2025-09-28,13:05:45,20,Exxxx0221xxx,Prishtinë
2025-09-28,13:05:45,5,Mxxxx4105xxx,Prishtinë
2025-09-28,13:05:45,5,Vxxxx0703xxx,Prishtinë
2025-09-28,13:04:12,50,Sxxxx9330xxx,Pristina
2025-09-27,23:16:28,20,Uxxxx5277xxx,Prishtinë
2025-09-27,23:16:28,10,Yxxxx4972xxx,Prishtinë
2025-09-27,18:13:17,10,Nxxxx9513xxx,Prishtinë
2025-09-27,18:13:17,10,Wxxxx8255xxx,Prishtinë
2025-09-27,18:13:17,10,Rxxxx0290xxx,Prishtinë
2025-09-16,11:55:47,5,Mxxxx2239xxx,Prizren
2025-09-15,19:42:53,5,Nxxxx2838xxx,Prizren
2025-09-14,23:41:46,10,Mxxxx6257xxx,Pristina
2025-09-14,23:41:46,5,Nxxxx2241xxx,Pristina
2025-09-14,23:37:55,5,Exxxx2287xxx,Pristina
2025-09-14,23:36:23,5,Zxxxx8195xxx,Pristina
2025-09-14,17:08:20,5,Nxxxx9369xxx,Pristina
2025-09-14,17:08:20,10,Fxxxx5324xxx,Pristina
2025-09-14,17:08:20,10,Wxxxx7207xxx,Pristina
2025-09-14,17:08:20,20,Rxxxx9078xxx,Pristina
2025-09-13,22:56:09,10,Rxxxx0774xxx,Pristina
2025-09-13,22:56:09,5,Mxxxx1109xxx,Pristina
2025-09-13,22:55:04,20,Rxxxx9436xxx,Pristina
2025-09-13,22:55:04,20,Rxxxx0901xxx,Pristina
2025-09-13,16:24:18,10,Nxxxx6024xxx,Pristina
2025-09-13,16:24:18,5,Mxxxx8044xxx,Pristina
2025-09-13,00:07:46,5,Vxxxx5826xxx,Prishtinë
2025-09-13,00:06:28,10,Nxxxx5786xxx,Vlashnjë
2025-09-12,18:16:23,20,Rxxxx7302xxx,Prishtinë
2025-09-12,18:11:34,20,Uxxxx9739xxx,Prishtinë
2025-09-12,18:09:27,5,Mxxxx7962xxx,Prishtinë
2025-09-12,18:08:40,5,Nxxxx6308xxx,Prishtinë
2025-09-12,18:07:35,5,Mxxxx6659xxx,Prishtinë
2025-09-12,17:34:26,10,Rxxxx5088xxx,Prishtinë
2025-09-12,17:06:02,10,Rxxxx9973xxx,Prishtinë
2025-08-29,23:25:27,5,Vxxxx0834xxx,Muçivërc
2025-08-29,23:06:38,5,Nxxxx9325xxx,Muçivërc
2025-08-29,23:06:03,5,Mxxxx7603xxx,Muçivërc
2025-08-29,23:05:02,5,Nxxxx5439xxx,Muçivërc
2025-08-29,23:03:43,5,Yxxxx7367xxx,Muçivërc
2025-08-29,23:01:48,5,Vxxxx0834xxx,Muçivërc
2025-08-23,22:51:48,5,Mxxxx5760xxx,
2025-08-22,16:58:51,20,Rxxxx8279xxx,
2025-08-22,16:58:51,20,Uxxxx3649xxx,
2025-08-21,22:11:42,5,Mxxxx3399xxx,
2025-08-21,16:19:50,5,Mxxxx5616xxx,
2025-08-21,16:15:33,5,Nxxxx1612xxx,
2025-08-16,19:11:17,10,Yxxxx1280xxx,Pristina
2025-08-16,19:10:31,10,Rxxxx3296xxx,Pristina
2025-08-14,15:31:43,5,Vxxxx2886xxx,Prishtina
2025-08-14,15:30:48,5,Vxxxx2886xxx,Prishtina
2025-08-02,01:20:54,20,Uxxxx5908xxx,Rahovec
2025-08-02,01:19:47,10,Nxxxx5115xxx,Rahovec
2025-08-02,01:17:45,10,Rxxxx8639xxx,Rahovec
2025-08-02,01:16:50,5,Mxxxx7076xxx,Rahovec
2025-07-08,21:51:19,5,Vxxxx4813xxx,Pristina
2025-07-08,21:50:03,5,Nxxxx2070xxx,Pristina
2025-03-08,15:44:51,50,Wxxxx5300xxx,Pristina
2025-03-02,07:39:48,10,Nxxxx5378xxx,Pristina
2025-03-02,07:27:02,5,Zxxxx1276xxx,Pristina
2025-03-01,08:45:02,20,Rxxxx8079xxx,Pristina
