Date,Time,Notetype,Maskedserial,Locality
2025-12-25,19:19:24,10,Nxxxx1506xxx,Ghaxaq
2025-12-25,19:19:24,10,Wxxxx0840xxx,Ghaxaq
2025-12-25,19:19:24,20,Mxxxx6600xxx,Ghaxaq
2025-12-25,19:19:24,20,Uxxxx5007xxx,Ghaxaq
2025-12-25,19:19:24,20,Nxxxx2870xxx,Ghaxaq
2025-12-25,19:19:24,20,Wxxxx6235xxx,Ghaxaq
2025-12-25,19:15:10,10,Wxxxx3089xxx,Ghaxaq
2025-12-24,19:50:38,50,Wxxxx9733xxx,Birzebbuga
2025-12-24,19:50:38,50,Sxxxx4998xxx,Birzebbuga
2025-12-24,19:49:39,20,Sxxxx0751xxx,Birzebbuga
2025-12-24,19:49:39,20,Uxxxx0136xxx,Birzebbuga
2025-12-24,19:49:39,10,Wxxxx8779xxx,Birzebbuga
2025-12-24,19:40:09,50,Uxxxx7627xxx,Birzebbuga
2025-12-24,19:40:09,50,Sxxxx2959xxx,Birzebbuga
2025-12-24,13:08:14,10,Nxxxx7019xxx,Ghaxaq
2025-12-23,18:41:40,5,Yxxxx5255xxx,Ta Xbiex
2025-12-23,18:41:40,5,Mxxxx7998xxx,Ta Xbiex
2025-12-23,18:40:39,10,Wxxxx2503xxx,Ta Xbiex
2025-12-23,18:40:39,20,Sxxxx0670xxx,Ta Xbiex
2025-12-23,18:40:39,20,Sxxxx9858xxx,Ta Xbiex
2025-12-23,18:39:00,20,Rxxxx6805xxx,Ta Xbiex
2025-12-23,18:39:00,20,Wxxxx4364xxx,Ta Xbiex
2025-12-23,18:39:00,10,Fxxxx9471xxx,Ta Xbiex
2025-12-23,18:37:23,5,Sxxxx9903xxx,Ta Xbiex
2025-12-23,18:37:23,10,Vxxxx0401xxx,Ta Xbiex
2025-12-23,18:20:33,10,Sxxxx8812xxx,Birzebbuga
2025-12-22,10:43:08,10,Nxxxx3615xxx,Ghaxaq
2025-12-21,16:44:39,20,Sxxxx3802xxx,Qormi
2025-12-21,16:44:39,20,Rxxxx1720xxx,Qormi
2025-12-21,16:44:39,50,Sxxxx8799xxx,Qormi
2025-12-21,16:44:39,10,Nxxxx3812xxx,Qormi
2025-12-21,16:44:39,5,Zxxxx5136xxx,Qormi
2025-12-21,16:44:39,50,Sxxxx1368xxx,Qormi
2025-12-21,00:41:33,50,Vxxxx3497xxx,Bugibba
2025-12-21,00:41:25,20,Uxxxx3889xxx,Bugibba
2025-12-21,00:41:18,20,Nxxxx5889xxx,Bugibba
2025-12-21,00:41:06,20,Sxxxx0440xxx,Bugibba
2025-12-21,00:40:33,20,Rxxxx2072xxx,Bugibba
2025-12-21,00:40:23,10,Yxxxx6669xxx,Bugibba
2025-12-21,00:40:12,5,Mxxxx7756xxx,Bugibba
2025-12-21,00:40:00,5,Yxxxx2626xxx,Bugibba
2025-12-19,15:55:34,50,Uxxxx7203xxx,Qormi
2025-12-19,15:55:34,20,Exxxx7544xxx,Qormi
2025-12-19,15:55:34,10,Fxxxx8649xxx,Qormi
2025-12-19,10:53:04,10,Rxxxx0347xxx,Birzebbuga
2025-12-19,08:11:17,50,Vxxxx0845xxx,
2025-12-19,08:11:17,50,Vxxxx4605xxx,
2025-12-19,08:11:17,50,Sxxxx2194xxx,
2025-12-19,08:11:17,50,Vxxxx6368xxx,
2025-12-19,08:11:17,50,Vxxxx8028xxx,
2025-12-19,08:11:17,50,Uxxxx5368xxx,
2025-12-19,08:11:17,50,Vxxxx0783xxx,
2025-12-19,08:11:17,50,Sxxxx8462xxx,
2025-12-19,08:11:17,50,Vxxxx2471xxx,
2025-12-19,08:11:17,50,Sxxxx3958xxx,
2025-12-19,08:11:17,50,Sxxxx4395xxx,
2025-12-19,08:11:17,20,Mxxxx8216xxx,
2025-12-19,08:11:17,20,Sxxxx9208xxx,
2025-12-19,08:07:10,20,Nxxxx7740xxx,
2025-12-19,08:07:10,20,Exxxx5222xxx,
2025-12-19,08:07:10,20,Sxxxx3389xxx,
2025-12-19,08:07:10,20,Exxxx9149xxx,
2025-12-19,08:07:10,20,Exxxx9204xxx,
2025-12-19,08:07:10,20,Uxxxx2708xxx,
2025-12-19,08:07:10,20,Rxxxx1845xxx,
2025-12-19,08:07:10,20,Sxxxx9865xxx,
2025-12-19,08:07:10,20,Uxxxx3335xxx,
2025-12-19,08:07:10,20,Sxxxx9219xxx,
2025-12-19,08:07:10,20,Wxxxx2198xxx,
2025-12-19,08:07:10,20,Uxxxx8493xxx,
2025-12-19,08:07:10,20,Rxxxx9744xxx,
2025-12-19,08:07:10,20,Exxxx1055xxx,
2025-12-19,08:07:10,20,Rxxxx3076xxx,
2025-12-19,08:07:10,10,Mxxxx0363xxx,
2025-12-19,08:07:10,10,Vxxxx5771xxx,
2025-12-19,08:07:10,10,Fxxxx3637xxx,
2025-12-19,08:07:10,10,Exxxx7537xxx,
2025-12-19,08:07:10,10,Vxxxx0665xxx,
