Date,Time,Notetype,Maskedserial,Locality
2025-12-05,18:18:09,10,Nxxxx1404xxx,Chisinau
2025-12-05,18:18:09,10,Wxxxx4971xxx,Chisinau
2025-12-05,18:18:09,5,Nxxxx2840xxx,Chisinau
2025-11-08,13:35:17,5,Mxxxx0185xxx,Chisinau
2025-06-26,11:45:01,5,Pxxxx2130xxx,Tiraspol
2025-06-26,11:44:31,5,Pxxxx2130xxx,Tiraspol
2025-06-26,11:43:04,5,Pxxxx2130xxx,Tiraspol
2025-06-26,11:42:02,5,Pxxxx2130xxx,Tiraspol
2025-06-26,11:41:01,5,Pxxxx2130xxx,Tiraspol
2025-06-26,11:40:00,5,Pxxxx2130xxx,Tiraspol
2025-05-31,14:21:18,50,Uxxxx4234xxx,Chishinau
2025-05-31,14:21:18,50,Pxxxx0784xxx,Chishinau
2025-05-18,14:45:54,5,Mxxxx8973xxx,Chishinau
2025-05-18,14:45:54,5,Mxxxx2892xxx,Chishinau
2025-05-18,14:45:54,10,Wxxxx1129xxx,Chishinau
2025-05-18,14:45:54,10,Rxxxx7798xxx,Chishinau
2025-05-18,14:45:54,10,Vxxxx1483xxx,Chishinau
2025-05-18,14:45:54,20,Uxxxx8041xxx,Chishinau
2025-05-15,22:54:59,20,Rxxxx0452xxx,Chisinau
2025-04-18,18:47:33,100,Vxxxx4657xxx,Chishinau
2025-04-18,18:47:33,100,Exxxx3002xxx,Chishinau
2025-04-18,18:47:33,100,Uxxxx0875xxx,Chishinau
2025-04-18,18:47:33,100,Rxxxx5003xxx,Chishinau
2025-04-18,18:47:33,100,Uxxxx5810xxx,Chishinau
2025-04-18,18:47:33,100,Exxxx4544xxx,Chishinau
2025-04-18,18:47:33,100,Exxxx5560xxx,Chishinau
2025-04-18,18:47:33,100,Uxxxx1912xxx,Chishinau
2025-04-18,18:47:33,100,Rxxxx6668xxx,Chishinau
2025-04-18,18:47:33,100,Uxxxx1979xxx,Chishinau
2025-04-18,18:47:33,50,Xxxxx3138xxx,Chishinau
2025-04-18,18:47:33,50,Xxxxx5920xxx,Chishinau
2025-04-18,18:47:33,50,Sxxxx4874xxx,Chishinau
2025-04-18,18:47:33,50,Sxxxx6671xxx,Chishinau
2025-04-18,18:47:33,50,Sxxxx6671xxx,Chishinau
2025-04-18,18:47:33,50,Sxxxx9304xxx,Chishinau
2025-04-18,18:47:33,50,Sxxxx0163xxx,Chishinau
2025-04-18,18:47:33,50,Sxxxx9340xxx,Chishinau
2025-01-25,08:55:50,100,Vxxxx6852xxx,Chisinau
2025-01-25,08:55:50,50,Uxxxx8721xxx,Chisinau
2025-01-25,08:55:50,20,Rxxxx0233xxx,Chisinau
