Date,Time,Notetype,Maskedserial,Locality
2025-07-29,21:41:40,50,Exxxx3646xxx,Sargodha
2025-07-29,21:41:40,50,Uxxxx6009xxx,Sargodha
2025-07-29,21:41:40,50,Vxxxx2538xxx,Sargodha
2025-07-29,21:28:41,50,Sxxxx2291xxx,Sargodha
2025-07-29,21:27:49,50,Wxxxx3909xxx,Sargodha
2025-07-29,21:26:36,50,Vxxxx4559xxx,Sargodha
2025-07-29,21:24:40,50,Sxxxx6338xxx,Sargodha
2025-07-29,12:46:04,50,Exxxx6193xxx,Sargodha
2025-05-31,20:50:45,5,Mxxxx3275xxx,Karachi Airport
2025-05-28,09:34:47,20,Nxxxx7232xxx,Murree
