Date,Time,Notetype,Maskedserial,Locality
2025-08-14,18:48:34,10,Yxxxx2350xxx,Manila
2025-08-14,18:43:33,500,Nxxxx9467xxx,Manila
2025-08-02,08:59:06,20,Rxxxx4638xxx,Pasay City
2025-08-02,08:59:06,50,Mxxxx8969xxx,Pasay City
2025-08-02,08:59:06,50,Uxxxx0639xxx,Pasay City
2025-08-02,08:59:06,50,Uxxxx1925xxx,Pasay City
2025-08-02,08:59:06,100,Rxxxx5285xxx,Pasay City
2025-08-02,08:59:06,100,Uxxxx7112xxx,Pasay City
2025-06-06,17:59:30,10,Nxxxx6822xxx,Angeles City
2025-06-06,17:59:30,10,Uxxxx2696xxx,Angeles City
2025-06-06,17:59:30,5,Vxxxx6452xxx,Angeles City
2025-06-06,17:59:30,5,Nxxxx0053xxx,Angeles City
2025-05-08,14:45:05,20,Exxxx5939xxx,Cebu
2025-05-08,14:44:21,20,Rxxxx7070xxx,Cebu
2025-05-08,14:43:39,20,Xxxxx1315xxx,Cebu
2025-05-08,14:42:57,20,Vxxxx0467xxx,Cebu
2025-05-08,14:42:06,5,Sxxxx8979xxx,Cebu
