Date,Time,Notetype,Maskedserial,Locality
2025-12-22,17:04:47,50,Rxxxx8724xxx,Iasi
2025-12-22,17:04:47,50,Sxxxx4218xxx,Iasi
2025-12-22,17:04:47,50,Exxxx1202xxx,Iasi
2025-12-22,17:04:47,50,Uxxxx2820xxx,Iasi
2025-12-22,17:04:47,50,Sxxxx0456xxx,Iasi
2025-12-22,17:04:47,50,Sxxxx8439xxx,Iasi
2025-12-22,17:04:47,50,Sxxxx5256xxx,Iasi
2025-12-22,17:04:47,50,Uxxxx3588xxx,Iasi
2025-12-22,17:04:47,50,Sxxxx9852xxx,Iasi
2025-12-22,17:04:47,50,Vxxxx9936xxx,Iasi
2025-12-22,17:04:47,50,Sxxxx4230xxx,Iasi
2025-12-22,17:04:47,50,Uxxxx5461xxx,Iasi
2025-12-22,17:04:47,50,Vxxxx1200xxx,Iasi
2025-12-22,16:58:27,50,Sxxxx8441xxx,Iasi
2025-12-22,16:58:27,50,Sxxxx3357xxx,Iasi
2025-12-22,16:58:27,50,Uxxxx9810xxx,Iasi
2025-12-22,16:58:27,50,Uxxxx6911xxx,Iasi
2025-12-22,16:58:27,50,Uxxxx5008xxx,Iasi
2025-12-22,16:55:45,50,Sxxxx1816xxx,Iasi
2025-12-22,16:55:45,50,Uxxxx7556xxx,Iasi
2025-12-22,16:55:45,50,Uxxxx6858xxx,Iasi
2025-12-22,16:55:45,50,Sxxxx2505xxx,Iasi
2025-12-22,16:55:45,50,Sxxxx3964xxx,Iasi
2025-12-22,16:51:32,50,Sxxxx2466xxx,Iasi
2025-12-21,16:40:09,200,Uxxxx9154xxx,Baia Mare
2025-12-21,16:40:09,200,Uxxxx9154xxx,Baia Mare
2025-12-21,16:40:09,200,Uxxxx9154xxx,Baia Mare
2025-12-21,16:40:09,50,Exxxx0316xxx,Baia Mare
2025-12-19,23:59:13,50,Sxxxx3710xxx,Alba Iulia
2025-12-19,23:58:30,50,Pxxxx9797xxx,Alba Iulia
2025-12-19,23:57:40,50,Vxxxx1676xxx,Alba Iulia
2025-12-19,23:56:19,50,Vxxxx4668xxx,Alba Iulia
2025-12-19,23:55:35,50,Vxxxx8738xxx,Alba Iulia
2025-12-19,23:54:48,50,Sxxxx8135xxx,Alba Iulia
2025-12-19,23:54:09,50,Vxxxx8514xxx,Alba Iulia
2025-12-19,23:53:25,50,Vxxxx2296xxx,Alba Iulia
2025-12-19,23:52:44,50,Sxxxx2369xxx,Alba Iulia
2025-12-19,23:51:45,50,Sxxxx1775xxx,Alba Iulia
2025-12-19,23:50:54,50,Sxxxx2529xxx,Alba Iulia
2025-12-19,23:50:11,50,Uxxxx8138xxx,Alba Iulia
2025-12-19,23:49:30,50,Exxxx3151xxx,Alba Iulia
2025-12-19,23:48:50,50,Exxxx4418xxx,Alba Iulia
2025-12-19,23:48:08,50,Sxxxx8398xxx,Alba Iulia
2025-12-19,23:47:30,50,Vxxxx3754xxx,Alba Iulia
2025-12-19,23:46:51,50,Vxxxx3742xxx,Alba Iulia
2025-12-19,23:46:09,50,Vxxxx4339xxx,Alba Iulia
2025-12-19,23:45:11,50,Uxxxx0536xxx,Alba Iulia
2025-12-19,23:44:21,50,Exxxx6100xxx,Alba Iulia
2025-12-19,23:43:22,50,Exxxx7135xxx,Alba Iulia
2025-12-19,23:42:21,50,Vxxxx7173xxx,Alba Iulia
2025-12-19,23:40:16,50,Uxxxx7132xxx,Alba Iulia
2025-12-19,23:38:58,50,Pxxxx6722xxx,Alba Iulia
2025-12-18,17:34:50,10,Fxxxx2586xxx,Brașov
2025-12-18,17:34:50,50,Wxxxx4203xxx,Brașov
2025-12-18,17:34:50,50,Wxxxx4203xxx,Brașov
2025-12-17,11:46:45,50,Pxxxx8269xxx,Iasi
2025-12-15,21:13:00,50,Vxxxx4363xxx,Satu Mare
2025-12-15,21:13:00,50,Uxxxx5837xxx,Satu Mare
2025-12-15,21:13:00,50,Uxxxx3189xxx,Satu Mare
2025-12-15,21:13:00,50,Sxxxx5032xxx,Satu Mare
2025-12-15,21:13:00,50,Pxxxx6607xxx,Satu Mare
2025-12-15,18:52:03,20,Sxxxx1208xxx,Cluj-Napoca
2025-12-15,18:50:32,20,Rxxxx0250xxx,Cluj-Napoca
2025-12-15,18:47:15,20,Sxxxx9107xxx,Cluj-Napoca
2025-12-15,18:46:34,20,Uxxxx1660xxx,Cluj-Napoca
2025-12-15,18:45:51,50,Vxxxx9222xxx,Cluj-Napoca
2025-12-15,18:44:15,50,Vxxxx7184xxx,Cluj-Napoca
2025-12-15,02:54:47,20,Rxxxx7643xxx,Oradea
2025-12-15,02:54:47,10,Rxxxx9084xxx,Oradea
2025-12-15,02:54:47,50,Sxxxx3502xxx,Oradea
2025-12-15,02:54:47,10,Pxxxx9874xxx,Oradea
2025-12-15,02:54:47,10,Nxxxx6982xxx,Oradea
2025-12-15,02:54:47,10,Vxxxx3420xxx,Oradea
2025-12-15,02:54:47,10,Yxxxx0069xxx,Oradea
2025-12-15,02:54:47,10,Rxxxx4052xxx,Oradea
2025-12-11,11:14:22,50,Rxxxx9680xxx,Oradea
2025-12-11,11:14:22,50,Exxxx2217xxx,Oradea
2025-12-10,18:25:18,10,Uxxxx7705xxx,Oradea
2025-12-08,15:18:09,10,Rxxxx5029xxx,Brasov
