Date,Time,Notetype,Maskedserial,Locality
2025-05-03,01:43:59,50,Vxxxx0472xxx,Chateaubelair
2025-05-03,01:43:59,50,Uxxxx2012xxx,Chateaubelair
2025-05-03,01:43:59,50,Uxxxx2943xxx,Chateaubelair
2025-05-03,01:43:59,50,Exxxx6431xxx,Chateaubelair
2025-04-29,01:05:31,50,Uxxxx9642xxx,Kingstown
2025-04-29,01:05:31,50,Uxxxx2484xxx,Kingstown
2025-04-29,01:05:31,20,Uxxxx0370xxx,Kingstown
2025-04-29,01:05:31,10,Wxxxx7398xxx,Kingstown
2025-04-29,01:05:31,10,Wxxxx2069xxx,Kingstown
2025-04-29,01:05:31,10,Rxxxx4756xxx,Kingstown
2025-04-29,01:05:31,10,Rxxxx7811xxx,Kingstown
2025-04-29,01:05:31,10,Rxxxx5099xxx,Kingstown
2025-04-29,01:05:31,10,Pxxxx6617xxx,Kingstown
2025-04-29,01:05:31,5,Mxxxx5677xxx,Kingstown
2025-04-29,00:58:54,200,Uxxxx1818xxx,Argyle International Airport
2025-04-29,00:58:54,200,Uxxxx3044xxx,Argyle International Airport
2025-04-29,00:58:54,200,Uxxxx3043xxx,Argyle International Airport
2025-04-29,00:58:54,200,Uxxxx3043xxx,Argyle International Airport
2025-04-29,00:58:54,200,Uxxxx1818xxx,Argyle International Airport
