Date,Time,Notetype,Maskedserial,Locality
2025-12-07,22:52:58,5,Mxxxx4017xxx,San Marino
2025-11-30,00:09:42,5,Vxxxx1410xxx,San Marino
2025-11-30,00:09:42,50,Exxxx7751xxx,San Marino
2025-11-30,00:09:42,20,Xxxxx7156xxx,San Marino
2025-11-28,17:02:50,10,Yxxxx6292xxx,San Marino
2025-11-28,17:02:50,5,Uxxxx0413xxx,San Marino
2025-11-25,23:27:57,10,Yxxxx0535xxx,San Marino
2025-11-25,23:26:06,50,Vxxxx6059xxx,San Marino
2025-11-25,23:26:06,50,Pxxxx4331xxx,San Marino
2025-11-25,23:26:06,50,Vxxxx8881xxx,San Marino
2025-11-25,23:26:06,20,Exxxx0959xxx,San Marino
2025-11-25,23:26:06,20,Wxxxx1253xxx,San Marino
2025-11-25,23:26:06,10,Wxxxx4918xxx,San Marino
2025-11-25,23:26:06,5,Yxxxx2335xxx,San Marino
2025-11-16,16:49:47,20,Uxxxx8687xxx,Saint-Marin
2025-11-16,16:49:47,20,Uxxxx0118xxx,Saint-Marin
2025-11-16,16:49:47,20,Uxxxx2160xxx,Saint-Marin
2025-11-16,16:49:47,20,Mxxxx2540xxx,Saint-Marin
2025-11-16,16:49:47,20,Uxxxx2068xxx,Saint-Marin
2025-10-28,21:41:38,5,Yxxxx7994xxx,San Marino
2025-10-17,16:46:29,20,Rxxxx2140xxx,San Marino
2025-10-17,16:46:29,20,Nxxxx2677xxx,San Marino
2025-10-16,19:36:22,10,Wxxxx5858xxx,San Marino
2025-10-16,19:36:22,5,Nxxxx7942xxx,San Marino
2025-10-16,19:34:23,10,Yxxxx8369xxx,San Marino
2025-10-16,19:34:23,5,Mxxxx0383xxx,San Marino
2025-10-15,22:33:53,20,Uxxxx5679xxx,Borgo Maggiore
2025-10-15,22:33:53,20,Sxxxx8413xxx,Borgo Maggiore
2025-10-15,22:33:53,5,Yxxxx6752xxx,Borgo Maggiore
2025-10-15,22:31:35,20,Sxxxx6675xxx,Borgo Maggiore
2025-10-15,22:31:35,20,Sxxxx6282xxx,Borgo Maggiore
2025-10-14,19:03:50,20,Fxxxx3494xxx,San Marino
2025-10-14,19:03:50,20,Exxxx4463xxx,San Marino
2025-10-14,19:03:50,5,Nxxxx8835xxx,San Marino
2025-10-06,21:26:57,5,Yxxxx9984xxx,Borgo Maggiore
2025-10-06,17:43:38,20,Exxxx3336xxx,Borgo Maggiore
2025-10-06,17:43:38,20,Sxxxx3011xxx,Borgo Maggiore
2025-10-06,17:43:38,20,Wxxxx4363xxx,Borgo Maggiore
2025-10-06,17:43:38,20,Sxxxx4974xxx,Borgo Maggiore
2025-10-06,17:41:09,10,Fxxxx2003xxx,Borgo Maggiore
2025-10-06,17:41:09,10,Wxxxx8687xxx,Borgo Maggiore
2025-10-06,17:38:45,5,Yxxxx1040xxx,Borgo Maggiore
2025-10-06,16:54:57,10,Rxxxx3492xxx,Borgo Maggiore
2025-10-06,16:54:57,10,Yxxxx2305xxx,Borgo Maggiore
2025-10-05,21:52:57,5,Vxxxx5114xxx,San Marino
2025-10-05,21:35:05,5,Yxxxx1621xxx,San Marino
2025-10-05,21:35:05,5,Uxxxx8382xxx,San Marino
2025-10-05,21:28:58,5,Vxxxx6852xxx,San Marino
2025-10-05,21:28:13,10,Rxxxx4707xxx,San Marino
2025-10-05,21:28:13,10,Xxxxx0570xxx,San Marino
2025-10-05,21:22:03,10,Yxxxx7612xxx,San Marino
2025-10-05,21:19:50,10,Wxxxx2385xxx,San Marino
2025-10-05,21:19:50,5,Nxxxx1173xxx,San Marino
2025-10-05,14:29:28,10,Rxxxx3072xxx,Città di San Marino
2025-10-05,14:29:28,5,Nxxxx8878xxx,Città di San Marino
2025-10-05,14:29:28,5,Nxxxx8865xxx,Città di San Marino
2025-10-05,14:29:28,5,Yxxxx5444xxx,Città di San Marino
