Date,Time,Notetype,Maskedserial,Locality
2025-09-30,17:57:01,10,Wxxxx7540xxx,Sao Tomé
2025-09-30,17:57:01,10,Yxxxx0505xxx,Sao Tomé
2025-09-30,17:55:21,5,Mxxxx9011xxx,
2025-09-30,17:55:21,10,Wxxxx3315xxx,
2025-09-30,17:55:21,20,Uxxxx3372xxx,
2025-09-30,17:32:26,50,Uxxxx2392xxx,
2025-09-30,17:25:39,10,Rxxxx5115xxx,Sao Tomé
2025-09-30,17:25:39,20,Rxxxx8829xxx,Sao Tomé
2025-09-30,17:25:39,20,Zxxxx4778xxx,Sao Tomé
2025-09-30,17:25:39,20,Uxxxx6480xxx,Sao Tomé
2025-09-30,17:25:39,50,Sxxxx7058xxx,Sao Tomé
2025-09-30,17:25:39,50,Sxxxx0587xxx,Sao Tomé
2025-09-14,23:34:51,50,Sxxxx0587xxx,Sao Tomé
2025-08-09,10:09:38,5,Mxxxx8548xxx,Cascata de São Salvador
2025-08-09,10:08:32,5,Mxxxx7471xxx,Santa Catarina
