Date,Time,Notetype,Maskedserial,Locality
2025-04-29,19:44:03,50,Vxxxx8163xxx,Victoria
2025-04-29,19:43:26,5,Nxxxx2944xxx,Victoria
2025-04-29,19:43:26,5,Nxxxx2670xxx,Victoria
2025-04-29,15:27:43,5,Nxxxx4767xxx,Victoria
2025-04-29,15:27:43,5,Nxxxx5131xxx,Victoria
2025-04-29,15:27:43,5,Exxxx0366xxx,Victoria
2025-04-29,15:27:43,5,Uxxxx3380xxx,Victoria
2025-04-29,15:27:43,5,Vxxxx3004xxx,Victoria
2025-04-29,08:46:36,10,Xxxxx9374xxx,Praslin
2025-04-29,08:46:36,5,Yxxxx0966xxx,Praslin
2025-04-23,08:02:46,20,Sxxxx3794xxx,Praslin
2025-04-23,08:02:05,5,Sxxxx6686xxx,Praslin
2025-04-23,08:02:05,5,Mxxxx6672xxx,Praslin
2025-04-02,14:01:44,20,Uxxxx5030xxx,Mahe
