Date,Time,Notetype,Maskedserial,Locality
2025-11-03,02:54:52,5,Vxxxx7518xxx,Incheon
2025-11-03,02:54:52,10,Wxxxx9840xxx,Incheon
2025-11-03,02:54:52,50,Vxxxx4937xxx,Incheon
2025-09-06,09:06:03,10,Wxxxx7093xxx,중구
2025-05-11,16:07:39,10,Wxxxx4332xxx,Incheon
2025-05-11,16:07:39,10,Wxxxx4332xxx,Incheon
2025-05-11,16:07:39,10,Wxxxx4332xxx,Incheon
2025-05-11,16:07:39,10,Wxxxx4332xxx,Incheon
2025-05-11,16:07:39,10,Wxxxx4332xxx,Incheon
2025-05-11,16:07:39,10,Wxxxx4332xxx,Incheon
2025-05-11,16:07:39,10,Wxxxx4332xxx,Incheon
2025-05-11,16:07:39,10,Wxxxx4332xxx,Incheon
2025-05-11,16:07:39,10,Wxxxx4332xxx,Incheon
2025-05-11,16:07:39,10,Wxxxx4332xxx,Incheon
2025-05-11,16:07:39,10,Wxxxx4332xxx,Incheon
2025-05-11,16:07:39,10,Wxxxx4332xxx,Incheon
2025-05-11,16:07:39,10,Wxxxx4332xxx,Incheon
2025-05-11,16:07:39,10,Wxxxx4332xxx,Incheon
2025-05-11,16:07:39,10,Wxxxx4332xxx,Incheon
2025-05-11,16:07:39,10,Wxxxx4332xxx,Incheon
2025-05-11,16:07:39,10,Wxxxx4332xxx,Incheon
2025-05-11,16:07:39,10,Wxxxx4332xxx,Incheon
2025-05-11,16:07:39,10,Wxxxx4332xxx,Incheon
2025-05-11,16:07:39,10,Wxxxx4332xxx,Incheon
2025-05-07,15:00:20,20,Wxxxx4395xxx,Seoul
2025-05-07,15:00:20,20,Exxxx8950xxx,Seoul
2025-05-07,15:00:20,20,Wxxxx6018xxx,Seoul
2025-05-07,15:00:20,10,Wxxxx3956xxx,Seoul
2025-05-07,15:00:20,5,Uxxxx3621xxx,Seoul
2025-05-07,15:00:20,5,Vxxxx8749xxx,Seoul
2025-05-07,15:00:20,5,Wxxxx4072xxx,Seoul
2025-05-07,15:00:20,5,Vxxxx1495xxx,Seoul
2025-05-07,15:00:20,5,Exxxx7934xxx,Seoul
2025-05-07,15:00:20,5,Exxxx2437xxx,Seoul
2025-04-25,15:39:48,20,Zxxxx4792xxx,Ulju-gun
2025-04-10,13:29:47,20,Exxxx8920xxx,Incheon International Airport
2025-04-06,20:14:26,100,Sxxxx8491xxx,Ulsan
2025-04-06,20:13:16,50,Exxxx2309xxx,Seoul
