Date,Time,Notetype,Maskedserial,Locality
2025-09-30,22:27:55,100,Uxxxx7373xxx,Damascus
2025-09-30,22:27:55,50,Exxxx6497xxx,Damascus
2025-09-30,22:27:55,50,Exxxx0736xxx,Damascus
2025-09-30,22:26:12,5,Mxxxx0298xxx,Damascus
2025-09-30,22:26:12,5,Mxxxx4021xxx,Damascus
2025-09-30,22:26:12,5,Zxxxx2657xxx,Damascus
2025-09-30,22:26:12,5,Mxxxx7849xxx,Damascus
2025-09-30,22:26:12,5,Mxxxx3891xxx,Damascus
2025-09-30,22:26:12,5,Vxxxx2360xxx,Damascus
2025-09-30,22:26:12,5,Txxxx9596xxx,Damascus
2025-09-30,22:21:15,50,Uxxxx7123xxx,Damascus
2025-09-30,22:21:15,50,Uxxxx7123xxx,Damascus
2025-09-30,22:21:15,50,Rxxxx7054xxx,Damascus
2025-09-30,22:21:15,50,Uxxxx7034xxx,Damascus
2025-09-30,22:21:15,50,Vxxxx7902xxx,Damascus
2025-09-30,22:21:15,20,Rxxxx9277xxx,Damascus
2025-09-30,22:21:15,20,Rxxxx7992xxx,Damascus
2025-09-30,22:21:15,20,Rxxxx0519xxx,Damascus
2025-09-30,22:21:15,10,Vxxxx6454xxx,Damascus
2025-09-30,22:21:15,10,Wxxxx6576xxx,Damascus
2025-09-30,22:21:15,10,Fxxxx1650xxx,Damascus
2025-09-30,22:16:08,5,Vxxxx3995xxx,Damascus
2025-09-30,22:16:08,5,Uxxxx3569xxx,Damascus
2025-08-31,15:26:02,20,Exxxx5496xxx,Damascus
2025-08-31,15:26:02,20,Uxxxx8530xxx,Damascus
2025-08-31,15:26:02,10,Rxxxx9988xxx,Damascus
2025-08-31,15:23:02,50,Sxxxx2880xxx,Damascus
2025-08-31,15:22:22,10,Rxxxx6027xxx,Damascus
2025-08-31,15:22:22,5,Uxxxx9075xxx,Damascus
2025-08-31,15:22:22,20,Uxxxx0875xxx,Damascus
2025-07-31,18:17:12,50,Exxxx6574xxx,Damascus
2025-07-31,18:17:12,50,Exxxx5174xxx,Damascus
2025-07-31,18:17:12,20,Uxxxx8580xxx,Damascus
2025-07-31,18:17:12,20,Xxxxx3530xxx,Damascus
2025-07-31,18:17:12,20,Rxxxx6795xxx,Damascus
2025-07-31,18:17:12,20,Rxxxx4176xxx,Damascus
2025-07-31,18:17:12,100,Rxxxx1092xxx,Damascus
2025-07-31,18:17:12,10,Wxxxx3925xxx,Damascus
2025-07-31,18:17:12,10,Vxxxx1074xxx,Damascus
2025-07-22,16:41:37,5,Mxxxx8023xxx,Damascus
2025-07-07,21:27:17,5,Uxxxx4551xxx,Damascus
2025-07-07,21:27:17,10,Pxxxx7959xxx,Damascus
2025-07-07,01:17:24,10,Wxxxx9561xxx,Damascus
2025-07-04,23:34:06,10,Wxxxx6933xxx,Damascus
2025-07-04,23:34:06,20,Rxxxx5920xxx,Damascus
2025-07-04,23:34:06,50,Exxxx5126xxx,Damascus
2025-07-04,23:34:06,20,Fxxxx9167xxx,Damascus
2025-07-04,23:34:06,20,Rxxxx7206xxx,Damascus
2025-07-04,23:34:06,20,Rxxxx3348xxx,Damascus
2025-07-04,23:34:06,20,Uxxxx5093xxx,Damascus
2025-07-04,23:34:06,20,Rxxxx9789xxx,Damascus
2025-07-04,23:34:06,20,Rxxxx9099xxx,Damascus
2025-07-04,23:34:06,5,Mxxxx2283xxx,Damascus
2025-06-25,23:46:16,20,Uxxxx3974xxx,Damascus
2025-06-25,23:46:16,10,Rxxxx4948xxx,Damascus
2025-06-25,23:46:16,10,Exxxx6396xxx,Damascus
2025-06-23,21:19:55,5,Nxxxx6773xxx,Damascus
2025-06-23,21:19:55,20,Rxxxx2135xxx,Damascus
2025-06-23,21:14:46,10,Wxxxx6616xxx,Damascus
2025-06-14,11:20:19,10,Wxxxx6217xxx,Damascus
2025-06-14,11:20:19,10,Xxxxx6739xxx,Damascus
2025-05-27,12:52:42,5,Wxxxx4036xxx,Damascus
2025-05-27,12:52:42,5,Nxxxx0439xxx,Damascus
2025-05-11,22:43:20,100,Exxxx2465xxx,Damascus
2025-05-11,22:43:20,100,Exxxx2465xxx,Damascus
2025-05-11,22:43:20,100,Exxxx2465xxx,Damascus
2025-05-11,22:43:20,100,Exxxx2465xxx,Damascus
2025-05-11,22:43:20,50,Wxxxx8754xxx,Damascus
2025-05-11,22:43:20,50,Wxxxx6392xxx,Damascus
2025-05-11,22:43:20,20,Rxxxx1899xxx,Damascus
2025-05-11,22:43:20,20,Uxxxx4725xxx,Damascus
2025-05-11,22:43:20,20,Rxxxx5415xxx,Damascus
2025-05-11,22:43:20,10,Wxxxx7092xxx,Damascus
2025-05-11,22:43:20,10,Wxxxx1212xxx,Damascus
2025-05-11,22:43:20,10,Wxxxx6770xxx,Damascus
2025-05-11,22:43:20,10,Wxxxx4012xxx,Damascus
2025-05-11,22:43:20,50,Wxxxx8843xxx,Damascus
2025-05-11,22:43:20,50,Sxxxx4134xxx,Damascus
2025-05-11,22:43:20,50,Uxxxx4859xxx,Damascus
2025-05-11,22:43:20,50,Zxxxx3314xxx,Damascus
2025-04-13,16:24:41,10,Rxxxx6996xxx,Damascus
2025-04-13,16:24:41,5,Yxxxx7137xxx,Damascus
2025-04-10,01:48:30,10,Vxxxx2050xxx,Damascus
2025-04-10,01:05:13,5,Uxxxx9641xxx,Damascus
2025-03-31,09:39:45,10,Pxxxx8210xxx,Damascus
2025-03-31,09:39:45,10,Nxxxx7073xxx,Damascus
2025-03-31,09:39:45,10,Rxxxx8734xxx,Damascus
2025-03-31,09:39:45,10,Rxxxx1704xxx,Damascus
2025-03-31,09:39:45,10,Xxxxx0056xxx,Damascus
2025-03-31,09:39:45,10,Fxxxx8998xxx,Damascus
2025-03-31,09:39:45,10,Vxxxx5997xxx,Damascus
2025-03-31,09:36:26,100,Exxxx9351xxx,Damascus
2025-03-31,09:36:26,20,Sxxxx0861xxx,Damascus
2025-03-31,09:36:26,20,Wxxxx7679xxx,Damascus
2025-03-31,09:36:26,20,Uxxxx4801xxx,Damascus
2025-03-31,09:36:26,20,Uxxxx3344xxx,Damascus
2025-03-31,09:36:26,20,Mxxxx5344xxx,Damascus
2025-03-31,09:33:16,10,Wxxxx6043xxx,Damascus
2025-03-31,09:33:16,10,Rxxxx3627xxx,Damascus
2025-03-31,09:33:16,10,Wxxxx6900xxx,Damascus
2025-03-31,09:33:16,10,Vxxxx9098xxx,Damascus
2025-03-31,09:33:16,10,Rxxxx5301xxx,Damascus
2025-03-31,09:33:16,10,Pxxxx9830xxx,Damascus
2025-03-31,09:33:16,10,Fxxxx7625xxx,Damascus
2025-03-31,09:33:16,10,Pxxxx8680xxx,Damascus
2025-03-31,09:33:16,10,Wxxxx5925xxx,Damascus
2025-03-31,09:33:16,10,Rxxxx6906xxx,Damascus
2025-03-31,09:33:16,10,Rxxxx0325xxx,Damascus
2025-03-31,09:33:16,10,Rxxxx7822xxx,Damascus
2025-03-31,09:33:16,10,Yxxxx0177xxx,Damascus
2025-03-31,09:33:16,10,Rxxxx1625xxx,Damascus
2025-03-31,09:33:16,10,Rxxxx1625xxx,Damascus
2025-03-31,09:33:16,10,Rxxxx1625xxx,Damascus
2025-03-31,09:33:16,10,Rxxxx1625xxx,Damascus
2025-03-31,09:33:16,10,Vxxxx9468xxx,Damascus
2025-03-31,09:33:16,10,Vxxxx9468xxx,Damascus
2025-03-31,09:33:16,10,Vxxxx9468xxx,Damascus
2025-03-31,09:33:16,10,Rxxxx1625xxx,Damascus
2025-03-31,09:33:16,10,Rxxxx0784xxx,Damascus
2025-03-31,09:33:16,10,Rxxxx0784xxx,Damascus
2025-03-31,09:33:16,10,Rxxxx0784xxx,Damascus
2025-03-31,09:33:16,5,Mxxxx1804xxx,Damascus
2025-03-24,16:31:56,5,Uxxxx2594xxx,Damascus
2025-03-20,21:34:01,20,Rxxxx8119xxx,Damascus
2025-03-20,01:01:44,20,Rxxxx2161xxx,Damascus
2025-03-20,01:01:44,5,Mxxxx7925xxx,Damascus
