Date,Time,Notetype,Maskedserial,Locality
2025-12-19,13:53:20,200,Exxxx2026xxx,İstanbul
2025-12-12,23:36:42,20,Sxxxx4085xxx,Istanbul
2025-12-12,23:36:33,20,Mxxxx0574xxx,Istanbul
2025-12-12,23:35:57,20,Exxxx7694xxx,Istanbul
2025-12-12,23:35:44,20,Uxxxx4464xxx,Istanbul
2025-12-11,23:47:04,20,Mxxxx9999xxx,Istanbul
2025-12-11,23:46:57,20,Uxxxx5953xxx,Istanbul
2025-12-11,23:46:38,20,Sxxxx2015xxx,Istanbul
2025-12-11,23:46:29,20,Exxxx6845xxx,Istanbul
2025-12-11,23:46:05,20,Uxxxx1567xxx,Istanbul
2025-12-11,23:45:50,5,Sxxxx2204xxx,Istanbul
2025-12-11,23:45:38,5,Yxxxx0011xxx,Istanbul
2025-12-08,15:47:41,10,Wxxxx5942xxx,Tekirova
2025-12-08,15:47:41,10,Vxxxx4273xxx,Tekirova
2025-12-08,15:47:41,5,Uxxxx2489xxx,Tekirova
2025-12-08,15:47:41,5,Uxxxx7088xxx,Tekirova
2025-12-08,15:47:41,20,Uxxxx6737xxx,Tekirova
2025-11-30,13:48:20,20,Fxxxx0155xxx,İstanbul
2025-11-30,13:48:20,20,Rxxxx1259xxx,İstanbul
2025-11-28,10:42:54,100,Exxxx8131xxx,İstanbul
2025-11-23,09:17:32,10,Wxxxx3848xxx,Istanbul
2025-11-20,14:02:37,10,Vxxxx2371xxx,Istanbul
2025-11-20,14:02:37,20,Uxxxx9789xxx,Istanbul
2025-11-20,14:02:37,20,Rxxxx7825xxx,Istanbul
2025-11-20,14:02:37,50,Uxxxx0435xxx,Istanbul
2025-11-17,16:44:35,100,Uxxxx0270xxx,Istanbul
2025-11-15,19:41:05,5,Mxxxx7035xxx,Beyoğlu Istanbul
2025-11-15,16:44:42,20,Nxxxx8370xxx,Sirkeci
2025-11-15,16:44:35,20,Exxxx0841xxx,Sirkeci
2025-11-15,16:44:22,20,Mxxxx9509xxx,Sirkeci
2025-11-15,16:44:10,20,Sxxxx1058xxx,Sirkeci
2025-11-15,16:44:03,20,Rxxxx5402xxx,Sirkeci
2025-11-15,16:43:21,5,Mxxxx7225xxx,Sirkeci
2025-11-15,16:43:13,20,Fxxxx8817xxx,Sirkeci
2025-11-15,09:35:50,5,Zxxxx1373xxx,Belek
2025-11-15,09:35:50,10,Yxxxx0242xxx,Belek
2025-11-08,19:53:44,10,Wxxxx1946xxx,Antalya International Airport
2025-11-08,08:47:46,5,Vxxxx5949xxx,Sorgun
2025-11-08,08:47:46,5,Yxxxx9489xxx,Sorgun
2025-11-08,08:47:46,5,Mxxxx7508xxx,Sorgun
2025-11-08,08:47:46,5,Uxxxx5838xxx,Sorgun
2025-11-08,08:47:46,5,Zxxxx2553xxx,Sorgun
2025-11-08,08:47:46,5,Wxxxx3770xxx,Sorgun
2025-11-08,08:47:46,10,Wxxxx3346xxx,Sorgun
2025-11-08,04:46:55,5,Yxxxx1525xxx,Belek
2025-11-08,04:46:55,5,Nxxxx6155xxx,Belek
2025-11-07,20:03:42,10,Nxxxx3196xxx,Arnavutköy Istanbul
2025-11-07,20:02:18,20,Uxxxx9457xxx,Fatih Istanbul
2025-11-07,20:01:06,20,Uxxxx7539xxx,Fatih Istanbul
2025-11-07,19:21:20,20,Uxxxx4054xxx,Fatih Istanbul
2025-11-07,19:13:48,20,Rxxxx7451xxx,Fatih Istanbul
2025-11-07,15:28:11,10,Uxxxx0101xxx,Belek
2025-11-07,15:28:11,20,Rxxxx9074xxx,Belek
2025-11-07,15:28:11,20,Rxxxx2381xxx,Belek
2025-11-07,10:11:41,50,Exxxx6647xxx,Demirtaş
2025-11-07,10:09:11,50,Rxxxx1526xxx,Alanya
2025-11-07,10:05:50,50,Rxxxx7693xxx,Avsallar
2025-11-07,09:53:04,50,Rxxxx6897xxx,Serik
2025-11-07,09:53:04,50,Rxxxx8181xxx,Serik
2025-11-07,09:50:17,50,Exxxx0323xxx,Gündoğdu Mevkii
2025-11-07,06:18:44,5,Vxxxx9508xxx,Belek
2025-11-07,06:18:44,5,Zxxxx8224xxx,Belek
2025-11-06,15:38:13,100,Exxxx6133xxx,Arnavutköy
2025-11-06,13:08:42,5,Uxxxx1567xxx,Belek
2025-11-06,13:07:07,20,Nxxxx7369xxx,Belek
2025-11-06,13:07:07,20,Rxxxx7871xxx,Belek
2025-11-06,13:05:46,10,Fxxxx6807xxx,Belek
2025-11-06,13:05:46,10,Nxxxx3351xxx,Belek
2025-11-06,13:05:46,10,Wxxxx7851xxx,Belek
2025-11-06,13:03:54,5,Nxxxx9244xxx,Belek
2025-11-06,05:09:37,5,Exxxx7635xxx,Belek
2025-11-05,16:07:16,5,Nxxxx2326xxx,Belek
2025-11-05,16:06:33,10,Nxxxx6360xxx,Belek
2025-11-05,16:06:33,10,Nxxxx3009xxx,Belek
2025-11-05,16:06:33,10,Wxxxx0140xxx,Belek
2025-11-05,16:02:59,10,Yxxxx9380xxx,Belek
2025-11-05,16:02:59,5,Wxxxx5481xxx,Belek
2025-11-04,17:16:09,5,Zxxxx1417xxx,Belek
2025-11-04,17:12:00,10,Wxxxx6098xxx,Belek
2025-11-04,17:12:00,20,Rxxxx0793xxx,Belek
2025-11-04,17:12:00,20,Rxxxx8863xxx,Belek
2025-11-04,17:12:00,20,Wxxxx8391xxx,Belek
2025-11-04,13:47:31,5,Yxxxx7883xxx,Istanbul
2025-11-04,07:02:18,5,Vxxxx0526xxx,Sorgun
2025-11-04,07:02:18,5,Mxxxx6779xxx,Sorgun
2025-11-04,07:02:18,5,Exxxx2554xxx,Sorgun
2025-11-04,07:02:18,20,Fxxxx5580xxx,Sorgun
2025-11-04,06:36:33,5,Vxxxx4947xxx,Belek
2025-11-03,15:30:18,50,Exxxx2871xxx,Sorgun
2025-11-03,14:10:11,20,Sxxxx6569xxx,Kargicak
2025-11-03,14:10:11,20,Rxxxx8511xxx,Kargicak
2025-11-03,14:10:11,20,Rxxxx1651xxx,Kargicak
2025-11-03,11:46:38,10,Pxxxx3278xxx,Belek
2025-11-03,11:46:38,10,Exxxx3698xxx,Belek
2025-11-03,11:46:38,10,Rxxxx6646xxx,Belek
2025-11-03,11:46:38,10,Wxxxx7566xxx,Belek
2025-11-03,11:43:59,5,Wxxxx4346xxx,Belek
2025-11-03,04:09:07,10,Vxxxx3228xxx,Belek
2025-11-02,14:52:53,20,Sxxxx6351xxx,Belek
2025-11-02,14:52:53,10,Nxxxx3216xxx,Belek
2025-11-02,14:51:14,5,Nxxxx6352xxx,Belek
2025-11-02,05:54:23,5,Mxxxx2719xxx,Belek
2025-11-01,14:15:10,10,Nxxxx3351xxx,Belek
2025-11-01,13:06:07,5,Zxxxx9739xxx,Bodrum
2025-11-01,13:06:07,5,Wxxxx5903xxx,Bodrum
2025-11-01,11:14:00,5,Yxxxx7024xxx,Antalya International Airport
2025-11-01,11:14:00,5,Mxxxx7977xxx,Antalya International Airport
2025-11-01,07:42:20,5,Uxxxx8374xxx,Antalya
2025-10-31,22:11:53,50,Wxxxx4906xxx,İstanbul
2025-10-31,22:11:53,50,Uxxxx3100xxx,İstanbul
2025-10-31,22:11:53,50,Sxxxx6728xxx,İstanbul
2025-10-31,14:23:14,10,Rxxxx1520xxx,Antalya
2025-10-31,14:22:35,5,Vxxxx3057xxx,Antalya
2025-10-31,14:21:54,5,Vxxxx1150xxx,Antalya
2025-10-31,14:21:08,5,Zxxxx3401xxx,Antalya
2025-10-29,19:12:26,50,Vxxxx2405xxx,İstanbul
2025-10-29,19:11:51,50,Sxxxx0744xxx,İstanbul
2025-10-27,15:36:40,20,Exxxx6825xxx,Alanya
2025-10-26,18:50:51,10,Nxxxx0639xxx,Alanya
2025-10-26,16:27:39,10,Wxxxx1308xxx,Istanbul
2025-10-25,10:41:21,5,Uxxxx8098xxx,Adana
2025-10-24,14:37:42,10,Exxxx1782xxx,Alanya
2025-10-22,16:15:35,20,Exxxx8409xxx,Şeyhli
2025-10-20,13:58:44,20,Mxxxx0007xxx,Sirkeci
2025-10-20,13:58:39,20,Sxxxx2924xxx,Sirkeci
2025-10-20,13:58:22,10,Rxxxx9561xxx,Sirkeci
2025-10-20,13:58:11,10,Yxxxx6921xxx,Sirkeci
2025-10-20,13:58:04,10,Yxxxx8331xxx,Sirkeci
2025-10-20,13:57:57,10,Rxxxx0436xxx,Sirkeci
2025-10-18,17:45:10,20,Nxxxx9894xxx,Side
2025-10-18,17:45:10,20,Uxxxx7334xxx,Side
2025-10-18,17:45:10,5,Vxxxx4700xxx,Side
2025-10-18,17:43:04,20,Wxxxx9584xxx,Side
2025-10-18,17:43:04,5,Zxxxx9227xxx,Side
2025-10-18,17:41:26,20,Rxxxx6366xxx,Side
2025-10-18,17:40:18,5,Vxxxx3168xxx,Side
2025-10-18,17:40:18,20,Uxxxx8152xxx,Side
2025-10-18,17:40:18,10,Vxxxx3133xxx,Side
2025-10-18,17:40:18,10,Sxxxx4344xxx,Side
2025-10-18,17:37:27,20,Exxxx5186xxx,Side
2025-10-18,17:37:27,10,Vxxxx5724xxx,Side
2025-10-18,17:37:27,10,Nxxxx3297xxx,Side
2025-10-18,17:37:27,10,Rxxxx7822xxx,Side
2025-10-18,17:37:27,10,Rxxxx0338xxx,Side
2025-10-18,17:37:27,10,Fxxxx2397xxx,Side
2025-10-18,17:37:27,20,Vxxxx7608xxx,Side
2025-10-18,17:37:27,20,Rxxxx3008xxx,Side
2025-10-18,17:37:27,20,Exxxx4377xxx,Side
2025-10-18,17:37:27,10,Wxxxx4913xxx,Side
2025-10-17,19:32:29,50,Uxxxx1203xxx,Sirkeci
2025-10-17,13:50:09,50,Uxxxx7535xxx,Cihangir
2025-10-15,10:22:18,5,Uxxxx7929xxx,Side-Gündogdu
2025-10-14,13:35:44,10,Xxxxx9947xxx,Kargicak
2025-10-14,13:35:44,10,Exxxx0424xxx,Kargicak
2025-10-14,13:35:44,10,Nxxxx3987xxx,Kargicak
2025-10-14,13:35:44,10,Rxxxx6428xxx,Kargicak
2025-10-14,12:21:26,100,Sxxxx3275xxx,Aydin
2025-10-12,21:58:46,5,Nxxxx1690xxx,Sirkeci
2025-10-12,21:57:56,5,Zxxxx5517xxx,Sirkeci
2025-10-12,21:57:49,5,Nxxxx7949xxx,Sirkeci
2025-10-11,01:29:01,50,Uxxxx1208xxx,Sirkeci
2025-10-11,01:28:51,10,Nxxxx1481xxx,Sirkeci
2025-10-11,01:28:45,10,Wxxxx9214xxx,Sirkeci
2025-10-11,01:28:35,5,Uxxxx7197xxx,Sirkeci
2025-10-11,01:28:29,5,Mxxxx9296xxx,Sirkeci
2025-10-11,01:28:20,5,Mxxxx5688xxx,Sirkeci
2025-10-11,01:28:15,5,Mxxxx6697xxx,Sirkeci
2025-10-11,01:28:08,5,Nxxxx0386xxx,Sirkeci
2025-10-11,01:28:01,5,Nxxxx8411xxx,Sirkeci
2025-10-10,17:36:29,5,Yxxxx5488xxx,Side-Gündogdu
2025-10-10,17:35:27,10,Fxxxx7710xxx,Side-Gündogdu
2025-10-10,17:35:27,10,Rxxxx7315xxx,Side-Gündogdu
2025-10-10,17:32:29,10,Exxxx3725xxx,Side-Gündogdu
2025-10-10,00:57:50,20,Wxxxx4817xxx,Sirkeci
2025-10-10,00:57:43,20,Nxxxx5607xxx,Sirkeci
2025-10-10,00:57:35,10,Fxxxx0474xxx,Sirkeci
2025-10-10,00:57:26,10,Nxxxx5847xxx,Sirkeci
2025-10-10,00:57:19,10,Fxxxx1800xxx,Sirkeci
2025-10-10,00:57:10,10,Rxxxx1531xxx,Sirkeci
2025-10-10,00:57:01,5,Nxxxx7681xxx,Sirkeci
2025-10-10,00:56:53,5,Mxxxx4369xxx,Sirkeci
2025-10-10,00:56:45,5,Nxxxx3115xxx,Sirkeci
2025-10-08,08:00:58,5,Mxxxx9200xxx,Kemer
2025-10-08,08:00:58,5,Vxxxx8236xxx,Kemer
2025-10-08,08:00:58,5,Nxxxx1844xxx,Kemer
2025-10-07,06:04:08,5,Zxxxx0370xxx,Istanbul Airport
2025-10-06,14:46:29,10,Nxxxx9773xxx,Istanbul
2025-10-06,14:46:29,10,Yxxxx0018xxx,Istanbul
2025-10-05,06:35:04,5,Yxxxx4278xxx,Istanbul
2025-10-04,21:43:03,10,Txxxx7177xxx,Kemer
2025-10-04,21:41:36,20,Uxxxx5405xxx,Kemer
2025-09-30,22:01:39,10,Yxxxx7819xxx,Istanbul
2025-09-28,01:08:39,100,Xxxxx6379xxx,İzmir
2025-09-27,09:28:01,20,Sxxxx6088xxx,İstanbul Airport
2025-09-27,09:27:24,10,Nxxxx0748xxx,İstanbul Airport
2025-09-27,09:27:14,10,Exxxx7591xxx,İstanbul Airport
2025-09-24,10:58:07,10,Uxxxx4300xxx,Manavgat
2025-09-24,10:57:04,5,Nxxxx4961xxx,Manavgat
2025-09-24,10:47:59,5,Mxxxx8707xxx,Manavgat
2025-09-16,12:49:58,50,Uxxxx1436xxx,Antalya
2025-09-14,23:40:37,10,Rxxxx4695xxx,İstanbul Airport
2025-09-14,23:40:37,5,Mxxxx6741xxx,İstanbul Airport
2025-09-13,15:32:00,50,Exxxx8152xxx,İstanbul
2025-09-13,15:32:00,50,Exxxx0148xxx,İstanbul
2025-09-12,00:10:23,50,Rxxxx8607xxx,Istanbul
2025-09-12,00:10:16,50,Sxxxx4204xxx,Istanbul
2025-09-12,00:09:56,20,Nxxxx8168xxx,Istanbul
2025-09-12,00:08:52,10,Pxxxx7421xxx,Istanbul
2025-09-12,00:08:29,10,Xxxxx6968xxx,Istanbul
2025-09-07,19:43:51,10,Rxxxx8955xxx,Istanbul
2025-09-07,19:43:51,10,Vxxxx1224xxx,Istanbul
2025-09-01,19:22:28,5,Xxxxx7825xxx,Antalya
2025-09-01,19:22:13,5,Vxxxx7345xxx,Antalya
2025-09-01,19:20:55,5,Zxxxx6525xxx,Antalya
2025-09-01,19:20:49,10,Wxxxx3541xxx,Antalya
2025-09-01,19:20:43,10,Wxxxx0889xxx,Antalya
2025-09-01,19:17:34,10,Wxxxx5541xxx,Ayvalik
2025-09-01,19:17:25,5,Yxxxx6389xxx,Ayvalik
2025-08-31,17:30:39,10,Wxxxx3573xxx,Taşağil
2025-08-31,17:08:44,10,Nxxxx3281xxx,Bozyaka
2025-08-30,11:58:53,5,Vxxxx6744xxx,Kargicak
2025-08-30,11:58:53,5,Nxxxx4193xxx,Kargicak
2025-08-30,11:58:53,5,Uxxxx4947xxx,Kargicak
2025-08-30,11:58:53,5,Mxxxx2290xxx,Kargicak
2025-08-30,11:58:53,5,Exxxx0685xxx,Kargicak
2025-08-30,11:58:53,5,Mxxxx8722xxx,Kargicak
2025-08-30,11:58:53,5,Txxxx7104xxx,Kargicak
2025-08-30,11:58:53,5,Vxxxx0496xxx,Kargicak
2025-08-30,11:58:53,5,Zxxxx3738xxx,Kargicak
2025-08-30,11:58:53,5,Vxxxx9542xxx,Kargicak
2025-08-30,11:58:53,5,Nxxxx1555xxx,Kargicak
2025-08-30,11:58:53,5,Mxxxx5673xxx,Kargicak
2025-08-30,11:58:53,5,Nxxxx7187xxx,Kargicak
2025-08-30,11:58:53,5,Vxxxx4741xxx,Kargicak
2025-08-30,11:58:53,5,Mxxxx8053xxx,Kargicak
