Date,Time,Notetype,Maskedserial,Locality
2025-11-02,18:06:04,5,Yxxxx0617xxx,Samarcanda
2025-11-02,17:29:57,10,Nxxxx0733xxx,Bukhara
2025-10-10,19:47:42,10,Txxxx7956xxx,Tashkent
2025-10-04,10:42:31,20,Uxxxx5521xxx,Khiva
2025-09-29,06:41:03,5,Nxxxx7683xxx,Samarcanda
2025-06-19,15:24:38,20,Exxxx6682xxx,Margilan
2025-06-19,15:24:38,10,Wxxxx6155xxx,Margilan
2025-06-18,18:10:34,50,Exxxx0846xxx,Kokand
2025-06-18,18:10:34,20,Vxxxx2154xxx,Kokand
2025-04-15,16:59:41,20,Mxxxx0401xxx,Samarkand
2025-02-25,13:33:09,20,Sxxxx9251xxx,Samarkand
2025-02-25,13:33:09,20,Uxxxx9289xxx,Samarkand
