Date,Time,Notetype,Maskedserial,Locality
2022-08-07,05:14:30,20,Sxxxx0260xxx,Luanda
2022-08-07,05:13:22,20,Mxxxx2162xxx,Luanda
2022-08-07,05:11:08,20,Uxxxx7569xxx,Luanda
2022-08-07,05:10:33,20,Fxxxx0814xxx,Luanda
2022-08-07,05:09:24,20,Uxxxx9863xxx,Luanda
2022-08-07,05:08:26,20,Sxxxx0889xxx,Luanda
2022-08-07,05:07:21,20,Exxxx0210xxx,Luanda
2022-08-07,05:06:13,20,Rxxxx8975xxx,Luanda
2022-08-07,05:06:07,20,Exxxx8050xxx,Luanda
2022-08-07,05:04:33,20,Uxxxx9607xxx,Luanda
2022-08-07,05:01:17,50,Zxxxx6770xxx,Luanda
2022-08-07,04:58:33,50,Sxxxx3795xxx,Luanda
2022-08-07,04:57:31,50,Xxxxx9781xxx,Luanda
2022-04-09,09:41:42,10,Wxxxx9274xxx,Luanda
