Date,Time,Notetype,Maskedserial,Locality
2022-08-27,08:23:23,50,Yxxxx3752xxx,Yerevan
2022-08-27,08:23:23,50,Yxxxx0132xxx,Yerevan
2022-08-27,08:23:23,50,Yxxxx0620xxx,Yerevan
2022-08-27,08:23:23,50,Yxxxx0620xxx,Yerevan
2022-08-27,08:23:23,50,Xxxxx2943xxx,Yerevan
2022-08-27,08:23:23,50,Vxxxx6850xxx,Yerevan
2022-08-27,08:23:23,50,Vxxxx5969xxx,Yerevan
2022-08-27,08:23:23,50,Uxxxx5412xxx,Yerevan
2022-08-27,08:23:23,50,Xxxxx3501xxx,Yerevan
2022-08-27,08:23:23,50,Vxxxx3087xxx,Yerevan
2022-08-27,08:23:23,50,Sxxxx9235xxx,Yerevan
2022-08-27,08:23:23,50,Pxxxx5418xxx,Yerevan
2022-08-27,08:19:42,100,Exxxx3950xxx,Yerevan
2022-08-27,08:19:42,100,Exxxx3950xxx,Yerevan
2022-08-27,08:19:42,100,Exxxx3950xxx,Yerevan
2022-08-27,08:19:42,100,Exxxx3950xxx,Yerevan
2022-08-27,08:19:42,20,Uxxxx5371xxx,Yerevan
2022-08-27,08:19:42,20,Fxxxx5598xxx,Yerevan
2022-08-27,08:19:42,20,Uxxxx9964xxx,Yerevan
2022-08-27,08:19:42,20,Sxxxx8938xxx,Yerevan
2022-08-27,08:19:42,20,Rxxxx5624xxx,Yerevan
2022-08-27,08:19:42,10,Wxxxx7779xxx,Yerevan
2022-08-27,08:19:42,10,Xxxxx0364xxx,Yerevan
2022-08-27,08:19:42,10,Txxxx5423xxx,Yerevan
2022-08-27,08:19:42,10,Yxxxx5898xxx,Yerevan
2022-08-27,08:19:42,10,Pxxxx2506xxx,Yerevan
2022-08-27,08:19:42,10,Nxxxx6073xxx,Yerevan
2022-08-27,08:19:42,10,Uxxxx2520xxx,Yerevan
2022-08-27,08:19:42,10,Uxxxx4953xxx,Yerevan
2022-08-27,08:19:42,10,Pxxxx9877xxx,Yerevan
2022-08-27,08:19:42,5,Nxxxx2649xxx,Yerevan
2022-08-27,08:19:42,5,Nxxxx1538xxx,Yerevan
2022-08-27,08:19:42,5,Nxxxx2700xxx,Yerevan
2022-08-27,08:19:42,5,Exxxx0281xxx,Yerevan
2022-08-24,15:58:11,50,Uxxxx7252xxx,Yerevan
2022-07-03,08:09:21,50,Mxxxx6031xxx,Yerevan
2022-07-03,08:09:21,50,Zxxxx9515xxx,Yerevan
2022-07-03,08:09:21,20,Uxxxx3952xxx,Yerevan
2022-07-03,08:09:21,20,Sxxxx3693xxx,Yerevan
2022-07-03,08:09:21,20,Uxxxx9683xxx,Yerevan
2022-07-03,08:09:21,20,Uxxxx2752xxx,Yerevan
2022-07-03,08:09:21,20,Uxxxx9193xxx,Yerevan
2022-07-03,08:09:21,20,Uxxxx7908xxx,Yerevan
2022-07-03,08:09:21,20,Uxxxx7908xxx,Yerevan
2022-07-03,08:09:21,10,Uxxxx1624xxx,Yerevan
2022-07-03,08:09:21,10,Pxxxx0591xxx,Yerevan
2022-04-16,20:28:48,50,Uxxxx6756xxx,Yerevan
2022-04-16,20:28:48,50,Rxxxx1254xxx,Yerevan
2022-04-16,20:28:48,50,Uxxxx9836xxx,Yerevan
2022-04-16,20:28:48,50,Wxxxx4856xxx,Yerevan
2022-04-16,20:28:40,5,Txxxx7441xxx,Alaverdi
2022-04-16,20:27:59,10,Wxxxx6850xxx,Alaverdi
