Date,Time,Notetype,Maskedserial,Locality
2022-07-31,19:51:43,100,Rxxxx4269xxx,Baku
2022-07-31,19:51:43,100,Exxxx9545xxx,Baku
2022-07-31,19:51:43,100,Exxxx2421xxx,Baku
2022-07-31,19:51:43,100,Sxxxx7974xxx,Baku
2022-07-31,19:51:43,100,Exxxx7289xxx,Baku
2022-07-31,19:51:43,100,Nxxxx1415xxx,Baku
2022-07-31,19:51:43,100,Uxxxx7822xxx,Baku
2022-07-31,19:51:43,100,Nxxxx5569xxx,Baku
2022-07-31,19:51:43,100,Uxxxx3963xxx,Baku
2022-07-31,19:51:43,100,Rxxxx7531xxx,Baku
2022-07-31,19:51:43,100,Rxxxx6788xxx,Baku
2022-07-31,19:51:43,100,Uxxxx4786xxx,Baku
2022-07-31,19:51:43,100,Uxxxx4786xxx,Baku
2022-07-31,19:51:43,100,Exxxx5489xxx,Baku
2022-07-31,19:51:43,100,Exxxx0586xxx,Baku
2022-07-31,19:51:43,100,Exxxx8248xxx,Baku
2022-07-31,19:51:43,100,Rxxxx3922xxx,Baku
2022-07-31,19:51:43,100,Uxxxx8333xxx,Baku
2022-07-31,19:51:43,100,Uxxxx8332xxx,Baku
2022-07-31,19:51:43,100,Nxxxx2044xxx,Baku
2022-07-31,19:51:43,100,Uxxxx7822xxx,Baku
2022-07-31,10:28:46,100,Uxxxx7822xxx,Baku
2022-07-30,09:27:29,100,Rxxxx8470xxx,Baku
2022-07-30,09:27:29,100,Uxxxx3372xxx,Baku
2022-07-30,09:27:29,100,Rxxxx3922xxx,Baku
2022-07-30,09:27:29,100,Rxxxx3922xxx,Baku
2022-07-30,09:27:29,100,Rxxxx3922xxx,Baku
2022-07-30,09:27:29,100,Rxxxx3962xxx,Baku
2022-07-30,09:27:29,100,Rxxxx3962xxx,Baku
2022-07-30,09:27:29,100,Rxxxx3962xxx,Baku
2022-07-30,09:27:29,100,Nxxxx1964xxx,Baku
2022-07-30,09:27:29,100,Rxxxx4669xxx,Baku
2022-07-30,09:27:29,100,Rxxxx6434xxx,Baku
2022-07-30,09:27:29,100,Rxxxx6541xxx,Baku
2022-07-30,09:27:29,100,Exxxx0585xxx,Baku
2022-07-30,09:27:29,100,Wxxxx6558xxx,Baku
2022-07-30,09:27:29,100,Rxxxx6162xxx,Baku
2022-07-30,09:27:29,100,Uxxxx3537xxx,Baku
2022-07-30,09:27:29,100,Exxxx0979xxx,Baku
2022-07-30,09:27:29,100,Rxxxx1015xxx,Baku
2022-07-30,09:27:29,100,Nxxxx3989xxx,Baku
2022-07-30,09:27:29,100,Exxxx2421xxx,Baku
2022-07-28,22:21:39,100,Rxxxx1466xxx,Baku
2022-07-28,22:21:39,100,Exxxx0850xxx,Baku
2022-07-28,22:21:39,100,Uxxxx6582xxx,Baku
2022-07-28,22:21:39,100,Exxxx8040xxx,Baku
2022-07-28,22:21:39,100,Uxxxx8333xxx,Baku
2022-07-28,22:21:39,100,Uxxxx8333xxx,Baku
2022-07-28,22:21:39,100,Exxxx7117xxx,Baku
2022-07-28,22:21:39,100,Exxxx8263xxx,Baku
2022-07-28,22:21:39,100,Exxxx1365xxx,Baku
2022-07-28,22:21:39,100,Sxxxx9085xxx,Baku
2022-07-28,22:21:39,100,Rxxxx9074xxx,Baku
2022-07-28,22:21:39,100,Rxxxx4300xxx,Baku
2022-07-28,22:21:39,100,Sxxxx2981xxx,Baku
2022-07-28,22:21:39,100,Exxxx1148xxx,Baku
2022-07-28,22:21:39,100,Exxxx0815xxx,Baku
2022-07-28,22:21:39,100,Exxxx0815xxx,Baku
2022-07-28,22:21:39,100,Rxxxx2339xxx,Baku
2022-07-28,22:21:39,100,Exxxx8039xxx,Baku
2022-07-28,22:21:39,100,Exxxx7631xxx,Baku
2022-07-28,22:21:39,100,Rxxxx3104xxx,Baku
2022-07-28,22:21:39,100,Exxxx5783xxx,Baku
2022-07-28,22:21:39,100,Rxxxx7325xxx,Baku
2022-07-28,22:21:39,100,Rxxxx7335xxx,Baku
2022-07-28,22:21:39,100,Exxxx9884xxx,Baku
2022-07-28,22:21:39,100,Rxxxx6323xxx,Baku
2022-07-27,15:00:14,10,Pxxxx6636xxx,Baku
2022-07-27,15:00:14,20,Uxxxx5450xxx,Baku
2022-07-27,15:00:14,20,Uxxxx5923xxx,Baku
2022-07-27,11:14:17,100,Vxxxx9473xxx,Baku
2022-07-27,11:13:53,100,Xxxxx2305xxx,Baku
2022-07-27,11:13:52,100,Xxxxx2804xxx,Baku
2022-07-27,11:13:52,100,Xxxxx2319xxx,Baku
2022-07-27,11:13:52,100,Xxxxx2313xxx,Baku
2022-07-27,11:13:52,100,Xxxxx2313xxx,Baku
2022-07-27,11:13:52,100,Xxxxx2311xxx,Baku
2022-07-27,11:13:52,100,Xxxxx2311xxx,Baku
2022-07-27,11:13:52,100,Xxxxx7945xxx,Baku
2022-07-27,11:13:52,100,Xxxxx0409xxx,Baku
2022-07-27,11:13:52,100,Xxxxx2311xxx,Baku
2022-07-27,11:13:52,100,Xxxxx2311xxx,Baku
2022-07-27,11:13:52,100,Nxxxx1435xxx,Baku
2022-07-27,11:13:52,100,Xxxxx3113xxx,Baku
2022-07-27,11:13:52,100,Vxxxx2823xxx,Baku
2022-07-27,11:13:52,100,Xxxxx3113xxx,Baku
2022-07-27,11:13:52,100,Sxxxx2252xxx,Baku
2022-07-27,11:13:52,100,Xxxxx0290xxx,Baku
2022-07-27,11:13:52,100,Nxxxx0700xxx,Baku
2022-07-27,11:13:52,100,Vxxxx9096xxx,Baku
2022-07-27,11:13:52,100,Uxxxx2329xxx,Baku
2022-07-27,11:13:52,100,Xxxxx4254xxx,Baku
2022-07-27,11:13:52,100,Vxxxx2691xxx,Baku
2022-07-27,11:13:52,100,Nxxxx9797xxx,Baku
2022-07-27,11:13:52,100,Xxxxx2313xxx,Baku
2022-07-27,11:13:52,100,Xxxxx2311xxx,Baku
2022-07-27,11:07:41,200,Xxxxx6756xxx,Baku
2022-07-27,11:07:41,500,Xxxxx3141xxx,Baku
