Date,Time,Notetype,Maskedserial,Locality
2022-07-08,15:38:27,50,Vxxxx7057xxx,Cochabamba
2022-07-08,15:37:15,50,Vxxxx1649xxx,Cochabamba
2022-07-08,15:36:14,50,Vxxxx1649xxx,Cochabamba
2022-07-08,15:35:24,50,Vxxxx1649xxx,Cochabamba
2022-07-08,15:34:30,50,Vxxxx9714xxx,Cochabamba
2022-07-08,15:33:35,50,Vxxxx2717xxx,Cochabamba
2022-07-08,15:32:37,50,Vxxxx1548xxx,Cochabamba
2022-07-08,15:31:30,50,Zxxxx6565xxx,Cochabamba
2022-07-08,15:30:35,50,Vxxxx4873xxx,Cochabamba
2022-07-08,15:29:32,50,Vxxxx9626xxx,Cochabamba
2022-07-08,15:27:53,10,Vxxxx7524xxx,Cochabamba
2022-07-08,15:26:45,10,Yxxxx8831xxx,Cochabamba
2022-07-08,15:24:08,10,Vxxxx7524xxx,Cochabamba
2022-07-08,15:18:38,10,Pxxxx7440xxx,Cochabamba
