Date,Time,Notetype,Maskedserial,Locality
2022-11-14,17:59:53,100,Xxxxx1130xxx,Trebinje
2022-11-14,17:50:23,100,Sxxxx6511xxx,Trebinje
2022-11-13,12:50:55,50,Xxxxx7424xxx,Tuzla
2022-10-05,10:43:14,5,Zxxxx4088xxx,Mostar
2022-10-05,06:50:20,5,Vxxxx8197xxx,Mostar
2022-10-05,06:50:20,10,Exxxx5862xxx,Mostar
2022-10-04,21:14:15,5,Exxxx6131xxx,Mostar
2022-10-01,17:40:42,20,Exxxx9431xxx,Banjaluka
2022-09-24,01:07:51,50,Rxxxx5178xxx,Pale
2022-09-09,18:31:21,50,Rxxxx0801xxx,Mrkonij Grad
2022-08-20,22:28:36,20,Uxxxx8237xxx,Cukovi
2022-08-20,22:27:08,10,Yxxxx2476xxx,Cukovi
2022-08-17,07:25:21,50,Wxxxx9447xxx,Tuzla
2022-08-17,07:24:41,10,Fxxxx0270xxx,Tuzla
2022-08-17,07:24:41,10,Pxxxx5725xxx,Tuzla
2022-08-17,07:24:41,10,Wxxxx9975xxx,Tuzla
2022-08-17,07:24:41,10,Rxxxx3994xxx,Tuzla
2022-08-17,07:23:16,5,Nxxxx7172xxx,Tuzla
2022-08-17,07:23:16,5,Vxxxx1475xxx,Tuzla
2022-08-15,17:08:24,50,Sxxxx8425xxx,Tuzla
2022-08-15,17:08:24,50,Uxxxx3206xxx,Tuzla
2022-08-13,22:51:35,5,Nxxxx1676xxx,Banjaluka
2022-08-13,22:51:35,10,Pxxxx1353xxx,Banjaluka
2022-08-13,09:05:27,10,Yxxxx4621xxx,Neum
2022-08-13,09:05:27,10,Txxxx4184xxx,Neum
2022-08-13,09:04:25,5,Vxxxx0376xxx,Neum
2022-08-13,09:04:25,5,Wxxxx3320xxx,Neum
2022-08-08,17:02:49,20,Hxxxx2155xxx,Banja Luka
2022-08-05,20:55:00,100,Rxxxx1458xxx,Banjaluka
2022-08-05,20:55:00,100,Sxxxx8087xxx,Banjaluka
2022-08-05,20:55:00,100,Uxxxx8582xxx,Banjaluka
2022-08-02,18:23:50,50,Vxxxx6908xxx,Banjaluka
2022-08-02,18:23:50,50,Uxxxx7286xxx,Banjaluka
2022-08-02,18:23:50,50,Sxxxx8133xxx,Banjaluka
2022-08-02,18:23:50,50,Rxxxx1321xxx,Banjaluka
2022-08-02,18:23:50,50,Exxxx4312xxx,Banjaluka
2022-08-02,18:23:50,50,Sxxxx0837xxx,Banjaluka
2022-08-02,18:23:50,50,Uxxxx0988xxx,Banjaluka
2022-08-02,18:23:50,50,Pxxxx7380xxx,Banjaluka
2022-08-02,18:23:50,100,Exxxx3081xxx,Banjaluka
2022-08-02,18:23:50,100,Uxxxx4212xxx,Banjaluka
2022-08-02,18:23:50,100,Exxxx8250xxx,Banjaluka
2022-07-13,18:15:15,10,Wxxxx6014xxx,Tuzla
2022-07-13,18:13:38,50,Wxxxx8972xxx,Tuzla
2022-07-13,18:13:05,50,Pxxxx2038xxx,Tuzla
2022-07-13,18:13:05,10,Pxxxx8693xxx,Tuzla
2022-07-13,18:13:05,10,Yxxxx9294xxx,Tuzla
2022-07-04,14:53:33,5,Nxxxx8388xxx,Trebinje
2022-07-04,14:53:03,50,Uxxxx3993xxx,Trebinje
2022-07-04,14:53:03,50,Wxxxx8662xxx,Trebinje
2022-07-04,14:52:02,100,Nxxxx5377xxx,Trebinje
2022-07-04,14:52:02,100,Uxxxx8817xxx,Trebinje
2022-06-29,18:03:36,5,Nxxxx4766xxx,Mostar
2022-06-29,16:28:55,20,Uxxxx8741xxx,Mostar
2022-06-29,16:28:55,20,Exxxx3312xxx,Mostar
2022-06-29,07:20:48,10,Exxxx0325xxx,Mostar
2022-06-27,00:01:00,5,Yxxxx3741xxx,Mostar
2022-06-27,00:01:00,5,Zxxxx2690xxx,Mostar
2022-05-29,23:20:00,10,Fxxxx4397xxx,Sarajevo
2022-05-13,23:34:35,20,Uxxxx7290xxx,Butmir
2022-05-12,23:28:52,10,Exxxx5836xxx,Sarajevo
2022-05-09,15:58:08,20,Exxxx4019xxx,Banja Luka
2022-05-09,15:58:08,5,Vxxxx6309xxx,Banja Luka
2022-02-18,20:47:13,100,Exxxx1701xxx,Donji Vakuf
2022-01-24,15:10:22,100,Sxxxx0605xxx,Sarajevo
