Date,Time,Notetype,Maskedserial,Locality
2022-12-02,23:19:09,10,Wxxxx5318xxx,São Paulo
2022-12-02,23:18:41,10,Wxxxx5318xxx,São Paulo
2022-12-02,23:18:16,10,Wxxxx5318xxx,São Paulo
2022-12-02,23:17:56,10,Wxxxx5318xxx,São Paulo
2022-12-02,23:17:26,10,Wxxxx5318xxx,São Paulo
2022-12-02,23:17:01,10,Wxxxx5318xxx,São Paulo
2022-12-02,23:16:35,10,Wxxxx5318xxx,São Paulo
2022-12-02,23:16:14,10,Wxxxx5318xxx,São Paulo
2022-12-02,23:15:51,10,Wxxxx5318xxx,São Paulo
2022-12-02,23:15:27,10,Wxxxx5318xxx,São Paulo
2022-12-02,23:14:36,10,Wxxxx5318xxx,São Paulo
2022-12-02,23:14:17,10,Wxxxx5318xxx,São Paulo
2022-12-02,23:13:49,10,Wxxxx5318xxx,São Paulo
2022-12-02,23:13:33,10,Wxxxx5318xxx,São Paulo
2022-12-02,23:13:06,10,Wxxxx5318xxx,São Paulo
2022-12-02,23:12:43,10,Wxxxx5318xxx,São Paulo
2022-12-02,23:12:22,10,Wxxxx5318xxx,São Paulo
2022-12-02,23:11:56,10,Wxxxx5318xxx,São Paulo
2022-12-02,23:11:27,10,Wxxxx5318xxx,São Paulo
2022-12-02,23:11:04,10,Wxxxx5318xxx,São Paulo
2022-12-02,23:10:41,10,Wxxxx5318xxx,São Paulo
2022-12-02,23:10:09,5,Wxxxx5318xxx,São Paulo
2022-12-02,23:09:44,10,Wxxxx5318xxx,São Paulo
2022-12-02,23:09:15,10,Wxxxx5318xxx,São Paulo
2022-12-02,23:08:47,10,Wxxxx5318xxx,São Paulo
2022-12-02,23:08:18,10,Wxxxx5318xxx,São Paulo
2022-12-02,23:01:23,10,Wxxxx5318xxx,São Paulo
2022-12-02,23:00:30,10,Wxxxx5318xxx,São Paulo
2022-12-02,23:00:02,10,Wxxxx5318xxx,São Paulo
2022-12-02,22:59:36,10,Wxxxx5318xxx,São Paulo
2022-12-02,22:59:06,10,Wxxxx5318xxx,São Paulo
2022-12-02,22:56:48,10,Wxxxx5318xxx,São Paulo
2022-12-02,22:56:00,10,Wxxxx5318xxx,São Paulo
2022-12-02,22:53:47,10,Wxxxx5318xxx,São Paulo
2022-12-02,22:45:00,10,Wxxxx5318xxx,São Paulo
2022-12-02,22:44:35,10,Wxxxx5318xxx,São Paulo
2022-12-02,22:44:07,10,Wxxxx5318xxx,São Paulo
2022-12-02,22:43:21,10,Wxxxx5318xxx,São Paulo
2022-12-02,22:42:49,10,Wxxxx5318xxx,São Paulo
2022-12-02,22:42:23,10,Wxxxx5318xxx,São Paulo
2022-12-02,22:41:50,10,Wxxxx5318xxx,São Paulo
2022-12-02,22:41:17,10,Wxxxx5318xxx,São Paulo
2022-12-02,22:40:42,10,Wxxxx5318xxx,São Paulo
2022-12-02,22:38:55,10,Wxxxx5318xxx,São Paulo
2022-12-02,22:31:36,10,Wxxxx5318xxx,São Paulo
2022-12-02,22:30:39,10,Wxxxx5318xxx,São Paulo
2022-12-02,22:30:00,10,Wxxxx5318xxx,São Paulo
2022-12-02,22:29:16,10,Wxxxx5318xxx,São Paulo
2022-12-02,22:28:35,10,Wxxxx5318xxx,São Paulo
2022-12-02,22:27:33,10,Wxxxx5318xxx,São Paulo
2022-12-02,22:26:50,10,Wxxxx5318xxx,São Paulo
2022-12-02,22:26:06,10,Wxxxx5318xxx,São Paulo
2022-12-02,22:25:05,10,Wxxxx5318xxx,São Paulo
2022-12-02,22:24:08,10,Wxxxx5318xxx,São Paulo
2022-12-02,22:23:21,10,Wxxxx5318xxx,São Paulo
2022-12-02,22:21:48,10,Wxxxx5318xxx,São Paulo
2022-12-02,22:20:50,10,Wxxxx5318xxx,São Paulo
2022-12-02,22:20:09,10,Wxxxx5318xxx,São Paulo
2022-12-02,22:19:28,10,Wxxxx5318xxx,São Paulo
2022-12-02,22:18:55,10,Wxxxx5318xxx,São Paulo
2022-12-02,22:17:21,10,Wxxxx5318xxx,São Paulo
2022-12-02,22:10:07,10,Wxxxx5318xxx,São Paulo
2022-12-02,22:08:16,10,Wxxxx5318xxx,São Paulo
2022-11-27,16:06:06,10,Vxxxx2634xxx,Brasilia
2022-11-27,16:03:47,20,Uxxxx9150xxx,Brasilia
2022-11-03,13:24:54,10,Vxxxx0192xxx,São Paulo
2022-11-02,17:35:38,5,Zxxxx9301xxx,São Paulo
2022-11-02,17:34:51,5,Mxxxx7658xxx,São Paulo
2022-11-02,17:34:07,5,Vxxxx5877xxx,São Paulo
2022-11-02,17:33:00,5,Yxxxx3447xxx,São Paulo
2022-11-02,17:31:08,5,Vxxxx4033xxx,São Paulo
2022-11-02,17:30:23,5,Mxxxx2110xxx,São Paulo
2022-11-02,17:29:40,5,Mxxxx0750xxx,São Paulo
2022-11-02,17:28:54,5,Wxxxx1469xxx,São Paulo
2022-11-02,17:28:12,5,Wxxxx5699xxx,São Paulo
2022-11-02,17:26:57,5,Nxxxx2100xxx,São Paulo
2022-11-02,17:26:20,5,Nxxxx6852xxx,São Paulo
2022-11-02,17:25:33,5,Vxxxx1905xxx,São Paulo
2022-10-31,22:27:43,10,Yxxxx4051xxx,São Paulo
2022-10-31,22:27:03,10,Yxxxx0576xxx,São Paulo
2022-10-31,22:26:31,10,Yxxxx8853xxx,São Paulo
2022-10-31,22:25:50,10,Yxxxx8964xxx,São Paulo
2022-10-31,22:25:05,10,Yxxxx3349xxx,São Paulo
2022-10-31,22:24:24,10,Txxxx9599xxx,São Paulo
2022-10-31,22:23:07,10,Txxxx5924xxx,São Paulo
2022-10-31,22:22:25,10,Sxxxx5976xxx,São Paulo
2022-10-31,22:21:43,10,Uxxxx4900xxx,São Paulo
2022-10-31,22:21:04,10,Uxxxx5913xxx,São Paulo
2022-10-31,22:20:26,10,Exxxx6852xxx,São Paulo
2022-10-31,22:19:54,10,Exxxx9979xxx,São Paulo
2022-10-31,22:19:18,10,Uxxxx9417xxx,São Paulo
2022-10-31,22:18:39,10,Exxxx2314xxx,São Paulo
2022-10-31,22:18:01,10,Uxxxx1267xxx,São Paulo
2022-10-31,22:17:19,10,Sxxxx3816xxx,São Paulo
2022-10-30,21:34:52,10,Uxxxx3283xxx,São Paulo
2022-10-30,21:33:40,10,Exxxx2084xxx,São Paulo
2022-10-30,21:31:02,10,Fxxxx5043xxx,São Paulo
2022-10-30,21:30:31,10,Fxxxx8332xxx,São Paulo
2022-10-30,21:29:55,10,Fxxxx0548xxx,São Paulo
2022-10-30,21:28:31,10,Fxxxx8466xxx,São Paulo
2022-10-30,21:27:38,10,Xxxxx9024xxx,São Paulo
2022-10-30,21:26:21,10,Rxxxx6230xxx,São Paulo
