Date,Time,Notetype,Maskedserial,Locality
2022-11-27,22:54:04,20,Exxxx7587xxx,Toronto
2022-11-21,23:00:58,50,Rxxxx3635xxx,Montreal
2022-11-21,22:59:23,50,Zxxxx6069xxx,Montreal
2022-11-21,22:58:11,50,Wxxxx2188xxx,Montreal
2022-11-21,22:57:48,50,Zxxxx8735xxx,Montreal
2022-11-21,22:57:06,50,Wxxxx3225xxx,Montreal
2022-11-21,22:56:41,50,Uxxxx4974xxx,Montreal
2022-11-21,22:56:05,50,Uxxxx9247xxx,Montreal
2022-11-21,22:55:37,50,Exxxx2460xxx,Montreal
2022-11-21,22:55:11,20,Uxxxx3616xxx,Montreal
2022-11-21,22:54:40,20,Uxxxx3612xxx,Montreal
2022-11-21,22:54:15,20,Uxxxx3612xxx,Montreal
2022-11-21,22:53:33,10,Yxxxx1264xxx,Montreal
2022-11-21,22:53:10,10,Uxxxx5420xxx,Montreal
2022-11-21,22:52:45,10,Uxxxx4118xxx,Montreal
2022-11-21,22:52:19,5,Exxxx0280xxx,Montreal
2022-11-21,22:51:48,5,Mxxxx7821xxx,Montreal
2022-11-04,13:48:08,20,Uxxxx0120xxx,Dorval
2022-11-04,13:46:31,20,Uxxxx0750xxx,Halifax
2022-11-04,13:44:30,20,Uxxxx0720xxx,Montréal
2022-11-01,02:17:15,10,Uxxxx8619xxx,Montréal
2022-11-01,02:17:15,5,Mxxxx8516xxx,Montréal
2022-11-01,02:17:15,20,Sxxxx4027xxx,Montréal
2022-11-01,02:17:15,10,Uxxxx9524xxx,Montréal
2022-11-01,02:17:15,10,Exxxx5623xxx,Montréal
2022-11-01,02:17:15,10,Uxxxx7132xxx,Montréal
2022-11-01,02:17:15,10,Uxxxx6789xxx,Montréal
2022-11-01,02:17:15,20,Vxxxx3739xxx,Montréal
2022-11-01,02:17:15,20,Uxxxx8246xxx,Montréal
2022-11-01,02:17:15,5,Vxxxx6988xxx,Montréal
2022-11-01,02:17:15,10,Fxxxx7104xxx,Montréal
2022-11-01,02:17:14,20,Fxxxx6622xxx,Montréal
2022-11-01,02:17:14,10,Vxxxx4011xxx,Montréal
2022-11-01,02:17:14,5,Mxxxx5894xxx,Montréal
2022-10-30,01:24:28,5,Wxxxx2347xxx,Montreal
2022-09-30,15:38:58,5,Mxxxx2645xxx,Saint John
2022-09-29,16:16:03,5,Mxxxx2645xxx,Barrington
2022-09-28,15:43:35,5,Mxxxx2645xxx,Halifax
2022-09-26,19:00:08,10,Sxxxx6444xxx,Toronto Pearson International Airport
2022-09-26,19:00:08,5,Uxxxx5454xxx,Toronto Pearson International Airport
2022-09-26,18:59:00,20,Exxxx6737xxx,Toronto Pearson International Airport
2022-09-26,18:58:48,20,Exxxx6736xxx,Toronto Pearson International Airport
2022-09-26,18:58:48,20,Exxxx6736xxx,Toronto Pearson International Airport
2022-09-26,18:58:48,20,Exxxx6736xxx,Toronto Pearson International Airport
2022-09-26,16:36:45,10,Wxxxx8946xxx,Dorval
2022-09-26,16:36:45,5,Mxxxx6360xxx,Dorval
2022-09-26,16:36:45,5,Nxxxx1309xxx,Dorval
2022-09-24,02:51:10,5,Mxxxx0702xxx,Montréal
2022-09-24,02:51:10,5,Mxxxx0702xxx,Montréal
2022-09-24,02:51:10,5,Mxxxx0702xxx,Montréal
